Date,Values,Delta Calculations
1994-03-21,1.087, 
1994-03-28,1.089,0.0020000000000000018
1994-04-04,1.087,-0.0020000000000000018
1994-04-11,1.09,0.0030000000000001137
1994-04-18,1.086,-0.004000000000000226
1994-04-25,1.085,-0.0009999999999998899
1994-05-02,1.085,0.0
1994-05-09,1.08,-0.004999999999999893
1994-05-16,1.08,0.0
1994-05-23,1.081,0.0009999999999998899
1994-05-30,1.082,0.001000000000000112
1994-06-06,1.083,0.0009999999999998899
1994-06-13,1.081,-0.0020000000000000018
1994-06-20,1.086,0.004999999999999893
1994-06-27,1.092,0.006000000000000227
1994-07-04,1.094,0.0020000000000000018
1994-07-11,1.094,0.0
1994-07-18,1.094,0.0
1994-07-25,1.094,0.0
1994-08-01,1.102,0.008000000000000007
1994-08-08,1.116,0.01399999999999979
1994-08-15,1.116,0.0
1994-08-22,1.109,-0.006999999999999895
1994-08-29,1.108,-0.001000000000000112
1994-09-05,1.107,-0.0009999999999998899
1994-09-12,1.107,0.0
1994-09-19,1.103,-0.0040000000000000036
1994-09-26,1.092,-0.010999999999999899
1994-10-03,1.089,-0.0030000000000001137
1994-10-10,1.091,0.0020000000000000018
1994-10-17,1.091,0.0
1994-10-24,1.094,0.0030000000000001137
1994-10-31,1.107,0.0129999999999999
1994-11-07,1.104,-0.0029999999999998916
1994-11-14,1.107,0.0029999999999998916
1994-11-21,1.099,-0.008000000000000007
1994-11-28,1.095,-0.0040000000000000036
1994-12-05,1.095,0.0
1994-12-12,1.085,-0.010000000000000009
1994-12-19,1.082,-0.0029999999999998916
1994-12-26,1.084,0.0020000000000000018
1995-01-02,1.081,-0.0030000000000001137
1995-01-09,1.078,-0.0029999999999998916
1995-01-16,1.077,-0.001000000000000112
1995-01-23,1.069,-0.008000000000000007
1995-01-30,1.065,-0.0040000000000000036
1995-02-06,1.062,-0.0029999999999998916
1995-02-13,1.065,0.0029999999999998916
1995-02-20,1.065,0.0
1995-02-27,1.069,0.0040000000000000036
1995-03-06,1.067,-0.0020000000000000018
1995-03-13,1.069,0.0020000000000000018
1995-03-20,1.065,-0.0040000000000000036
1995-03-27,1.069,0.0040000000000000036
1995-04-03,1.076,0.006999999999999895
1995-04-10,1.083,0.007000000000000117
1995-04-17,1.085,0.0020000000000000018
1995-04-24,1.093,0.008000000000000007
1995-05-01,1.094,0.001000000000000112
1995-05-08,1.103,0.008999999999999897
1995-05-15,1.1,-0.0029999999999998916
1995-05-22,1.097,-0.0030000000000001137
1995-05-29,1.107,0.010000000000000009
1995-06-05,1.1,-0.006999999999999895
1995-06-12,1.099,-0.001000000000000112
1995-06-19,1.094,-0.004999999999999893
1995-06-26,1.09,-0.0040000000000000036
1995-07-03,1.081,-0.009000000000000119
1995-07-10,1.077,-0.0040000000000000036
1995-07-17,1.073,-0.0040000000000000036
1995-07-24,1.077,0.0040000000000000036
1995-07-31,1.067,-0.010000000000000009
1995-08-07,1.077,0.010000000000000009
1995-08-14,1.089,0.01200000000000001
1995-08-21,1.086,-0.0030000000000001137
1995-08-28,1.089,0.0030000000000001137
1995-09-04,1.093,0.0040000000000000036
1995-09-11,1.1,0.007000000000000117
1995-09-18,1.104,0.0040000000000000036
1995-09-25,1.099,-0.0050000000000001155
1995-10-02,1.093,-0.006000000000000005
1995-10-09,1.091,-0.0020000000000000018
1995-10-16,1.092,0.001000000000000112
1995-10-23,1.086,-0.006000000000000227
1995-10-30,1.08,-0.005999999999999783
1995-11-06,1.096,0.015999999999999792
1995-11-13,1.095,-0.0009999999999998899
1995-11-20,1.096,0.0009999999999998899
1995-11-27,1.105,0.009000000000000119
1995-12-04,1.104,-0.0009999999999998899
1995-12-11,1.104,0.0
1995-12-18,1.108,0.0039999999999997815
1995-12-25,1.123,0.015000000000000124
1996-01-01,1.125,0.0020000000000000018
1996-01-08,1.12,-0.004999999999999893
1996-01-15,1.126,0.005999999999999783
1996-01-22,1.116,-0.010000000000000009
1996-01-29,1.11,-0.005999999999999783
1996-02-05,1.104,-0.006000000000000005
1996-02-12,1.111,0.006999999999999895
1996-02-19,1.13,0.018999999999999906
1996-02-26,1.148,0.018000000000000016
1996-03-04,1.165,0.017000000000000126
1996-03-11,1.163,-0.0020000000000000018
1996-03-18,1.16,-0.0030000000000001137
1996-03-25,1.198,0.038000000000000034
1996-04-01,1.208,0.010000000000000009
1996-04-08,1.236,0.028000000000000025
1996-04-15,1.301,0.06499999999999995
1996-04-22,1.287,-0.014000000000000012
1996-04-29,1.26,-0.026999999999999913
1996-05-06,1.267,0.007000000000000117
1996-05-13,1.262,-0.0050000000000001155
1996-05-20,1.248,-0.014000000000000012
1996-05-27,1.226,-0.02200000000000002
1996-06-03,1.208,-0.018000000000000016
1996-06-10,1.176,-0.03200000000000003
1996-06-17,1.154,-0.021999999999999797
1996-06-24,1.142,-0.01200000000000001
1996-07-01,1.135,-0.007000000000000117
1996-07-08,1.14,0.004999999999999893
1996-07-15,1.15,0.010000000000000009
1996-07-22,1.161,0.01100000000000012
1996-07-29,1.156,-0.0050000000000001155
1996-08-05,1.168,0.01200000000000001
1996-08-12,1.176,0.008000000000000007
1996-08-19,1.193,0.017000000000000126
1996-08-26,1.207,0.014000000000000012
1996-09-02,1.22,0.0129999999999999
1996-09-09,1.237,0.017000000000000126
1996-09-16,1.26,0.02299999999999991
1996-09-23,1.26,0.0
1996-09-30,1.27,0.010000000000000009
1996-10-07,1.291,0.020999999999999908
1996-10-14,1.309,0.018000000000000238
1996-10-21,1.312,0.0029999999999996696
1996-10-28,1.316,0.0040000000000000036
1996-11-04,1.309,-0.006999999999999673
1996-11-11,1.303,-0.006000000000000005
1996-11-18,1.32,0.016999999999999904
