Date,Values,Delta Calculations
1994-11-28,1.221, 
1994-12-05,1.212,-0.008999999999999897
1994-12-12,1.205,-0.006999999999999895
1994-12-19,1.197,-0.008000000000000007
1994-12-26,1.187,-0.010000000000000009
1995-01-02,1.183,-0.0040000000000000036
1995-01-09,1.182,-0.001000000000000112
1995-01-16,1.174,-0.007999999999999785
1995-01-23,1.181,0.006999999999999895
1995-01-30,1.185,0.0040000000000000036
1995-02-06,1.183,-0.0020000000000000018
1995-02-13,1.176,-0.007000000000000117
1995-02-20,1.173,-0.0029999999999998916
1995-02-27,1.173,0.0
1995-03-06,1.176,0.0029999999999998916
1995-03-13,1.172,-0.0040000000000000036
1995-03-20,1.167,-0.004999999999999893
1995-03-27,1.162,-0.0050000000000001155
1995-04-03,1.174,0.012000000000000233
1995-04-10,1.193,0.018999999999999906
1995-04-17,1.215,0.02200000000000002
1995-04-24,1.239,0.02400000000000002
1995-05-01,1.255,0.015999999999999792
1995-05-08,1.272,0.017000000000000126
1995-05-15,1.281,0.008999999999999897
1995-05-22,1.296,0.015000000000000124
1995-05-29,1.304,0.008000000000000007
1995-06-05,1.302,-0.002000000000000224
1995-06-12,1.297,-0.004999999999999893
1995-06-19,1.293,-0.0039999999999997815
1995-06-26,1.291,-0.002000000000000224
1995-07-03,1.285,-0.006000000000000005
1995-07-10,1.276,-0.008999999999999897
1995-07-17,1.262,-0.014000000000000012
1995-07-24,1.253,-0.009000000000000119
1995-07-31,1.235,-0.017999999999999794
1995-08-07,1.223,-0.012000000000000233
1995-08-14,1.217,-0.005999999999999783
1995-08-21,1.213,-0.0040000000000000036
1995-08-28,1.208,-0.0050000000000001155
1995-09-04,1.199,-0.008999999999999897
1995-09-11,1.199,0.0
1995-09-18,1.195,-0.0040000000000000036
1995-09-25,1.194,-0.001000000000000112
1995-10-02,1.184,-0.009999999999999787
1995-10-09,1.18,-0.004000000000000226
1995-10-16,1.175,-0.004999999999999893
1995-10-23,1.17,-0.0050000000000001155
1995-10-30,1.163,-0.006999999999999895
1995-11-06,1.153,-0.010000000000000009
1995-11-13,1.15,-0.0030000000000001137
1995-11-20,1.145,-0.004999999999999893
1995-11-27,1.147,0.0020000000000000018
1995-12-04,1.143,-0.0040000000000000036
1995-12-11,1.153,0.010000000000000009
1995-12-18,1.155,0.0020000000000000018
1995-12-25,1.163,0.008000000000000007
1996-01-01,1.165,0.0020000000000000018
1996-01-08,1.167,0.0020000000000000018
1996-01-15,1.186,0.018999999999999906
1996-01-22,1.184,-0.0019999999999997797
1996-01-29,1.181,-0.0030000000000001137
1996-02-05,1.172,-0.009000000000000119
1996-02-12,1.171,-0.0009999999999998899
1996-02-19,1.173,0.0020000000000000018
1996-02-26,1.182,0.008999999999999897
1996-03-04,1.201,0.018999999999999906
1996-03-11,1.206,0.0050000000000001155
1996-03-18,1.217,0.01100000000000012
1996-03-25,1.241,0.0239999999999998
1996-04-01,1.26,0.019000000000000128
1996-04-08,1.285,0.02499999999999991
1996-04-15,1.328,0.04300000000000015
1996-04-22,1.344,0.016000000000000014
1996-04-29,1.349,0.004999999999999893
1996-05-06,1.355,0.006000000000000005
1996-05-13,1.356,0.0009999999999998899
1996-05-20,1.355,-0.0009999999999998899
1996-05-27,1.346,-0.009000000000000119
1996-06-03,1.345,-0.0009999999999998899
1996-06-10,1.334,-0.010999999999999899
1996-06-17,1.328,-0.006000000000000005
1996-06-24,1.314,-0.014000000000000012
1996-07-01,1.306,-0.008000000000000007
1996-07-08,1.305,-0.001000000000000112
1996-07-15,1.296,-0.008999999999999897
1996-07-22,1.293,-0.0029999999999998916
1996-07-29,1.293,0.0
1996-08-05,1.287,-0.006000000000000227
1996-08-12,1.282,-0.0050000000000001155
1996-08-19,1.279,-0.0029999999999996696
1996-08-26,1.271,-0.00800000000000023
1996-09-02,1.269,-0.0019999999999997797
1996-09-09,1.271,0.0019999999999997797
1996-09-16,1.273,0.0020000000000000018
