Date,Values,Delta Calculations
1994-11-28,1.131, 
1994-12-05,1.123,-0.008000000000000007
1994-12-12,1.108,-0.015000000000000124
1994-12-19,1.098,-0.010000000000000009
1994-12-26,1.087,-0.010999999999999899
1995-01-02,1.09,0.0030000000000001137
1995-01-09,1.111,0.020999999999999908
1995-01-16,1.095,-0.016000000000000014
1995-01-23,1.117,0.02200000000000002
1995-01-30,1.118,0.0009999999999998899
1995-02-06,1.108,-0.010000000000000009
1995-02-13,1.104,-0.0039999999999997815
1995-02-20,1.094,-0.010000000000000009
1995-02-27,1.111,0.016999999999999904
1995-03-06,1.114,0.0030000000000001137
1995-03-13,1.1,-0.014000000000000012
1995-03-20,1.106,0.005999999999999783
1995-03-27,1.119,0.013000000000000123
1995-04-03,1.143,0.02400000000000002
1995-04-10,1.162,0.018999999999999906
1995-04-17,1.178,0.016000000000000014
1995-04-24,1.201,0.02299999999999991
1995-05-01,1.2,-0.0009999999999998899
1995-05-08,1.234,0.03400000000000003
1995-05-15,1.241,0.006999999999999895
1995-05-22,1.269,0.028000000000000247
1995-05-29,1.262,-0.007000000000000117
1995-06-05,1.262,0.0
1995-06-12,1.255,-0.007000000000000117
1995-06-19,1.241,-0.014000000000000012
1995-06-26,1.227,-0.01399999999999979
1995-07-03,1.216,-0.01100000000000012
1995-07-10,1.197,-0.018999999999999906
1995-07-17,1.185,-0.01200000000000001
1995-07-24,1.173,-0.01200000000000001
1995-07-31,1.158,-0.015000000000000124
1995-08-07,1.157,-0.0009999999999998899
1995-08-14,1.16,0.0029999999999998916
1995-08-21,1.166,0.006000000000000005
1995-08-28,1.152,-0.01399999999999979
1995-09-04,1.155,0.0029999999999998916
1995-09-11,1.155,0.0
1995-09-18,1.157,0.0020000000000000018
1995-09-25,1.157,0.0
1995-10-02,1.148,-0.009000000000000119
1995-10-09,1.134,-0.01399999999999979
1995-10-16,1.121,-0.013000000000000123
1995-10-23,1.107,-0.014000000000000012
1995-10-30,1.093,-0.014000000000000012
1995-11-06,1.1,0.007000000000000117
1995-11-13,1.102,0.0020000000000000018
1995-11-20,1.101,-0.001000000000000112
1995-11-27,1.106,0.004999999999999893
1995-12-04,1.114,0.00800000000000023
1995-12-11,1.113,-0.001000000000000112
1995-12-18,1.15,0.03699999999999992
1995-12-25,1.151,0.001000000000000112
1996-01-01,1.151,0.0
1996-01-08,1.171,0.020000000000000018
1996-01-15,1.168,-0.0030000000000001137
1996-01-22,1.15,-0.018000000000000016
1996-01-29,1.14,-0.010000000000000009
1996-02-05,1.139,-0.0009999999999998899
1996-02-12,1.136,-0.0030000000000001137
1996-02-19,1.149,0.013000000000000123
1996-02-26,1.193,0.04400000000000004
1996-03-04,1.208,0.014999999999999902
1996-03-11,1.199,-0.008999999999999897
1996-03-18,1.213,0.014000000000000012
1996-03-25,1.244,0.030999999999999917
1996-04-01,1.252,0.008000000000000007
1996-04-08,1.275,0.02299999999999991
1996-04-15,1.311,0.03600000000000003
1996-04-22,1.302,-0.009000000000000119
1996-04-29,1.314,0.012000000000000233
1996-05-06,1.304,-0.010000000000000009
1996-05-13,1.312,0.007999999999999785
1996-05-20,1.33,0.018000000000000238
1996-05-27,1.313,-0.016999999999999904
1996-06-03,1.302,-0.011000000000000343
1996-06-10,1.297,-0.004999999999999893
1996-06-17,1.292,-0.0050000000000001155
1996-06-24,1.279,-0.012999999999999678
1996-07-01,1.263,-0.016000000000000236
1996-07-08,1.269,0.006000000000000227
1996-07-15,1.271,0.0019999999999997797
1996-07-22,1.272,0.001000000000000112
1996-07-29,1.257,-0.014999999999999902
1996-08-05,1.241,-0.016000000000000236
1996-08-12,1.234,-0.006999999999999895
1996-08-19,1.251,0.016999999999999904
1996-08-26,1.261,0.010000000000000009
1996-09-02,1.248,-0.0129999999999999
1996-09-09,1.266,0.018000000000000016
1996-09-16,1.271,0.004999999999999893
1996-09-23,1.271,0.0
1996-09-30,1.264,-0.006999999999999895
1996-10-07,1.25,-0.014000000000000012
1996-10-14,1.271,0.020999999999999908
1996-10-21,1.27,-0.0009999999999998899
1996-10-28,1.295,0.02499999999999991
1996-11-04,1.308,0.013000000000000123
1996-11-11,1.32,0.01200000000000001
1996-11-18,1.328,0.008000000000000007
1996-11-25,1.34,0.01200000000000001
1996-12-02,1.336,-0.004000000000000226
1996-12-09,1.331,-0.004999999999999893
1996-12-16,1.316,-0.015000000000000124
1996-12-23,1.306,-0.009999999999999787
1996-12-30,1.297,-0.009000000000000119
1997-01-06,1.291,-0.006000000000000005
1997-01-13,1.323,0.03200000000000025
1997-01-20,1.315,-0.00800000000000023
1997-01-27,1.307,-0.008000000000000007
1997-02-03,1.305,-0.0020000000000000018
1997-02-10,1.29,-0.014999999999999902
1997-02-17,1.276,-0.014000000000000012
1997-02-24,1.278,0.0020000000000000018
1997-03-03,1.259,-0.018999999999999906
1997-03-10,1.249,-0.010000000000000009
1997-03-17,1.232,-0.017000000000000126
1997-03-24,1.247,0.015000000000000124
1997-03-31,1.234,-0.013000000000000123
1997-04-07,1.232,-0.0020000000000000018
1997-04-14,1.227,-0.004999999999999893
1997-04-21,1.238,0.010999999999999899
1997-04-28,1.237,-0.0009999999999998899
1997-05-05,1.237,0.0
1997-05-12,1.245,0.008000000000000007
1997-05-19,1.27,0.02499999999999991
1997-05-26,1.289,0.019000000000000128
1997-06-02,1.291,0.0019999999999997797
1997-06-09,1.283,-0.007999999999999785
1997-06-16,1.268,-0.015000000000000124
1997-06-23,1.254,-0.014000000000000012
1997-06-30,1.242,-0.01200000000000001
1997-07-07,1.243,0.0009999999999998899
1997-07-14,1.239,-0.0039999999999997815
1997-07-21,1.255,0.015999999999999792
