Date,Values,Delta Calculations
1994-11-28,1.212, 
1994-12-05,1.249,0.037000000000000144
1994-12-12,1.262,0.0129999999999999
1994-12-19,1.261,-0.001000000000000112
1994-12-26,1.254,-0.006999999999999895
1995-01-02,1.243,-0.01100000000000012
1995-01-09,1.247,0.004000000000000226
1995-01-16,1.24,-0.007000000000000117
1995-01-23,1.239,-0.0009999999999998899
1995-01-30,1.238,-0.001000000000000112
1995-02-06,1.236,-0.0020000000000000018
1995-02-13,1.231,-0.0050000000000001155
1995-02-20,1.233,0.0020000000000000018
1995-02-27,1.23,-0.0029999999999998916
1995-03-06,1.231,0.0009999999999998899
1995-03-13,1.23,-0.0009999999999998899
1995-03-20,1.222,-0.008000000000000007
1995-03-27,1.219,-0.0029999999999998916
1995-04-03,1.226,0.006999999999999895
1995-04-10,1.216,-0.010000000000000009
1995-04-17,1.228,0.01200000000000001
1995-04-24,1.246,0.018000000000000016
1995-05-01,1.258,0.01200000000000001
1995-05-08,1.264,0.006000000000000005
1995-05-15,1.27,0.006000000000000005
1995-05-22,1.289,0.019000000000000128
1995-05-29,1.295,0.005999999999999783
1995-06-05,1.289,-0.005999999999999783
1995-06-12,1.29,0.0009999999999998899
1995-06-19,1.293,0.0030000000000001137
1995-06-26,1.294,0.0009999999999998899
1995-07-03,1.288,-0.006000000000000005
1995-07-10,1.283,-0.004999999999999893
1995-07-17,1.27,-0.013000000000000123
1995-07-24,1.255,-0.015000000000000124
1995-07-31,1.247,-0.007999999999999785
1995-08-07,1.239,-0.008000000000000007
1995-08-14,1.225,-0.014000000000000012
1995-08-21,1.215,-0.010000000000000009
1995-08-28,1.211,-0.004000000000000226
1995-09-04,1.205,-0.005999999999999783
1995-09-11,1.192,-0.013000000000000123
1995-09-18,1.189,-0.0029999999999998916
1995-09-25,1.183,-0.006000000000000005
1995-10-02,1.178,-0.0050000000000001155
1995-10-09,1.175,-0.0029999999999998916
1995-10-16,1.171,-0.0040000000000000036
1995-10-23,1.161,-0.010000000000000009
1995-10-30,1.15,-0.01100000000000012
1995-11-06,1.143,-0.006999999999999895
1995-11-13,1.133,-0.010000000000000009
1995-11-20,1.131,-0.0020000000000000018
1995-11-27,1.126,-0.0050000000000001155
1995-12-04,1.144,0.018000000000000238
1995-12-11,1.144,0.0
1995-12-18,1.15,0.005999999999999783
1995-12-25,1.153,0.0030000000000001137
1996-01-01,1.155,0.0020000000000000018
1996-01-08,1.171,0.016000000000000014
1996-01-15,1.175,0.0040000000000000036
1996-01-22,1.173,-0.0020000000000000018
1996-01-29,1.171,-0.0020000000000000018
1996-02-05,1.176,0.004999999999999893
1996-02-12,1.171,-0.004999999999999893
1996-02-19,1.173,0.0020000000000000018
1996-02-26,1.188,0.014999999999999902
1996-03-04,1.209,0.02100000000000013
1996-03-11,1.209,0.0
1996-03-18,1.224,0.014999999999999902
1996-03-25,1.248,0.02400000000000002
1996-04-01,1.258,0.010000000000000009
1996-04-08,1.296,0.038000000000000034
1996-04-15,1.347,0.050999999999999934
1996-04-22,1.365,0.018000000000000016
1996-04-29,1.367,0.0020000000000000018
1996-05-06,1.37,0.0030000000000001137
1996-05-13,1.366,-0.004000000000000226
1996-05-20,1.361,-0.004999999999999893
1996-05-27,1.357,-0.0040000000000000036
1996-06-03,1.357,0.0
1996-06-10,1.349,-0.008000000000000007
1996-06-17,1.336,-0.013000000000000123
1996-06-24,1.318,-0.017999999999999794
1996-07-01,1.31,-0.008000000000000007
1996-07-08,1.298,-0.01200000000000001
1996-07-15,1.293,-0.004999999999999893
1996-07-22,1.284,-0.009000000000000119
1996-07-29,1.28,-0.0040000000000000036
1996-08-05,1.269,-0.010999999999999899
1996-08-12,1.256,-0.013000000000000123
1996-08-19,1.245,-0.010999999999999899
1996-08-26,1.245,0.0
1996-09-02,1.245,0.0
1996-09-09,1.251,0.005999999999999783
1996-09-16,1.26,0.009000000000000119
1996-09-23,1.262,0.0020000000000000018
1996-09-30,1.258,-0.0040000000000000036
1996-10-07,1.262,0.0040000000000000036
1996-10-14,1.268,0.006000000000000005
1996-10-21,1.26,-0.008000000000000007
1996-10-28,1.264,0.0040000000000000036
1996-11-04,1.261,-0.0030000000000001137
1996-11-11,1.263,0.0020000000000000018
1996-11-18,1.283,0.02000000000000024
1996-11-25,1.281,-0.002000000000000224
1996-12-02,1.284,0.0030000000000001137
1996-12-09,1.28,-0.0040000000000000036
1996-12-16,1.284,0.0040000000000000036
1996-12-23,1.278,-0.006000000000000005
1996-12-30,1.269,-0.008999999999999897
1997-01-06,1.275,0.005999999999999783
1997-01-13,1.28,0.0050000000000001155
1997-01-20,1.28,0.0
1997-01-27,1.275,-0.0050000000000001155
1997-02-03,1.279,0.004000000000000226
1997-02-10,1.276,-0.0030000000000001137
1997-02-17,1.275,-0.001000000000000112
1997-02-24,1.276,0.001000000000000112
1997-03-03,1.269,-0.006999999999999895
1997-03-10,1.264,-0.0050000000000001155
1997-03-17,1.263,-0.001000000000000112
1997-03-24,1.269,0.006000000000000227
1997-03-31,1.27,0.0009999999999998899
1997-04-07,1.262,-0.008000000000000007
1997-04-14,1.26,-0.0020000000000000018
1997-04-21,1.257,-0.0029999999999998916
1997-04-28,1.252,-0.0050000000000001155
1997-05-05,1.249,-0.0029999999999998916
1997-05-12,1.249,0.0
1997-05-19,1.255,0.005999999999999783
1997-05-26,1.27,0.015000000000000124
1997-06-02,1.271,0.0009999999999998899
1997-06-09,1.271,0.0
1997-06-16,1.268,-0.0029999999999998916
1997-06-23,1.259,-0.008999999999999897
1997-06-30,1.257,-0.0020000000000000018
1997-07-07,1.241,-0.016000000000000236
1997-07-14,1.242,0.001000000000000112
1997-07-21,1.242,0.0
1997-07-28,1.236,-0.006000000000000005
1997-08-04,1.245,0.009000000000000119
1997-08-11,1.301,0.05599999999999983
1997-08-18,1.299,-0.0019999999999997797
1997-08-25,1.313,0.014000000000000012
1997-09-01,1.312,-0.001000000000000334
1997-09-08,1.308,-0.0039999999999997815
1997-09-15,1.306,-0.0020000000000000018
1997-09-22,1.301,-0.0050000000000001155
1997-09-29,1.28,-0.020999999999999908
1997-10-06,1.276,-0.0040000000000000036
1997-10-13,1.269,-0.006999999999999895
1997-10-20,1.269,0.0
1997-10-27,1.263,-0.006000000000000227
1997-11-03,1.253,-0.010000000000000009
1997-11-10,1.246,-0.006999999999999895
1997-11-17,1.236,-0.010000000000000009
1997-11-24,1.228,-0.008000000000000007
1997-12-01,1.228,0.0
1997-12-08,1.217,-0.010999999999999899
1997-12-15,1.211,-0.006000000000000227
1997-12-22,1.209,-0.0019999999999997797
1997-12-29,1.199,-0.010000000000000009
1998-01-05,1.194,-0.0050000000000001155
1998-01-12,1.193,-0.0009999999999998899
1998-01-19,1.181,-0.01200000000000001
1998-01-26,1.174,-0.006999999999999895
1998-02-02,1.155,-0.019000000000000128
1998-02-09,1.148,-0.007000000000000117
1998-02-16,1.136,-0.01200000000000001
1998-02-23,1.132,-0.0039999999999997815
1998-03-02,1.128,-0.004000000000000226
1998-03-09,1.109,-0.018999999999999906
1998-03-16,1.094,-0.014999999999999902
1998-03-23,1.087,-0.007000000000000117
1998-03-30,1.101,0.014000000000000012
1998-04-06,1.113,0.01200000000000001
1998-04-13,1.105,-0.008000000000000007
1998-04-20,1.102,-0.0029999999999998916
1998-04-27,1.108,0.005999999999999783
1998-05-04,1.103,-0.004999999999999893
1998-05-11,1.117,0.014000000000000012
1998-05-18,1.118,0.0009999999999998899
1998-05-25,1.116,-0.0020000000000000018
1998-06-01,1.109,-0.006999999999999895
1998-06-08,1.112,0.0030000000000001137
1998-06-15,1.11,-0.0020000000000000018
1998-06-22,1.109,-0.001000000000000112
1998-06-29,1.101,-0.008000000000000007
1998-07-06,1.103,0.0020000000000000018
1998-07-13,1.105,0.0020000000000000018
1998-07-20,1.109,0.0040000000000000036
1998-07-27,1.102,-0.006999999999999895
1998-08-03,1.102,0.0
1998-08-10,1.096,-0.006000000000000227
1998-08-17,1.092,-0.0039999999999997815
1998-08-24,1.09,-0.0020000000000000018
1998-08-31,1.082,-0.008000000000000007
1998-09-07,1.082,0.0
1998-09-14,1.081,-0.001000000000000112
1998-09-21,1.078,-0.0029999999999998916
1998-09-28,1.082,0.0040000000000000036
1998-10-05,1.083,0.0009999999999998899
1998-10-12,1.088,0.0050000000000001155
1998-10-19,1.092,0.0040000000000000036
1998-10-26,1.089,-0.0030000000000001137
1998-11-02,1.084,-0.004999999999999893
1998-11-09,1.081,-0.0030000000000001137
1998-11-16,1.078,-0.0029999999999998916
1998-11-23,1.069,-0.009000000000000119
1998-11-30,1.067,-0.0020000000000000018
1998-12-07,1.058,-0.008999999999999897
1998-12-14,1.048,-0.010000000000000009
1998-12-21,1.046,-0.0020000000000000018
1998-12-28,1.043,-0.0030000000000001137
1999-01-04,1.037,-0.006000000000000005
1999-01-11,1.03,-0.006999999999999895
1999-01-18,1.027,-0.0029999999999998916
1999-01-25,1.024,-0.0030000000000001137
1999-02-01,1.027,0.0030000000000001137
1999-02-08,1.026,-0.001000000000000112
1999-02-15,1.024,-0.0020000000000000018
1999-02-22,1.015,-0.009000000000000119
1999-03-01,1.011,-0.0040000000000000036
1999-03-08,1.002,-0.008999999999999897
1999-03-15,1.026,0.02400000000000002
1999-03-22,1.057,0.030999999999999917
1999-03-29,1.097,0.040000000000000036
1999-04-05,1.114,0.017000000000000126
1999-04-12,1.129,0.014999999999999902
1999-04-19,1.139,0.010000000000000009
1999-04-26,1.15,0.010999999999999899
1999-05-03,1.149,-0.0009999999999998899
1999-05-10,1.155,0.006000000000000005
1999-05-17,1.158,0.0029999999999998916
1999-05-24,1.163,0.0050000000000001155
1999-05-31,1.163,0.0
1999-06-07,1.159,-0.0040000000000000036
1999-06-14,1.156,-0.0030000000000001137
1999-06-21,1.157,0.001000000000000112
1999-06-28,1.15,-0.007000000000000117
1999-07-05,1.158,0.008000000000000007
1999-07-12,1.166,0.008000000000000007
1999-07-19,1.184,0.018000000000000238
1999-07-26,1.199,0.014999999999999902
1999-08-02,1.211,0.011999999999999789
1999-08-09,1.221,0.010000000000000009
1999-08-16,1.241,0.020000000000000018
1999-08-23,1.248,0.007000000000000117
1999-08-30,1.254,0.006000000000000005
1999-09-06,1.26,0.006000000000000005
1999-09-13,1.271,0.010999999999999899
1999-09-20,1.294,0.02300000000000013
1999-09-27,1.296,0.0020000000000000018
1999-10-04,1.297,0.0009999999999998899
1999-10-11,1.295,-0.0020000000000000018
1999-10-18,1.293,-0.0019999999999997797
1999-10-25,1.289,-0.0040000000000000036
1999-11-01,1.283,-0.006000000000000005
1999-11-08,1.279,-0.0040000000000000036
1999-11-15,1.28,0.0009999999999998899
1999-11-22,1.299,0.019000000000000128
1999-11-29,1.308,0.008999999999999897
1999-12-06,1.312,0.0039999999999997815
1999-12-13,1.312,0.0
1999-12-20,1.312,0.0
1999-12-27,1.309,-0.0029999999999996696
2000-01-03,1.314,0.004999999999999893
2000-01-10,1.31,-0.0040000000000000036
2000-01-17,1.314,0.0040000000000000036
2000-01-24,1.342,0.027999999999999803
2000-01-31,1.34,-0.0019999999999997797
2000-02-07,1.351,0.010999999999999899
2000-02-14,1.377,0.0259999999999998
2000-02-21,1.409,0.03200000000000025
2000-02-28,1.42,0.010999999999999899
2000-03-06,1.503,0.08300000000000018
2000-03-13,1.547,0.04399999999999982
2000-03-20,1.603,0.05600000000000027
2000-03-27,1.598,-0.0050000000000001155
2000-04-03,1.59,-0.008000000000000007
2000-04-10,1.569,-0.02100000000000013
2000-04-17,1.551,-0.018000000000000016
2000-04-24,1.516,-0.03499999999999992
2000-05-01,1.505,-0.01100000000000012
2000-05-08,1.514,0.009000000000000119
2000-05-15,1.555,0.040999999999999925
2000-05-22,1.565,0.010000000000000009
2000-05-29,1.563,-0.0019999999999997797
2000-06-05,1.58,0.016999999999999904
2000-06-12,1.572,-0.00800000000000023
2000-06-19,1.613,0.04100000000000037
2000-06-26,1.616,0.0029999999999996696
2000-07-03,1.613,-0.0029999999999996696
2000-07-10,1.644,0.030999999999999917
2000-07-17,1.629,-0.015000000000000124
2000-07-24,1.622,-0.007000000000000117
2000-07-31,1.602,-0.020000000000000018
2000-08-07,1.569,-0.03299999999999992
2000-08-14,1.542,-0.027000000000000135
2000-08-21,1.536,-0.005999999999999783
2000-08-28,1.538,0.0020000000000000018
2000-09-04,1.54,0.0020000000000000018
2000-09-11,1.55,0.010000000000000009
2000-09-18,1.55,0.0
2000-09-25,1.543,-0.006999999999999895
2000-10-02,1.538,-0.0050000000000001155
2000-10-09,1.523,-0.014999999999999902
2000-10-16,1.522,-0.001000000000000334
2000-10-23,1.526,0.004000000000000226
2000-10-30,1.521,-0.0050000000000001155
2000-11-06,1.508,-0.0129999999999999
2000-11-13,1.51,0.0020000000000000018
2000-11-20,1.503,-0.006999999999999895
2000-11-27,1.499,-0.0040000000000000036
2000-12-04,1.491,-0.00800000000000023
