Date,Values,Delta Calculations
1994-11-28,1.311, 
1994-12-05,1.317,0.006000000000000005
1994-12-12,1.318,0.001000000000000112
1994-12-19,1.297,-0.02100000000000013
1994-12-26,1.28,-0.016999999999999904
1995-01-02,1.263,-0.017000000000000126
1995-01-09,1.254,-0.008999999999999897
1995-01-16,1.246,-0.008000000000000007
1995-01-23,1.261,0.014999999999999902
1995-01-30,1.244,-0.016999999999999904
1995-02-06,1.235,-0.008999999999999897
1995-02-13,1.24,0.004999999999999893
1995-02-20,1.23,-0.010000000000000009
1995-02-27,1.224,-0.006000000000000005
1995-03-06,1.254,0.030000000000000027
1995-03-13,1.237,-0.016999999999999904
1995-03-20,1.229,-0.008000000000000007
1995-03-27,1.264,0.03499999999999992
1995-04-03,1.255,-0.009000000000000119
1995-04-10,1.296,0.04100000000000015
1995-04-17,1.288,-0.008000000000000007
1995-04-24,1.279,-0.008999999999999897
1995-05-01,1.302,0.022999999999999687
1995-05-08,1.291,-0.010999999999999899
1995-05-15,1.313,0.02200000000000024
1995-05-22,1.314,0.0009999999999998899
1995-05-29,1.343,0.029000000000000137
1995-06-05,1.331,-0.012000000000000233
1995-06-12,1.337,0.006000000000000005
1995-06-19,1.326,-0.01100000000000012
1995-06-26,1.336,0.010000000000000009
1995-07-03,1.337,0.001000000000000112
1995-07-10,1.327,-0.010000000000000009
1995-07-17,1.319,-0.008000000000000007
1995-07-24,1.321,0.0020000000000000018
1995-07-31,1.312,-0.009000000000000119
1995-08-07,1.301,-0.010999999999999899
1995-08-14,1.307,0.006000000000000005
1995-08-21,1.326,0.018999999999999906
1995-08-28,1.317,-0.008999999999999897
1995-09-04,1.305,-0.01200000000000001
1995-09-11,1.316,0.010999999999999899
1995-09-18,1.336,0.020000000000000018
1995-09-25,1.332,-0.0040000000000000036
1995-10-02,1.336,0.0040000000000000036
1995-10-09,1.324,-0.011999999999999789
1995-10-16,1.31,-0.014000000000000012
1995-10-23,1.306,-0.0040000000000000036
1995-10-30,1.314,0.008000000000000007
1995-11-06,1.307,-0.007000000000000117
1995-11-13,1.299,-0.007999999999999785
1995-11-20,1.315,0.015999999999999792
1995-11-27,1.304,-0.010999999999999899
1995-12-04,1.288,-0.016000000000000014
1995-12-11,1.292,0.0039999999999997815
1995-12-18,1.278,-0.01399999999999979
1995-12-25,1.269,-0.008999999999999897
1996-01-01,1.261,-0.00800000000000023
1996-01-08,1.288,0.027000000000000135
1996-01-15,1.281,-0.007000000000000117
1996-01-22,1.264,-0.016999999999999904
1996-01-29,1.272,0.008000000000000007
1996-02-05,1.26,-0.01200000000000001
1996-02-12,1.248,-0.01200000000000001
1996-02-19,1.294,0.04600000000000004
1996-02-26,1.285,-0.009000000000000119
1996-03-04,1.304,0.019000000000000128
1996-03-11,1.29,-0.014000000000000012
1996-03-18,1.288,-0.0020000000000000018
1996-03-25,1.334,0.04600000000000004
1996-04-01,1.334,0.0
1996-04-08,1.371,0.03699999999999992
1996-04-15,1.402,0.030999999999999917
1996-04-22,1.426,0.02400000000000002
1996-04-29,1.503,0.07700000000000018
1996-05-06,1.521,0.017999999999999794
1996-05-13,1.517,-0.0040000000000000036
1996-05-20,1.531,0.014000000000000012
1996-05-27,1.517,-0.014000000000000012
1996-06-03,1.496,-0.020999999999999908
1996-06-10,1.477,-0.019000000000000128
1996-06-17,1.488,0.011000000000000343
1996-06-24,1.468,-0.020000000000000018
1996-07-01,1.467,-0.001000000000000334
1996-07-08,1.457,-0.010000000000000009
1996-07-15,1.442,-0.014999999999999902
1996-07-22,1.451,0.008999999999999897
1996-07-29,1.439,-0.011999999999999789
1996-08-05,1.459,0.020000000000000018
1996-08-12,1.469,0.010000000000000009
1996-08-19,1.456,-0.013000000000000123
1996-08-26,1.469,0.013000000000000123
1996-09-02,1.462,-0.007000000000000117
1996-09-09,1.453,-0.008999999999999897
1996-09-16,1.465,0.01200000000000001
1996-09-23,1.459,-0.006000000000000005
1996-09-30,1.45,-0.009000000000000119
1996-10-07,1.457,0.006999999999999895
1996-10-14,1.448,-0.008999999999999675
1996-10-21,1.442,-0.006000000000000227
1996-10-28,1.452,0.010000000000000009
