Date,Values,Delta Calculations
1994-11-28,1.255, 
1994-12-05,1.252,-0.0029999999999998916
1994-12-12,1.244,-0.008000000000000007
1994-12-19,1.235,-0.008999999999999897
1994-12-26,1.236,0.0009999999999998899
1995-01-02,1.254,0.018000000000000016
1995-01-09,1.257,0.0030000000000001137
1995-01-16,1.258,0.0009999999999998899
1995-01-23,1.247,-0.010999999999999899
1995-01-30,1.244,-0.0030000000000001137
1995-02-06,1.239,-0.004999999999999893
1995-02-13,1.237,-0.0020000000000000018
1995-02-20,1.234,-0.0030000000000001137
1995-02-27,1.23,-0.0040000000000000036
1995-03-06,1.23,0.0
1995-03-13,1.219,-0.010999999999999899
1995-03-20,1.217,-0.0020000000000000018
1995-03-27,1.21,-0.007000000000000117
1995-04-03,1.207,-0.0029999999999998916
1995-04-10,1.229,0.02200000000000002
1995-04-17,1.23,0.0009999999999998899
1995-04-24,1.249,0.019000000000000128
1995-05-01,1.249,0.0
1995-05-08,1.261,0.011999999999999789
1995-05-15,1.271,0.010000000000000009
1995-05-22,1.272,0.001000000000000112
1995-05-29,1.267,-0.004999999999999893
1995-06-05,1.26,-0.007000000000000117
1995-06-12,1.254,-0.006000000000000005
1995-06-19,1.251,-0.0030000000000001137
1995-06-26,1.245,-0.005999999999999783
1995-07-03,1.24,-0.0050000000000001155
1995-07-10,1.23,-0.010000000000000009
1995-07-17,1.216,-0.014000000000000012
1995-07-24,1.205,-0.010999999999999899
1995-07-31,1.189,-0.016000000000000014
1995-08-07,1.178,-0.01100000000000012
1995-08-14,1.17,-0.008000000000000007
1995-08-21,1.16,-0.010000000000000009
1995-08-28,1.16,0.0
1995-09-04,1.158,-0.0020000000000000018
1995-09-11,1.145,-0.0129999999999999
1995-09-18,1.145,0.0
1995-09-25,1.138,-0.007000000000000117
1995-10-02,1.158,0.020000000000000018
1995-10-09,1.161,0.0030000000000001137
1995-10-16,1.166,0.004999999999999893
1995-10-23,1.169,0.0030000000000001137
1995-10-30,1.16,-0.009000000000000119
1995-11-06,1.158,-0.0020000000000000018
1995-11-13,1.164,0.006000000000000227
1995-11-20,1.161,-0.0030000000000001137
1995-11-27,1.157,-0.0040000000000000036
1995-12-04,1.148,-0.009000000000000119
1995-12-11,1.144,-0.0039999999999997815
1995-12-18,1.146,0.0019999999999997797
1995-12-25,1.152,0.006000000000000227
1996-01-01,1.146,-0.006000000000000227
1996-01-08,1.143,-0.0029999999999998916
1996-01-15,1.158,0.014999999999999902
1996-01-22,1.159,0.001000000000000112
1996-01-29,1.157,-0.0020000000000000018
1996-02-05,1.152,-0.004999999999999893
1996-02-12,1.154,0.0020000000000000018
1996-02-19,1.169,0.014999999999999902
1996-02-26,1.193,0.02400000000000002
1996-03-04,1.209,0.016000000000000014
1996-03-11,1.229,0.020000000000000018
1996-03-18,1.241,0.011999999999999789
1996-03-25,1.251,0.010000000000000009
1996-04-01,1.281,0.030000000000000027
1996-04-08,1.318,0.037000000000000144
1996-04-15,1.368,0.050000000000000044
1996-04-22,1.482,0.11399999999999988
1996-04-29,1.537,0.05499999999999994
1996-05-06,1.537,0.0
1996-05-13,1.531,-0.006000000000000005
1996-05-20,1.519,-0.011999999999999789
1996-05-27,1.507,-0.012000000000000233
1996-06-03,1.509,0.002000000000000224
1996-06-10,1.493,-0.016000000000000014
1996-06-17,1.48,-0.013000000000000123
1996-06-24,1.468,-0.011999999999999789
1996-07-01,1.454,-0.014000000000000234
1996-07-08,1.445,-0.008999999999999897
1996-07-15,1.437,-0.00800000000000023
1996-07-22,1.421,-0.015999999999999792
1996-07-29,1.402,-0.019000000000000128
1996-08-05,1.379,-0.02299999999999991
1996-08-12,1.358,-0.020999999999999908
1996-08-19,1.341,-0.017000000000000126
1996-08-26,1.343,0.002000000000000224
1996-09-02,1.304,-0.039000000000000146
1996-09-09,1.294,-0.010000000000000009
1996-09-16,1.296,0.0020000000000000018
1996-09-23,1.289,-0.006999999999999895
1996-09-30,1.278,-0.01100000000000012
1996-10-07,1.263,-0.015000000000000124
1996-10-14,1.25,-0.0129999999999999
1996-10-21,1.23,-0.020000000000000018
1996-10-28,1.208,-0.02200000000000002
1996-11-04,1.191,-0.017000000000000126
1996-11-11,1.163,-0.027999999999999803
1996-11-18,1.16,-0.0030000000000001137
1996-11-25,1.163,0.0030000000000001137
1996-12-02,1.165,0.0020000000000000018
1996-12-09,1.173,0.008000000000000007
1996-12-16,1.182,0.008999999999999897
1996-12-23,1.193,0.01100000000000012
1996-12-30,1.198,0.004999999999999893
1997-01-06,1.217,0.019000000000000128
1997-01-13,1.241,0.0239999999999998
1997-01-20,1.252,0.01100000000000012
1997-01-27,1.254,0.0020000000000000018
1997-02-03,1.267,0.013000000000000123
1997-02-10,1.281,0.01399999999999979
1997-02-17,1.279,-0.0019999999999997797
1997-02-24,1.285,0.005999999999999783
1997-03-03,1.285,0.0
1997-03-10,1.303,0.018000000000000238
1997-03-17,1.315,0.011999999999999789
1997-03-24,1.328,0.013000000000000123
1997-03-31,1.351,0.02299999999999991
1997-04-07,1.372,0.020999999999999908
