Date,Values,Delta Calculations
1986-12-27,143290.0, 
1987-01-03,148139.0,4849.0
1987-01-10,159086.0,10947.0
1987-01-17,153180.0,-5906.0
1987-01-24,166109.0,12929.0
1987-01-31,163995.0,-2114.0
1987-02-07,161133.0,-2862.0
1987-02-14,163463.0,2330.0
1987-02-21,161933.0,-1530.0
1987-02-28,160138.0,-1795.0
1987-03-07,155029.0,-5109.0
1987-03-14,154421.0,-608.0
1987-03-21,151049.0,-3372.0
1987-03-28,145412.0,-5637.0
1987-04-04,140032.0,-5380.0
1987-04-11,140844.0,812.0
1987-04-18,135151.0,-5693.0
1987-04-25,133596.0,-1555.0
1987-05-02,126259.0,-7337.0
1987-05-09,122668.0,-3591.0
1987-05-16,120960.0,-1708.0
1987-05-23,114982.0,-5978.0
1987-05-30,117821.0,2839.0
1987-06-06,111927.0,-5894.0
1987-06-13,116433.0,4506.0
1987-06-20,111701.0,-4732.0
1987-06-27,108958.0,-2743.0
1987-07-04,108848.0,-110.0
1987-07-11,115044.0,6196.0
1987-07-18,110279.0,-4765.0
1987-07-25,114236.0,3957.0
1987-08-01,110615.0,-3621.0
1987-08-08,106877.0,-3738.0
1987-08-15,103411.0,-3466.0
1987-08-22,98934.0,-4477.0
1987-08-29,102649.0,3715.0
1987-09-05,94550.0,-8099.0
1987-09-12,97035.0,2485.0
1987-09-19,91787.0,-5248.0
1987-09-26,94271.0,2484.0
1987-10-03,91998.0,-2273.0
1987-10-10,88648.0,-3350.0
1987-10-17,93142.0,4494.0
1987-10-24,91049.0,-2093.0
1987-10-31,92327.0,1278.0
1987-11-07,89124.0,-3203.0
1987-11-14,99415.0,10291.0
1987-11-21,87800.0,-11615.0
1987-11-28,107031.0,19231.0
1987-12-05,99902.0,-7129.0
1987-12-12,114128.0,14226.0
1987-12-19,106039.0,-8089.0
1987-12-26,123279.0,17240.0
1988-01-02,123316.0,37.0
1988-01-09,138619.0,15303.0
1988-01-16,144777.0,6158.0
1988-01-23,144196.0,-581.0
1988-01-30,146724.0,2528.0
1988-02-06,141108.0,-5616.0
1988-02-13,151993.0,10885.0
1988-02-20,144658.0,-7335.0
1988-02-27,148519.0,3861.0
1988-03-05,137551.0,-10968.0
1988-03-12,141746.0,4195.0
1988-03-19,129438.0,-12308.0
1988-03-26,130176.0,738.0
1988-04-02,117258.0,-12918.0
1988-04-09,123839.0,6581.0
1988-04-16,112881.0,-10958.0
1988-04-23,109330.0,-3551.0
1988-04-30,104376.0,-4954.0
1988-05-07,101557.0,-2819.0
1988-05-14,98915.0,-2642.0
1988-05-21,99685.0,770.0
1988-05-28,92863.0,-6822.0
1988-06-04,95239.0,2376.0
1988-06-11,94459.0,-780.0
1988-06-18,93412.0,-1047.0
1988-06-25,91698.0,-1714.0
1988-07-02,88079.0,-3619.0
1988-07-09,96827.0,8748.0
1988-07-16,97430.0,603.0
1988-07-23,98789.0,1359.0
1988-07-30,96851.0,-1938.0
1988-08-06,91317.0,-5534.0
1988-08-13,90811.0,-506.0
1988-08-20,87898.0,-2913.0
1988-08-27,87850.0,-48.0
1988-09-03,80303.0,-7547.0
1988-09-10,82495.0,2192.0
1988-09-17,81156.0,-1339.0
1988-09-24,78693.0,-2463.0
1988-10-01,77000.0,-1693.0
1988-10-08,75804.0,-1196.0
1988-10-15,81270.0,5466.0
1988-10-22,76901.0,-4369.0
1988-10-29,82503.0,5602.0
1988-11-05,73401.0,-9102.0
1988-11-12,87536.0,14135.0
1988-11-19,74438.0,-13098.0
1988-11-26,97019.0,22581.0
1988-12-03,83823.0,-13196.0
1988-12-10,99352.0,15529.0
1988-12-17,93937.0,-5415.0
1988-12-24,103830.0,9893.0
1988-12-31,107612.0,3782.0
1989-01-07,124556.0,16944.0
1989-01-14,127684.0,3128.0
1989-01-21,126835.0,-849.0
1989-01-28,130433.0,3598.0
1989-02-04,124869.0,-5564.0
1989-02-11,131318.0,6449.0
1989-02-18,133910.0,2592.0
1989-02-25,136575.0,2665.0
1989-03-04,137446.0,871.0
1989-03-11,134885.0,-2561.0
1989-03-18,131213.0,-3672.0
1989-03-25,127834.0,-3379.0
1989-04-01,121821.0,-6013.0
1989-04-08,119167.0,-2654.0
1989-04-15,117270.0,-1897.0
1989-04-22,107248.0,-10022.0
1989-04-29,105059.0,-2189.0
1989-05-06,98493.0,-6566.0
1989-05-13,98931.0,438.0
1989-05-20,93835.0,-5096.0
1989-05-27,91361.0,-2474.0
1989-06-03,94588.0,3227.0
1989-06-10,95070.0,482.0
1989-06-17,89367.0,-5703.0
1989-06-24,100905.0,11538.0
1989-07-01,87301.0,-13604.0
1989-07-08,98722.0,11421.0
1989-07-15,100588.0,1866.0
1989-07-22,102763.0,2175.0
1989-07-29,95524.0,-7239.0
1989-08-05,96033.0,509.0
1989-08-12,94045.0,-1988.0
1989-08-19,91327.0,-2718.0
1989-08-26,90234.0,-1093.0
1989-09-02,84669.0,-5565.0
1989-09-09,88177.0,3508.0
1989-09-16,86298.0,-1879.0
1989-09-23,84266.0,-2032.0
1989-09-30,84105.0,-161.0
1989-10-07,81430.0,-2675.0
1989-10-14,85721.0,4291.0
1989-10-21,83142.0,-2579.0
1989-10-28,88896.0,5754.0
1989-11-04,83007.0,-5889.0
1989-11-11,94099.0,11092.0
1989-11-18,83421.0,-10678.0
1989-11-25,106889.0,23468.0
1989-12-02,97988.0,-8901.0
1989-12-09,110935.0,12947.0
1989-12-16,107892.0,-3043.0
1989-12-23,128944.0,21052.0
1989-12-30,133036.0,4092.0
1990-01-06,147367.0,14331.0
1990-01-13,145682.0,-1685.0
1990-01-20,147868.0,2186.0
1990-01-27,140817.0,-7051.0
1990-02-03,48664.0,-92153.0
1990-02-10,146357.0,97693.0
1990-02-17,145331.0,-1026.0
1990-02-24,148044.0,2713.0
1990-03-03,144248.0,-3796.0
1990-03-10,144814.0,566.0
1990-03-17,141836.0,-2978.0
1990-03-24,138011.0,-3825.0
1990-03-31,133371.0,-4640.0
1990-04-07,103248.0,-30123.0
1990-04-14,131799.0,28551.0
1990-04-21,119831.0,-11968.0
1990-04-28,120128.0,297.0
1990-05-05,107441.0,-12687.0
1990-05-12,111209.0,3768.0
1990-05-19,106004.0,-5205.0
1990-05-26,108594.0,2590.0
1990-06-02,104763.0,-3831.0
1990-06-09,105921.0,1158.0
1990-06-16,105394.0,-527.0
1990-06-23,105361.0,-33.0
1990-06-30,99920.0,-5441.0
1990-07-07,107469.0,7549.0
1990-07-14,112609.0,5140.0
1990-07-21,111626.0,-983.0
1990-07-28,108208.0,-3418.0
1990-08-04,104713.0,-3495.0
1990-08-11,102626.0,-2087.0
1990-08-18,103783.0,1157.0
1990-08-25,102968.0,-815.0
1990-09-01,98584.0,-4384.0
1990-09-08,103659.0,5075.0
1990-09-15,98629.0,-5030.0
1990-09-22,99226.0,597.0
1990-09-29,98886.0,-340.0
1990-10-06,96472.0,-2414.0
1990-10-13,103727.0,7255.0
1990-10-20,102895.0,-832.0
1990-10-27,106320.0,3425.0
1990-11-03,103216.0,-3104.0
1990-11-10,111505.0,8289.0
1990-11-17,106531.0,-4974.0
1990-11-24,123719.0,17188.0
1990-12-01,126438.0,2719.0
1990-12-08,132796.0,6358.0
1990-12-15,145285.0,12489.0
1990-12-22,134027.0,-11258.0
1990-12-29,161105.0,27078.0
1991-01-05,178503.0,17398.0
1991-01-12,187362.0,8859.0
1991-01-19,175800.0,-11562.0
1991-01-26,194285.0,18485.0
1991-02-02,184775.0,-9510.0
1991-02-09,193205.0,8430.0
1991-02-16,192939.0,-266.0
1991-02-23,201487.0,8548.0
1991-03-02,189675.0,-11812.0
1991-03-09,197183.0,7508.0
1991-03-16,196924.0,-259.0
1991-03-23,193516.0,-3408.0
1991-03-30,180975.0,-12541.0
1991-04-06,179503.0,-1472.0
1991-04-13,178465.0,-1038.0
1991-04-20,163882.0,-14583.0
1991-04-27,170546.0,6664.0
1991-05-04,152104.0,-18442.0
1991-05-11,153711.0,1607.0
1991-05-18,146190.0,-7521.0
1991-05-25,147533.0,1343.0
1991-06-01,142211.0,-5322.0
1991-06-08,146271.0,4060.0
1991-06-15,145005.0,-1266.0
1991-06-22,141062.0,-3943.0
1991-06-29,133977.0,-7085.0
1991-07-06,143996.0,10019.0
1991-07-13,144537.0,541.0
1991-07-20,142917.0,-1620.0
1991-07-27,145421.0,2504.0
1991-08-03,137444.0,-7977.0
1991-08-10,140789.0,3345.0
1991-08-17,138527.0,-2262.0
1991-08-24,128958.0,-9569.0
1991-08-31,124086.0,-4872.0
1991-09-07,124839.0,753.0
1991-09-14,123177.0,-1662.0
1991-09-21,120320.0,-2857.0
1991-09-28,121169.0,849.0
1991-10-05,117823.0,-3346.0
1991-10-12,121581.0,3758.0
1991-10-19,121723.0,142.0
1991-10-26,121968.0,245.0
1991-11-02,125910.0,3942.0
1991-11-09,136447.0,10537.0
1991-11-16,142787.0,6340.0
1991-11-23,144885.0,2098.0
1991-11-30,161390.0,16505.0
1991-12-07,168941.0,7551.0
1991-12-14,179470.0,10529.0
1991-12-21,164784.0,-14686.0
1991-12-28,188724.0,23940.0
1992-01-04,204935.0,16211.0
1992-01-11,203472.0,-1463.0
1992-01-18,199840.0,-3632.0
1992-01-25,210929.0,11089.0
1992-02-01,207132.0,-3797.0
1992-02-08,201623.0,-5509.0
1992-02-15,200794.0,-829.0
1992-02-22,218470.0,17676.0
1992-02-29,205285.0,-13185.0
1992-03-07,198434.0,-6851.0
1992-03-14,199220.0,786.0
1992-03-21,194110.0,-5110.0
1992-03-28,192431.0,-1679.0
1992-04-04,184470.0,-7961.0
1992-04-11,184777.0,307.0
1992-04-18,169548.0,-15229.0
1992-04-25,178482.0,8934.0
1992-05-02,163467.0,-15015.0
1992-05-09,158201.0,-5266.0
1992-05-16,151613.0,-6588.0
1992-05-23,146870.0,-4743.0
1992-05-30,146559.0,-311.0
1992-06-06,138662.0,-7897.0
1992-06-13,143795.0,5133.0
1992-06-20,140402.0,-3393.0
1992-06-27,135185.0,-5217.0
1992-07-04,143988.0,8803.0
1992-07-11,140505.0,-3483.0
1992-07-18,143409.0,2904.0
1992-07-25,144488.0,1079.0
1992-08-01,137255.0,-7233.0
1992-08-08,135205.0,-2050.0
1992-08-15,136813.0,1608.0
1992-08-22,129170.0,-7643.0
1992-08-29,127423.0,-1747.0
1992-09-05,116760.0,-10663.0
1992-09-12,127666.0,10906.0
1992-09-19,119213.0,-8453.0
1992-09-26,118538.0,-675.0
1992-10-03,112766.0,-5772.0
1992-10-10,115482.0,2716.0
1992-10-17,116787.0,1305.0
1992-10-24,120475.0,3688.0
1992-10-31,111239.0,-9236.0
1992-11-07,115123.0,3884.0
1992-11-14,129210.0,14087.0
1992-11-21,116080.0,-13130.0
1992-11-28,138375.0,22295.0
1992-12-05,129184.0,-9191.0
1992-12-12,138313.0,9129.0
1992-12-19,135559.0,-2754.0
1992-12-26,148350.0,12791.0
1993-01-02,162934.0,14584.0
1993-01-09,167114.0,4180.0
1993-01-16,167720.0,606.0
1993-01-23,174379.0,6659.0
1993-01-30,170703.0,-3676.0
1993-02-06,165751.0,-4952.0
1993-02-13,168924.0,3173.0
1993-02-20,171700.0,2776.0
1993-02-27,168548.0,-3152.0
1993-03-06,177113.0,8565.0
1993-03-13,174418.0,-2695.0
1993-03-20,164510.0,-9908.0
1993-03-27,168219.0,3709.0
1993-04-03,157114.0,-11105.0
1993-04-10,162640.0,5526.0
1993-04-17,150222.0,-12418.0
1993-04-24,154777.0,4555.0
1993-05-01,139515.0,-15262.0
1993-05-08,142990.0,3475.0
1993-05-15,134060.0,-8930.0
1993-05-22,133397.0,-663.0
1993-05-29,122178.0,-11219.0
1993-06-05,130036.0,7858.0
1993-06-12,131856.0,1820.0
1993-06-19,136372.0,4516.0
1993-06-26,124402.0,-11970.0
1993-07-03,127458.0,3056.0
1993-07-10,134853.0,7395.0
1993-07-17,133503.0,-1350.0
1993-07-24,130158.0,-3345.0
1993-07-31,127617.0,-2541.0
1993-08-07,127470.0,-147.0
1993-08-14,125331.0,-2139.0
1993-08-21,121513.0,-3818.0
1993-08-28,118202.0,-3311.0
1993-09-04,111292.0,-6910.0
1993-09-11,114086.0,2794.0
1993-09-18,119410.0,5324.0
1993-09-25,116333.0,-3077.0
1993-10-02,111654.0,-4679.0
1993-10-09,102798.0,-8856.0
1993-10-16,112687.0,9889.0
1993-10-23,104020.0,-8667.0
1993-10-30,109951.0,5931.0
1993-11-06,106399.0,-3552.0
1993-11-13,115968.0,9569.0
1993-11-20,100763.0,-15205.0
1993-11-27,128415.0,27652.0
1993-12-04,118833.0,-9582.0
1993-12-11,133344.0,14511.0
1993-12-18,123413.0,-9931.0
1993-12-25,137863.0,14450.0
1994-01-01,149164.0,11301.0
1994-01-08,161608.0,12444.0
1994-01-15,152272.0,-9336.0
1994-01-22,169218.0,16946.0
1994-01-29,172120.0,2902.0
1994-02-05,160957.0,-11163.0
1994-02-12,178432.0,17475.0
1994-02-19,159627.0,-18805.0
1994-02-26,169637.0,10010.0
1994-03-05,160176.0,-9461.0
1994-03-12,163628.0,3452.0
1994-03-19,147856.0,-15772.0
1994-03-26,150929.0,3073.0
1994-04-02,138014.0,-12915.0
1994-04-09,137596.0,-418.0
1994-04-16,130016.0,-7580.0
1994-04-23,129852.0,-164.0
1994-04-30,123738.0,-6114.0
1994-05-07,119162.0,-4576.0
1994-05-14,113760.0,-5402.0
1994-05-21,108314.0,-5446.0
1994-05-28,106115.0,-2199.0
1994-06-04,107716.0,1601.0
1994-06-11,104477.0,-3239.0
1994-06-18,108418.0,3941.0
1994-06-25,106176.0,-2242.0
1994-07-02,102518.0,-3658.0
1994-07-09,108867.0,6349.0
1994-07-16,109121.0,254.0
1994-07-23,104950.0,-4171.0
1994-07-30,103755.0,-1195.0
1994-08-06,102925.0,-830.0
1994-08-13,101269.0,-1656.0
1994-08-20,99701.0,-1568.0
1994-08-27,98760.0,-941.0
1994-09-03,91944.0,-6816.0
1994-09-10,94881.0,2937.0
1994-09-17,91980.0,-2901.0
1994-09-24,88050.0,-3930.0
1994-10-01,87321.0,-729.0
1994-10-08,84412.0,-2909.0
1994-10-15,93382.0,8970.0
1994-10-22,86990.0,-6392.0
1994-10-29,93343.0,6353.0
1994-11-05,84008.0,-9335.0
1994-11-12,102591.0,18583.0
1994-11-19,83145.0,-19446.0
1994-11-26,114806.0,31661.0
1994-12-03,98561.0,-16245.0
1994-12-10,116795.0,18234.0
1994-12-17,115608.0,-1187.0
1994-12-24,123799.0,8191.0
1994-12-31,122622.0,-1177.0
1995-01-07,147645.0,25023.0
1995-01-14,151294.0,3649.0
1995-01-21,149971.0,-1323.0
1995-01-28,158269.0,8298.0
1995-02-04,147020.0,-11249.0
1995-02-11,158757.0,11737.0
1995-02-18,148518.0,-10239.0
1995-02-25,154763.0,6245.0
1995-03-04,147575.0,-7188.0
1995-03-11,152851.0,5276.0
1995-03-18,139040.0,-13811.0
1995-03-25,142790.0,3750.0
1995-04-01,127794.0,-14996.0
1995-04-08,136988.0,9194.0
1995-04-15,126453.0,-10535.0
1995-04-22,128629.0,2176.0
1995-04-29,120292.0,-8337.0
1995-05-06,117275.0,-3017.0
1995-05-13,114373.0,-2902.0
1995-05-20,113594.0,-779.0
1995-05-27,109441.0,-4153.0
1995-06-03,114324.0,4883.0
1995-06-10,109781.0,-4543.0
1995-06-17,113254.0,3473.0
1995-06-24,109815.0,-3439.0
1995-07-01,110723.0,908.0
1995-07-08,115435.0,4712.0
1995-07-15,118602.0,3167.0
1995-07-22,111895.0,-6707.0
1995-07-29,108252.0,-3643.0
1995-08-05,112303.0,4051.0
1995-08-12,108932.0,-3371.0
1995-08-19,107786.0,-1146.0
1995-08-26,106423.0,-1363.0
1995-09-02,96835.0,-9588.0
1995-09-09,101105.0,4270.0
1995-09-16,96743.0,-4362.0
1995-09-23,94422.0,-2321.0
1995-09-30,94487.0,65.0
1995-10-07,94264.0,-223.0
1995-10-14,101478.0,7214.0
1995-10-21,95910.0,-5568.0
1995-10-28,98614.0,2704.0
1995-11-04,94438.0,-4176.0
1995-11-11,112296.0,17858.0
1995-11-18,95302.0,-16994.0
1995-11-25,126719.0,31417.0
1995-12-02,113811.0,-12908.0
1995-12-09,129585.0,15774.0
1995-12-16,128206.0,-1379.0
1995-12-23,138473.0,10267.0
1995-12-30,146239.0,7766.0
1996-01-06,167166.0,20927.0
1996-01-13,164014.0,-3152.0
1996-01-20,176718.0,12704.0
1996-01-27,172572.0,-4146.0
1996-02-03,176103.0,3531.0
1996-02-10,175701.0,-402.0
1996-02-17,174776.0,-925.0
1996-02-24,177620.0,2844.0
1996-03-02,172778.0,-4842.0
1996-03-09,172050.0,-728.0
1996-03-16,164418.0,-7632.0
1996-03-23,162766.0,-1652.0
1996-03-30,155980.0,-6786.0
1996-04-06,149402.0,-6578.0
1996-04-13,150466.0,1064.0
1996-04-20,136318.0,-14148.0
1996-04-27,134874.0,-1444.0
1996-05-04,126627.0,-8247.0
1996-05-11,128536.0,1909.0
1996-05-18,122071.0,-6465.0
1996-05-25,120088.0,-1983.0
1996-06-01,118425.0,-1663.0
1996-06-08,119890.0,1465.0
1996-06-15,119007.0,-883.0
1996-06-22,119172.0,165.0
1996-06-29,111031.0,-8141.0
1996-07-06,111527.0,496.0
1996-07-13,119557.0,8030.0
1996-07-20,115427.0,-4130.0
1996-07-27,114718.0,-709.0
1996-08-03,109434.0,-5284.0
1996-08-10,112233.0,2799.0
1996-08-17,106569.0,-5664.0
1996-08-24,107653.0,1084.0
1996-08-31,98660.0,-8993.0
1996-09-07,104485.0,5825.0
1996-09-14,98388.0,-6097.0
1996-09-21,96216.0,-2172.0
1996-09-28,93103.0,-3113.0
1996-10-05,94786.0,1683.0
1996-10-12,94119.0,-667.0
1996-10-19,95371.0,1252.0
1996-10-26,95121.0,-250.0
1996-11-02,95720.0,599.0
1996-11-09,98228.0,2508.0
1996-11-16,101422.0,3194.0
1996-11-23,95705.0,-5717.0
1996-11-30,117118.0,21413.0
1996-12-07,117366.0,248.0
1996-12-14,127876.0,10510.0
1996-12-21,122026.0,-5850.0
1996-12-28,141366.0,19340.0
1997-01-04,160157.0,18791.0
1997-01-11,156597.0,-3560.0
1997-01-18,158259.0,1662.0
1997-01-25,173674.0,15415.0
1997-02-01,157828.0,-15846.0
1997-02-08,162044.0,4216.0
1997-02-15,157147.0,-4897.0
1997-02-22,161566.0,4419.0
1997-03-01,152387.0,-9179.0
1997-03-08,155603.0,3216.0
1997-03-15,146032.0,-9571.0
1997-03-22,144284.0,-1748.0
1997-03-29,134974.0,-9310.0
1997-04-05,131281.0,-3693.0
1997-04-12,127320.0,-3961.0
1997-04-19,119971.0,-7349.0
1997-04-26,114348.0,-5623.0
1997-05-03,111124.0,-3224.0
1997-05-10,108619.0,-2505.0
1997-05-17,105498.0,-3121.0
1997-05-24,101011.0,-4487.0
1997-05-31,104606.0,3595.0
1997-06-07,102636.0,-1970.0
