Date,Values,Delta Calculations
2015-01-07,0.0044, 
2015-01-14,0.0048,0.0003999999999999993
2015-01-21,0.0051,0.0003000000000000008
2015-01-28,0.0052,9.99999999999994e-05
2015-02-04,0.0052,0.0
2015-02-11,0.0043,-0.0008999999999999998
2015-02-18,0.0042,-0.00010000000000000026
2015-02-25,0.0048,0.0005999999999999998
2015-03-04,0.0042,-0.0005999999999999998
2015-03-11,0.0048,0.0005999999999999998
2015-03-18,0.0049,0.00010000000000000026
2015-03-25,0.0034,-0.0015
2015-04-01,0.0049,0.0015
2015-04-08,0.0048,-0.00010000000000000026
2015-04-15,0.0049,0.00010000000000000026
2015-04-22,0.0035,-0.0013999999999999998
2015-04-29,0.0042,0.0006999999999999997
2015-05-06,0.0042,0.0
2015-05-13,0.0049,0.0007000000000000001
2015-05-20,0.0055,0.0005999999999999998
2015-05-27,0.0042,-0.0013
2015-06-03,0.004,-0.00019999999999999966
2015-06-10,0.004,0.0
2015-06-17,0.0038,-0.0002000000000000001
2015-06-24,0.0039,9.999999999999983e-05
2015-07-01,0.0028,-0.0010999999999999998
2015-07-08,0.0039,0.0010999999999999998
2015-07-15,0.0049,0.001
2015-07-22,0.005,0.00010000000000000026
