Date,Values,Delta Calculations
2015-01-07,214.992, 
2015-01-14,213.221,-1.7710000000000434
2015-01-21,212.391,-0.8299999999999841
2015-01-28,211.763,-0.6279999999999859
2015-02-04,214.597,2.834000000000003
2015-02-11,212.601,-1.9960000000000093
2015-02-18,212.13,-0.47100000000000364
2015-02-25,215.787,3.6570000000000107
2015-03-04,218.404,2.6170000000000186
2015-03-11,217.149,-1.2550000000000239
2015-03-18,217.422,0.27299999999999613
2015-03-25,218.277,0.8550000000000182
2015-04-01,229.672,11.394999999999982
2015-04-08,225.79,-3.882000000000005
2015-04-15,225.344,-0.44599999999996953
2015-04-22,224.427,-0.9170000000000016
2015-04-29,230.564,6.1370000000000005
2015-05-06,234.089,3.5250000000000057
2015-05-13,232.232,-1.8570000000000277
2015-05-20,233.373,1.1409999999999911
2015-05-27,233.127,-0.2459999999999809
2015-06-03,238.283,5.1559999999999775
2015-06-10,238.148,-0.1349999999999909
2015-06-17,239.276,1.127999999999986
2015-06-24,240.361,1.085000000000008
2015-07-01,248.765,8.403999999999996
2015-07-08,244.394,-4.370999999999981
2015-07-15,243.648,-0.7460000000000093
2015-07-22,242.816,-0.832000000000022
