Date,Values,Delta Calculations
1986-12-27,72204.0, 
1987-01-03,100379.0,28175.0
1987-01-10,77675.0,-22704.0
1987-01-17,67316.0,-10359.0
1987-01-24,63448.0,-3868.0
1987-01-31,79713.0,16265.0
1987-02-07,71131.0,-8582.0
1987-02-14,70336.0,-795.0
1987-02-21,76193.0,5857.0
1987-02-28,69597.0,-6596.0
1987-03-07,69902.0,305.0
1987-03-14,66649.0,-3253.0
1987-03-21,66993.0,344.0
1987-03-28,63083.0,-3910.0
1987-04-04,60834.0,-2249.0
1987-04-11,56240.0,-4594.0
1987-04-18,54111.0,-2129.0
1987-04-25,54503.0,392.0
1987-05-02,49328.0,-5175.0
1987-05-09,47754.0,-1574.0
1987-05-16,46164.0,-1590.0
1987-05-23,44928.0,-1236.0
1987-05-30,45845.0,917.0
1987-06-06,44397.0,-1448.0
1987-06-13,44264.0,-133.0
1987-06-20,43840.0,-424.0
1987-06-27,46114.0,2274.0
1987-07-04,50140.0,4026.0
1987-07-11,53656.0,3516.0
1987-07-18,57770.0,4114.0
1987-07-25,51302.0,-6468.0
1987-08-01,55219.0,3917.0
1987-08-08,51248.0,-3971.0
1987-08-15,50922.0,-326.0
1987-08-22,49281.0,-1641.0
1987-08-29,48953.0,-328.0
1987-09-05,46188.0,-2765.0
1987-09-12,43806.0,-2382.0
1987-09-19,39263.0,-4543.0
1987-09-26,37824.0,-1439.0
1987-10-03,37269.0,-555.0
1987-10-10,36754.0,-515.0
1987-10-17,36511.0,-243.0
1987-10-24,36319.0,-192.0
1987-10-31,36951.0,632.0
1987-11-07,36388.0,-563.0
1987-11-14,41270.0,4882.0
1987-11-21,39376.0,-1894.0
1987-11-28,44634.0,5258.0
1987-12-05,44680.0,46.0
1987-12-12,48159.0,3479.0
1987-12-19,49811.0,1652.0
1987-12-26,54343.0,4532.0
1988-01-02,82171.0,27828.0
1988-01-09,71936.0,-10235.0
1988-01-16,72972.0,1036.0
1988-01-23,72526.0,-446.0
1988-01-30,71667.0,-859.0
1988-02-06,71505.0,-162.0
1988-02-13,74430.0,2925.0
1988-02-20,77697.0,3267.0
1988-02-27,74384.0,-3313.0
1988-03-05,71053.0,-3331.0
1988-03-12,72155.0,1102.0
1988-03-19,69806.0,-2349.0
1988-03-26,68073.0,-1733.0
1988-04-02,65119.0,-2954.0
1988-04-09,61045.0,-4074.0
1988-04-16,57806.0,-3239.0
1988-04-23,58787.0,981.0
1988-04-30,53382.0,-5405.0
1988-05-07,51340.0,-2042.0
1988-05-14,50202.0,-1138.0
1988-05-21,49867.0,-335.0
1988-05-28,48569.0,-1298.0
1988-06-04,50338.0,1769.0
1988-06-11,48573.0,-1765.0
1988-06-18,49178.0,605.0
1988-06-25,49976.0,798.0
1988-07-02,52633.0,2657.0
1988-07-09,57451.0,4818.0
1988-07-16,61600.0,4149.0
1988-07-23,58185.0,-3415.0
1988-07-30,59631.0,1446.0
1988-08-06,58169.0,-1462.0
1988-08-13,57455.0,-714.0
1988-08-20,56013.0,-1442.0
1988-08-27,54968.0,-1045.0
1988-09-03,54134.0,-834.0
1988-09-10,50103.0,-4031.0
1988-09-17,46249.0,-3854.0
1988-09-24,45081.0,-1168.0
1988-10-01,44597.0,-484.0
1988-10-08,43779.0,-818.0
1988-10-15,45531.0,1752.0
1988-10-22,44384.0,-1147.0
1988-10-29,45202.0,818.0
1988-11-05,44970.0,-232.0
1988-11-12,49177.0,4207.0
1988-11-19,49156.0,-21.0
1988-11-26,54321.0,5165.0
1988-12-03,52797.0,-1524.0
1988-12-10,55814.0,3017.0
1988-12-17,62766.0,6952.0
1988-12-24,64739.0,1973.0
1988-12-31,80644.0,15905.0
1989-01-07,83686.0,3042.0
1989-01-14,81246.0,-2440.0
1989-01-21,82698.0,1452.0
1989-01-28,82598.0,-100.0
1989-02-04,83293.0,695.0
1989-02-11,85220.0,1927.0
1989-02-18,84578.0,-642.0
1989-02-25,92917.0,8339.0
1989-03-04,89352.0,-3565.0
1989-03-11,88743.0,-609.0
1989-03-18,90375.0,1632.0
1989-03-25,88164.0,-2211.0
1989-04-01,86784.0,-1380.0
1989-04-08,83276.0,-3508.0
1989-04-15,77673.0,-5603.0
1989-04-22,80568.0,2895.0
1989-04-29,73935.0,-6633.0
1989-05-06,73399.0,-536.0
1989-05-13,72606.0,-793.0
1989-05-20,71730.0,-876.0
1989-05-27,70207.0,-1523.0
1989-06-03,72919.0,2712.0
1989-06-10,72139.0,-780.0
1989-06-17,72345.0,206.0
1989-06-24,75786.0,3441.0
1989-07-01,77231.0,1445.0
1989-07-08,87686.0,10455.0
1989-07-15,87863.0,177.0
1989-07-22,83090.0,-4773.0
1989-07-29,82606.0,-484.0
1989-08-05,83360.0,754.0
1989-08-12,85671.0,2311.0
1989-08-19,91794.0,6123.0
1989-08-26,90440.0,-1354.0
1989-09-02,88372.0,-2068.0
1989-09-09,92409.0,4037.0
1989-09-16,89015.0,-3394.0
1989-09-23,85063.0,-3952.0
1989-09-30,87071.0,2008.0
1989-10-07,81626.0,-5445.0
1989-10-14,88153.0,6527.0
1989-10-21,86346.0,-1807.0
1989-10-28,88008.0,1662.0
1989-11-04,83901.0,-4107.0
1989-11-11,86457.0,2556.0
1989-11-18,84231.0,-2226.0
1989-11-25,94791.0,10560.0
1989-12-02,91172.0,-3619.0
1989-12-09,94147.0,2975.0
1989-12-16,100832.0,6685.0
1989-12-23,101362.0,530.0
1989-12-30,118154.0,16792.0
1990-01-06,130567.0,12413.0
1990-01-13,123039.0,-7528.0
1990-01-20,124827.0,1788.0
1990-01-27,126561.0,1734.0
1990-02-03,128707.0,2146.0
1990-02-10,129704.0,997.0
1990-02-17,124543.0,-5161.0
1990-02-24,140873.0,16330.0
1990-03-03,133950.0,-6923.0
1990-03-10,133257.0,-693.0
1990-03-17,129535.0,-3722.0
1990-03-24,126922.0,-2613.0
1990-03-31,124666.0,-2256.0
1990-04-07,121846.0,-2820.0
1990-04-14,117269.0,-4577.0
1990-04-21,120968.0,3699.0
1990-04-28,113065.0,-7903.0
1990-05-05,109129.0,-3936.0
1990-05-12,108593.0,-536.0
1990-05-19,106075.0,-2518.0
1990-05-26,103116.0,-2959.0
1990-06-02,107974.0,4858.0
1990-06-09,103260.0,-4714.0
1990-06-16,103414.0,154.0
1990-06-23,105079.0,1665.0
1990-06-30,107236.0,2157.0
1990-07-07,115167.0,7931.0
1990-07-14,117488.0,2321.0
1990-07-21,111235.0,-6253.0
1990-07-28,110672.0,-563.0
1990-08-04,109779.0,-893.0
1990-08-11,108388.0,-1391.0
1990-08-18,104820.0,-3568.0
1990-08-25,105817.0,997.0
1990-09-01,102041.0,-3776.0
1990-09-08,102035.0,-6.0
1990-09-15,92733.0,-9302.0
1990-09-22,93651.0,918.0
1990-09-29,91016.0,-2635.0
1990-10-06,91053.0,37.0
1990-10-13,94222.0,3169.0
1990-10-20,93006.0,-1216.0
1990-10-27,95001.0,1995.0
1990-11-03,95973.0,972.0
1990-11-10,97030.0,1057.0
1990-11-17,100644.0,3614.0
1990-11-24,114547.0,13903.0
1990-12-01,113185.0,-1362.0
1990-12-08,111805.0,-1380.0
1990-12-15,120495.0,8690.0
1990-12-22,117450.0,-3045.0
1990-12-29,144919.0,27469.0
1991-01-05,153849.0,8930.0
1991-01-12,145974.0,-7875.0
1991-01-19,140091.0,-5883.0
1991-01-26,150400.0,10309.0
1991-02-02,147597.0,-2803.0
1991-02-09,152260.0,4663.0
1991-02-16,150056.0,-2204.0
1991-02-23,160954.0,10898.0
1991-03-02,154316.0,-6638.0
1991-03-09,156544.0,2228.0
1991-03-16,153296.0,-3248.0
1991-03-23,152621.0,-675.0
1991-03-30,150820.0,-1801.0
1991-04-06,145886.0,-4934.0
1991-04-13,139466.0,-6420.0
1991-04-20,142302.0,2836.0
1991-04-27,135357.0,-6945.0
1991-05-04,131131.0,-4226.0
1991-05-11,127803.0,-3328.0
1991-05-18,126519.0,-1284.0
1991-05-25,121317.0,-5202.0
1991-06-01,124737.0,3420.0
1991-06-08,119633.0,-5104.0
1991-06-15,120780.0,1147.0
1991-06-22,119005.0,-1775.0
1991-06-29,120961.0,1956.0
1991-07-06,133305.0,12344.0
1991-07-13,135427.0,2122.0
1991-07-20,126640.0,-8787.0
1991-07-27,125471.0,-1169.0
1991-08-03,123894.0,-1577.0
1991-08-10,122075.0,-1819.0
1991-08-17,117570.0,-4505.0
1991-08-24,119884.0,2314.0
1991-08-31,113383.0,-6501.0
1991-09-07,111778.0,-1605.0
1991-09-14,102676.0,-9102.0
1991-09-21,101676.0,-1000.0
1991-09-28,98598.0,-3078.0
1991-10-05,97472.0,-1126.0
1991-10-12,96081.0,-1391.0
1991-10-19,98165.0,2084.0
