Date,Values,Delta Calculations
1987-01-03,10063.0, 
1987-01-10,17079.0,7016.0
1987-01-17,15667.0,-1412.0
1987-01-24,16594.0,927.0
1987-01-31,11292.0,-5302.0
1987-02-07,8561.0,-2731.0
1987-02-14,10209.0,1648.0
1987-02-21,10209.0,0.0
1987-02-28,9575.0,-634.0
1987-03-07,7100.0,-2475.0
1987-03-14,6717.0,-383.0
1987-03-21,6556.0,-161.0
1987-03-28,6964.0,408.0
1987-04-04,6602.0,-362.0
1987-04-11,7014.0,412.0
1987-04-18,7069.0,55.0
1987-04-25,10052.0,2983.0
1987-05-02,6200.0,-3852.0
1987-05-09,5203.0,-997.0
1987-05-16,8076.0,2873.0
1987-05-23,8607.0,531.0
1987-05-30,6631.0,-1976.0
1987-06-06,7809.0,1178.0
1987-06-13,8338.0,529.0
1987-06-20,8672.0,334.0
1987-06-27,6131.0,-2541.0
1987-07-04,5682.0,-449.0
1987-07-11,8358.0,2676.0
1987-07-18,10418.0,2060.0
1987-07-25,11930.0,1512.0
1987-08-01,12448.0,518.0
1987-08-08,8410.0,-4038.0
1987-08-15,7686.0,-724.0
1987-08-22,6259.0,-1427.0
1987-08-29,6300.0,41.0
1987-09-05,7518.0,1218.0
1987-09-12,5047.0,-2471.0
1987-09-19,5610.0,563.0
1987-09-26,5129.0,-481.0
1987-10-03,5619.0,490.0
1987-10-10,6404.0,785.0
1987-10-17,5093.0,-1311.0
1987-10-24,6241.0,1148.0
1987-10-31,6458.0,217.0
1987-11-07,7529.0,1071.0
1987-11-14,6782.0,-747.0
1987-11-21,10207.0,3425.0
1987-11-28,6741.0,-3466.0
1987-12-05,12261.0,5520.0
1987-12-12,9142.0,-3119.0
1987-12-19,11059.0,1917.0
1987-12-26,9460.0,-1599.0
1988-01-02,9003.0,-457.0
1988-01-09,20205.0,11202.0
1988-01-16,20136.0,-69.0
1988-01-23,11234.0,-8902.0
1988-01-30,9395.0,-1839.0
1988-02-06,9459.0,64.0
1988-02-13,8411.0,-1048.0
1988-02-20,9245.0,834.0
1988-02-27,6797.0,-2448.0
1988-03-05,6649.0,-148.0
1988-03-12,8782.0,2133.0
1988-03-19,6344.0,-2438.0
1988-03-26,5838.0,-506.0
1988-04-02,5852.0,14.0
1988-04-09,7325.0,1473.0
1988-04-16,6204.0,-1121.0
1988-04-23,6258.0,54.0
1988-04-30,6418.0,160.0
1988-05-07,5832.0,-586.0
