Date,Values,Delta Calculations
1976-03-26,1.0, 
1976-04-23,1.0,0.0
1976-05-21,1.0,0.0
1976-06-18,1.0,0.0
1976-07-23,1.0,0.0
1976-08-20,1.0,0.0
1976-09-24,1.0,0.0
1976-10-22,1.0,0.0
1976-12-17,1.0,0.0
1977-01-07,1.0,0.0
1977-01-14,1.0,0.0
1977-01-21,1.0,0.0
1977-01-28,1.0,0.0
1977-02-04,1.0,0.0
1977-02-11,1.0,0.0
1977-02-18,1.0,0.0
1977-02-25,1.0,0.0
1977-03-04,1.0,0.0
1977-03-11,1.0,0.0
1977-03-18,1.0,0.0
1977-03-25,1.0,0.0
1977-04-01,1.0,0.0
1977-04-08,1.0,0.0
1977-04-15,1.0,0.0
1977-04-22,1.0,0.0
1977-04-29,1.0,0.0
1977-05-06,1.0,0.0
1977-05-13,1.0,0.0
1977-05-20,1.0,0.0
1977-05-27,1.0,0.0
1977-06-03,1.0,0.0
1977-06-10,1.0,0.0
1977-06-17,1.0,0.0
1977-06-24,1.0,0.0
1977-07-01,1.0,0.0
1977-07-08,1.0,0.0
1977-07-15,1.0,0.0
1977-07-22,1.0,0.0
1977-07-29,1.0,0.0
1977-08-05,1.0,0.0
1977-08-12,1.0,0.0
1977-08-19,1.0,0.0
1977-08-26,1.0,0.0
1977-09-02,1.0,0.0
1977-09-09,1.0,0.0
1977-09-16,1.0,0.0
1977-09-23,1.0,0.0
1977-09-30,1.0,0.0
1977-10-07,1.0,0.0
1977-10-14,1.0,0.0
1977-10-21,1.0,0.0
1977-10-28,1.0,0.0
1977-11-04,1.0,0.0
1977-11-11,1.0,0.0
1977-11-18,1.0,0.0
1977-11-25,1.0,0.0
1977-12-02,1.0,0.0
1977-12-09,1.0,0.0
1977-12-16,1.0,0.0
1977-12-23,1.0,0.0
1977-12-30,1.0,0.0
1978-01-06,1.0,0.0
1978-01-13,1.0,0.0
1978-01-20,1.0,0.0
1978-01-27,1.0,0.0
1978-02-03,1.0,0.0
1978-02-10,1.0,0.0
1978-02-17,1.0,0.0
1978-02-24,1.0,0.0
1978-03-03,1.0,0.0
1978-03-10,1.0,0.0
1978-03-17,1.0,0.0
1978-03-24,1.0,0.0
1978-03-31,1.0,0.0
1978-04-07,1.0,0.0
1978-04-14,1.0,0.0
1978-04-21,1.0,0.0
1978-04-28,1.0,0.0
1978-05-05,1.0,0.0
1978-05-12,1.0,0.0
1978-05-19,1.0,0.0
1978-05-26,1.0,0.0
1978-06-02,1.0,0.0
1978-06-09,1.0,0.0
1978-06-16,1.0,0.0
1978-06-23,1.0,0.0
1978-06-30,1.0,0.0
1978-07-07,1.0,0.0
1978-07-14,1.0,0.0
1978-07-21,1.0,0.0
1978-07-28,1.0,0.0
1978-08-04,1.0,0.0
1978-08-11,1.0,0.0
1978-08-18,1.0,0.0
1978-08-25,1.0,0.0
1978-09-01,1.0,0.0
1978-09-08,1.0,0.0
1978-09-22,1.0,0.0
1978-09-29,1.0,0.0
1978-10-06,1.0,0.0
1978-10-13,1.0,0.0
1978-10-20,1.0,0.0
1978-10-27,1.0,0.0
1978-11-03,1.0,0.0
1978-11-10,1.0,0.0
1978-11-17,1.0,0.0
1978-11-24,1.0,0.0
1978-12-01,1.0,0.0
1978-12-08,1.0,0.0
1978-12-15,1.0,0.0
1978-12-29,1.0,0.0
1979-01-05,1.0,0.0
1979-01-12,1.0,0.0
1979-01-19,1.0,0.0
1979-01-26,1.0,0.0
1979-02-02,1.0,0.0
1979-02-09,1.0,0.0
1979-02-16,1.0,0.0
1979-02-23,1.0,0.0
1979-03-02,1.0,0.0
1979-03-09,1.0,0.0
1979-03-16,1.0,0.0
1979-03-23,1.0,0.0
1979-03-30,1.0,0.0
1979-04-06,1.0,0.0
1979-04-13,1.0,0.0
1979-04-20,1.0,0.0
1979-04-27,1.0,0.0
1979-05-04,1.0,0.0
1979-05-11,1.0,0.0
1979-05-18,1.0,0.0
1979-05-25,1.0,0.0
1979-06-01,1.0,0.0
1979-06-08,1.0,0.0
1979-06-15,1.0,0.0
1979-06-22,1.0,0.0
1979-06-29,1.0,0.0
1979-07-06,1.0,0.0
1979-08-10,1.0,0.0
1979-08-17,1.0,0.0
1979-09-07,1.0,0.0
1979-09-14,1.0,0.0
1979-09-21,1.5,0.5
1979-10-05,1.0,-0.5
1979-10-12,1.0,0.0
1979-10-26,1.0,0.0
1979-11-23,1.0,0.0
1980-01-04,1.0,0.0
1980-02-29,1.0,0.0
1980-04-25,1.5,0.5
1980-05-16,1.5,0.0
1980-06-20,1.5,0.0
1980-07-18,1.5,0.0
1980-08-22,1.5,0.0
1980-09-19,1.5,0.0
1980-10-24,1.5,0.0
1980-12-05,1.5,0.0
1980-12-19,1.5,0.0
1981-01-23,2.0,0.5
1981-02-06,1.23,-0.77
1981-02-13,1.87,0.6400000000000001
1981-02-20,2.1,0.22999999999999998
1981-02-27,1.7,-0.40000000000000013
1981-03-06,2.0,0.30000000000000004
1981-03-13,1.8,-0.19999999999999996
1981-03-20,1.9,0.09999999999999987
1981-03-27,2.0,0.10000000000000009
1981-04-03,1.9,-0.10000000000000009
1981-04-10,1.9,0.0
1981-04-17,1.8,-0.09999999999999987
1981-04-24,1.9,0.09999999999999987
1981-05-01,1.8,-0.09999999999999987
1981-05-08,2.0,0.19999999999999996
1981-05-15,2.1,0.10000000000000009
1981-05-22,1.9,-0.20000000000000018
1981-05-29,2.1,0.20000000000000018
1981-06-05,1.9,-0.20000000000000018
1981-06-12,2.0,0.10000000000000009
1981-06-19,2.1,0.10000000000000009
1981-06-26,2.1,0.0
1981-07-03,1.9,-0.20000000000000018
1981-07-10,2.2,0.30000000000000027
1981-07-17,2.1,-0.10000000000000009
1981-07-24,2.0,-0.10000000000000009
1981-07-31,2.1,0.10000000000000009
1981-08-07,2.2,0.10000000000000009
1981-08-14,2.3,0.09999999999999964
1981-08-21,2.0,-0.2999999999999998
1981-08-28,2.3,0.2999999999999998
1981-09-04,2.1,-0.19999999999999973
1981-09-11,2.1,0.0
1981-09-18,2.1,0.0
1981-09-25,2.3,0.19999999999999973
1981-10-02,2.4,0.10000000000000009
1981-10-09,2.4,0.0
1981-10-16,2.2,-0.19999999999999973
1981-10-21,2.3,0.09999999999999964
1981-10-30,2.3,0.0
1981-11-06,2.3,0.0
1981-11-13,2.4,0.10000000000000009
1981-11-20,2.4,0.0
1981-11-27,2.4,0.0
1981-12-04,2.4,0.0
1981-12-11,2.2,-0.19999999999999973
1981-12-18,2.1,-0.10000000000000009
1981-12-25,2.0,-0.10000000000000009
1981-12-31,2.0,0.0
1982-01-08,2.3,0.2999999999999998
1982-01-15,2.3,0.0
1982-01-22,2.1,-0.19999999999999973
1982-01-29,2.3,0.19999999999999973
1982-02-05,2.1,-0.19999999999999973
1982-02-12,2.0,-0.10000000000000009
1982-02-19,2.1,0.10000000000000009
1982-02-26,2.1,0.0
1982-03-05,2.1,0.0
1982-03-12,2.2,0.10000000000000009
1982-03-19,2.2,0.0
1982-03-26,2.2,0.0
1982-04-02,2.1,-0.10000000000000009
1982-04-09,2.3,0.19999999999999973
1982-04-16,2.4,0.10000000000000009
1982-04-23,2.1,-0.2999999999999998
1982-04-30,2.2,0.10000000000000009
1982-05-07,2.1,-0.10000000000000009
1982-05-14,2.2,0.10000000000000009
1982-05-21,2.1,-0.10000000000000009
1982-05-28,2.3,0.19999999999999973
1982-06-04,2.2,-0.09999999999999964
1982-06-11,2.2,0.0
1982-06-18,2.2,0.0
1982-06-25,2.2,0.0
1982-07-02,2.3,0.09999999999999964
1982-07-09,2.2,-0.09999999999999964
1982-07-16,2.3,0.09999999999999964
1982-07-23,2.2,-0.09999999999999964
1982-07-30,2.1,-0.10000000000000009
1982-08-06,2.2,0.10000000000000009
1982-08-13,2.0,-0.20000000000000018
1982-08-20,2.0,0.0
1982-08-27,2.3,0.2999999999999998
1982-09-03,2.2,-0.09999999999999964
1982-09-10,2.3,0.09999999999999964
1982-09-17,2.7,0.40000000000000036
1982-09-24,2.3,-0.40000000000000036
1982-10-08,2.4,0.10000000000000009
1982-10-15,2.4,0.0
1982-10-22,2.6,0.20000000000000018
1982-10-29,2.7,0.10000000000000009
1982-11-05,2.7,0.0
1982-11-12,2.7,0.0
1982-11-19,2.4,-0.30000000000000027
1982-12-03,2.1,-0.2999999999999998
1982-12-10,2.5,0.3999999999999999
1982-12-17,2.7,0.20000000000000018
1982-12-24,2.0,-0.7000000000000002
1982-12-31,2.3,0.2999999999999998
1983-01-07,2.4,0.10000000000000009
