Date,Values,Delta Calculations
1987-01-03,1148.0, 
1987-01-10,2813.0,1665.0
1987-01-17,1696.0,-1117.0
1987-01-24,1529.0,-167.0
1987-01-31,1337.0,-192.0
1987-02-07,1283.0,-54.0
1987-02-14,1144.0,-139.0
1987-02-21,1216.0,72.0
1987-02-28,1403.0,187.0
1987-03-07,1288.0,-115.0
1987-03-14,1434.0,146.0
1987-03-21,1210.0,-224.0
1987-03-28,1036.0,-174.0
1987-04-04,947.0,-89.0
1987-04-11,1488.0,541.0
1987-04-18,1075.0,-413.0
1987-04-25,933.0,-142.0
1987-05-02,800.0,-133.0
1987-05-09,831.0,31.0
1987-05-16,833.0,2.0
1987-05-23,1045.0,212.0
1987-05-30,928.0,-117.0
1987-06-06,965.0,37.0
1987-06-13,1071.0,106.0
1987-06-20,947.0,-124.0
1987-06-27,743.0,-204.0
1987-07-04,717.0,-26.0
1987-07-11,1325.0,608.0
1987-07-18,765.0,-560.0
1987-07-25,784.0,19.0
1987-08-01,706.0,-78.0
1987-08-08,1019.0,313.0
1987-08-15,637.0,-382.0
1987-08-22,717.0,80.0
1987-08-29,727.0,10.0
1987-09-05,666.0,-61.0
1987-09-12,624.0,-42.0
1987-09-19,742.0,118.0
1987-09-26,838.0,96.0
1987-10-03,733.0,-105.0
1987-10-10,1132.0,399.0
1987-10-17,854.0,-278.0
1987-10-24,1043.0,189.0
1987-10-31,1078.0,35.0
1987-11-07,1417.0,339.0
1987-11-14,1172.0,-245.0
1987-11-21,1467.0,295.0
1987-11-28,1200.0,-267.0
1987-12-05,1570.0,370.0
1987-12-12,1264.0,-306.0
1987-12-19,1445.0,181.0
1987-12-26,1372.0,-73.0
1988-01-02,1087.0,-285.0
1988-01-09,2834.0,1747.0
1988-01-16,1473.0,-1361.0
1988-01-23,1374.0,-99.0
1988-01-30,1169.0,-205.0
1988-02-06,1417.0,248.0
1988-02-13,1188.0,-229.0
1988-02-20,1080.0,-108.0
1988-02-27,1067.0,-13.0
1988-03-05,1304.0,237.0
1988-03-12,1088.0,-216.0
1988-03-19,1090.0,2.0
1988-03-26,842.0,-248.0
1988-04-02,791.0,-51.0
1988-04-09,1341.0,550.0
1988-04-16,846.0,-495.0
1988-04-23,877.0,31.0
1988-04-30,782.0,-95.0
1988-05-07,784.0,2.0
1988-05-14,687.0,-97.0
1988-05-21,748.0,61.0
1988-05-28,744.0,-4.0
1988-06-04,843.0,99.0
1988-06-11,1500.0,657.0
1988-06-18,899.0,-601.0
1988-06-25,1283.0,384.0
