Date,Values,Delta Calculations
1986-12-27,2590234.0, 
1987-01-03,2609836.0,19602.0
1987-01-10,2609836.0,0.0
1987-01-17,2609836.0,0.0
1987-01-24,2609836.0,0.0
1987-01-31,2609836.0,0.0
1987-02-07,2609836.0,0.0
1987-02-14,2609836.0,0.0
1987-02-21,2609836.0,0.0
1987-02-28,2609836.0,0.0
1987-03-07,2609836.0,0.0
1987-03-14,2609836.0,0.0
1987-03-21,2609836.0,0.0
1987-03-28,2609836.0,0.0
1987-04-04,2635144.0,25308.0
1987-04-11,2635144.0,0.0
1987-04-18,2635144.0,0.0
1987-04-25,2635144.0,0.0
1987-05-09,2635144.0,0.0
1987-05-16,2635144.0,0.0
1987-05-23,2635144.0,0.0
1987-05-30,2635144.0,0.0
1987-06-06,2635144.0,0.0
1987-06-13,2635144.0,0.0
1987-06-20,2635144.0,0.0
1987-06-27,2635144.0,0.0
1987-07-04,2657545.0,22401.0
1987-07-11,2657545.0,0.0
1987-07-18,2657545.0,0.0
1987-07-25,2657545.0,0.0
1987-08-01,2657545.0,0.0
1987-08-08,2657545.0,0.0
1987-08-15,2657545.0,0.0
1987-08-22,2657545.0,0.0
1987-08-29,2657545.0,0.0
1987-09-05,2657545.0,0.0
1987-09-12,2657545.0,0.0
1987-09-19,2657545.0,0.0
1987-09-26,2657545.0,0.0
1987-10-03,2684001.0,26456.0
1987-10-10,2684001.0,0.0
1987-10-17,2684001.0,0.0
1987-10-24,2684001.0,0.0
1987-10-31,2684001.0,0.0
1987-11-07,2684001.0,0.0
1987-11-14,2684001.0,0.0
1987-11-21,2684001.0,0.0
1987-11-28,2684001.0,0.0
1987-12-05,2684001.0,0.0
1987-12-12,2684001.0,0.0
1987-12-19,2684001.0,0.0
1987-12-26,2684001.0,0.0
1988-01-02,2712755.0,28754.0
1988-01-09,2712755.0,0.0
1988-01-16,2712755.0,0.0
1988-01-23,2712755.0,0.0
1988-01-30,2712755.0,0.0
1988-02-06,2712755.0,0.0
1988-02-13,2712755.0,0.0
1988-02-20,2712755.0,0.0
1988-02-27,2712755.0,0.0
1988-03-05,2712755.0,0.0
1988-03-12,2712755.0,0.0
1988-03-19,2712755.0,0.0
1988-03-26,2712755.0,0.0
1988-04-02,2742119.0,29364.0
1988-04-09,2742119.0,0.0
1988-04-16,2742119.0,0.0
1988-04-23,2742119.0,0.0
1988-04-30,2742119.0,0.0
1988-05-07,2742119.0,0.0
1988-05-14,2742119.0,0.0
1988-05-21,2742119.0,0.0
1988-05-28,2742119.0,0.0
1988-06-04,2742119.0,0.0
1988-06-11,2742119.0,0.0
1988-06-18,2742119.0,0.0
1988-06-25,2742119.0,0.0
1988-07-02,2776074.0,33955.0
1988-07-09,2776074.0,0.0
1988-07-16,2776074.0,0.0
1988-07-23,2776074.0,0.0
1988-07-30,2776074.0,0.0
1988-08-06,2776074.0,0.0
1988-08-13,2776074.0,0.0
1988-08-20,2776074.0,0.0
1988-08-27,2776074.0,0.0
1988-09-03,2776074.0,0.0
1988-09-10,2776074.0,0.0
1988-09-17,2776074.0,0.0
1988-09-24,2776074.0,0.0
1988-10-01,2776074.0,0.0
1988-10-08,2776074.0,0.0
1988-10-15,2776074.0,0.0
1988-10-22,2776074.0,0.0
1988-10-29,2776074.0,0.0
1988-11-05,2776074.0,0.0
1988-11-12,2776074.0,0.0
1988-11-19,2776074.0,0.0
1988-11-26,2776074.0,0.0
1988-12-03,2776074.0,0.0
1988-12-10,2776674.0,600.0
1988-12-17,2776074.0,-600.0
1988-12-24,2776074.0,0.0
1988-12-31,2776074.0,0.0
1989-01-07,2837879.0,61805.0
1989-01-14,2837879.0,0.0
1989-01-21,2837879.0,0.0
1989-01-28,2837879.0,0.0
1989-02-04,2837879.0,0.0
1989-02-11,2837879.0,0.0
1989-02-18,2837879.0,0.0
1989-02-25,2837879.0,0.0
1989-03-04,2837879.0,0.0
1989-03-11,2837879.0,0.0
1989-03-18,2837879.0,0.0
1989-03-25,2837879.0,0.0
1989-04-01,2837879.0,0.0
1989-04-08,2869793.0,31914.0
1989-04-15,2869793.0,0.0
1989-04-22,2869793.0,0.0
1989-04-29,2869793.0,0.0
1989-05-06,2869793.0,0.0
1989-05-13,2869793.0,0.0
1989-05-20,2869793.0,0.0
1989-05-27,2869793.0,0.0
1989-06-03,2869793.0,0.0
1989-06-10,2869793.0,0.0
1989-06-17,2869793.0,0.0
1989-06-24,2869793.0,0.0
1989-07-01,2869793.0,0.0
1989-07-08,2895670.0,25877.0
1989-07-15,2895670.0,0.0
1989-07-22,2895670.0,0.0
1989-07-29,2895670.0,0.0
1989-08-05,2895670.0,0.0
1989-08-12,2895670.0,0.0
1989-08-19,2895670.0,0.0
1989-08-26,2895670.0,0.0
1989-09-02,2895670.0,0.0
1989-09-09,2895670.0,0.0
1989-09-16,2895670.0,0.0
1989-09-23,2895670.0,0.0
1989-09-30,2895670.0,0.0
1989-10-07,2920824.0,25154.0
