Date,Values,Delta Calculations
1987-01-03,1906.0, 
1987-01-10,1765.0,-141.0
1987-01-17,889.0,-876.0
1987-01-24,752.0,-137.0
1987-01-31,830.0,78.0
1987-02-07,765.0,-65.0
1987-02-14,737.0,-28.0
1987-02-21,630.0,-107.0
1987-02-28,623.0,-7.0
1987-03-07,612.0,-11.0
1987-03-14,620.0,8.0
1987-03-21,600.0,-20.0
1987-03-28,470.0,-130.0
1987-04-04,1203.0,733.0
1987-04-11,744.0,-459.0
1987-04-18,576.0,-168.0
1987-04-25,490.0,-86.0
1987-05-02,522.0,32.0
1987-05-09,450.0,-72.0
1987-05-16,456.0,6.0
1987-05-23,513.0,57.0
1987-05-30,385.0,-128.0
1987-06-06,456.0,71.0
1987-06-13,404.0,-52.0
1987-06-20,439.0,35.0
1987-06-27,664.0,225.0
1987-07-04,1259.0,595.0
1987-07-11,1575.0,316.0
1987-07-18,738.0,-837.0
1987-07-25,724.0,-14.0
1987-08-01,604.0,-120.0
1987-08-08,452.0,-152.0
1987-08-15,392.0,-60.0
1987-08-22,396.0,4.0
1987-08-29,367.0,-29.0
1987-09-05,409.0,42.0
1987-09-12,347.0,-62.0
1987-09-19,416.0,69.0
1987-09-26,364.0,-52.0
1987-10-03,343.0,-21.0
1987-10-10,357.0,14.0
1987-10-17,424.0,67.0
1987-10-24,416.0,-8.0
1987-10-31,481.0,65.0
1987-11-07,502.0,21.0
1987-11-14,435.0,-67.0
1987-11-21,477.0,42.0
1987-11-28,364.0,-113.0
1987-12-05,997.0,633.0
1987-12-12,518.0,-479.0
1987-12-19,635.0,117.0
1987-12-26,1199.0,564.0
1988-01-02,2165.0,966.0
1988-01-09,1179.0,-986.0
1988-01-16,854.0,-325.0
1988-01-23,802.0,-52.0
1988-01-30,695.0,-107.0
1988-02-06,809.0,114.0
1988-02-13,664.0,-145.0
1988-02-20,730.0,66.0
1988-02-27,703.0,-27.0
1988-03-05,728.0,25.0
1988-03-12,709.0,-19.0
1988-03-19,648.0,-61.0
1988-03-26,536.0,-112.0
1988-04-02,862.0,326.0
1988-04-09,679.0,-183.0
1988-04-16,495.0,-184.0
1988-04-23,517.0,22.0
1988-04-30,372.0,-145.0
1988-05-07,492.0,120.0
1988-05-14,437.0,-55.0
1988-05-21,409.0,-28.0
1988-05-28,450.0,41.0
1988-06-04,682.0,232.0
1988-06-11,410.0,-272.0
1988-06-18,396.0,-14.0
1988-06-25,413.0,17.0
1988-07-02,893.0,480.0
1988-07-09,1819.0,926.0
1988-07-16,1180.0,-639.0
1988-07-23,594.0,-586.0
1988-07-30,544.0,-50.0
1988-08-06,503.0,-41.0
1988-08-13,525.0,22.0
1988-08-20,382.0,-143.0
1988-08-27,397.0,15.0
1988-09-03,397.0,0.0
1988-09-10,403.0,6.0
1988-09-17,401.0,-2.0
1988-09-24,371.0,-30.0
1988-10-01,399.0,28.0
1988-10-08,441.0,42.0
1988-10-15,353.0,-88.0
1988-10-22,506.0,153.0
1988-10-29,517.0,11.0
1988-11-05,588.0,71.0
1988-11-12,452.0,-136.0
1988-11-19,616.0,164.0
1988-11-26,597.0,-19.0
1988-12-03,693.0,96.0
1988-12-10,803.0,110.0
1988-12-17,883.0,80.0
1988-12-24,1635.0,752.0
1988-12-31,2652.0,1017.0
1989-01-07,1288.0,-1364.0
1989-01-14,1101.0,-187.0
1989-01-21,1039.0,-62.0
1989-01-28,956.0,-83.0
1989-02-04,997.0,41.0
1989-02-11,1134.0,137.0
1989-02-18,882.0,-252.0
1989-02-25,852.0,-30.0
1989-03-04,923.0,71.0
1989-03-11,863.0,-60.0
1989-03-18,975.0,112.0
1989-03-25,700.0,-275.0
1989-04-01,1321.0,621.0
1989-04-08,1203.0,-118.0
1989-04-15,854.0,-349.0
1989-04-22,699.0,-155.0
1989-04-29,741.0,42.0
1989-05-06,797.0,56.0
1989-05-13,799.0,2.0
1989-05-20,373.0,-426.0
1989-05-27,793.0,420.0
1989-06-03,603.0,-190.0
1989-06-10,803.0,200.0
1989-06-17,714.0,-89.0
1989-06-24,846.0,132.0
1989-07-01,1155.0,309.0
1989-07-08,2024.0,869.0
1989-07-15,1349.0,-675.0
1989-07-22,1056.0,-293.0
1989-07-29,843.0,-213.0
1989-08-05,964.0,121.0
1989-08-12,791.0,-173.0
1989-08-19,1120.0,329.0
1989-08-26,921.0,-199.0
1989-09-02,749.0,-172.0
1989-09-09,695.0,-54.0
1989-09-16,765.0,70.0
1989-09-23,768.0,3.0
1989-09-30,702.0,-66.0
1989-10-07,868.0,166.0
1989-10-14,805.0,-63.0
1989-10-21,970.0,165.0
1989-10-28,1010.0,40.0
1989-11-04,1241.0,231.0
1989-11-11,1056.0,-185.0
1989-11-18,1272.0,216.0
1989-11-25,1064.0,-208.0
1989-12-02,1796.0,732.0
1989-12-09,1845.0,49.0
1989-12-16,1700.0,-145.0
1989-12-23,2317.0,617.0
1989-12-30,3310.0,993.0
1990-01-06,2413.0,-897.0
1990-01-13,2235.0,-178.0
1990-01-20,1639.0,-596.0
1990-01-27,1570.0,-69.0
1990-02-03,2694.0,1124.0
1990-02-10,1520.0,-1174.0
1990-02-17,1484.0,-36.0
1990-02-24,1360.0,-124.0
1990-03-03,1300.0,-60.0
1990-03-10,1318.0,18.0
1990-03-17,1245.0,-73.0
1990-03-24,1209.0,-36.0
1990-03-31,1033.0,-176.0
1990-04-07,2370.0,1337.0
1990-04-14,1526.0,-844.0
1990-04-21,1215.0,-311.0
1990-04-28,1263.0,48.0
1990-05-05,1202.0,-61.0
1990-05-12,1062.0,-140.0
1990-05-19,962.0,-100.0
1990-05-26,1005.0,43.0
1990-06-02,785.0,-220.0
1990-06-09,1084.0,299.0
1990-06-16,934.0,-150.0
1990-06-23,1331.0,397.0
1990-06-30,1439.0,108.0
1990-07-07,1999.0,560.0
1990-07-14,1362.0,-637.0
1990-07-21,986.0,-376.0
1990-07-28,1145.0,159.0
1990-08-04,1292.0,147.0
1990-08-11,1102.0,-190.0
1990-08-18,1924.0,822.0
1990-08-25,980.0,-944.0
1990-09-01,974.0,-6.0
1990-09-08,961.0,-13.0
1990-09-15,1082.0,121.0
1990-09-22,1028.0,-54.0
1990-09-29,1129.0,101.0
1990-10-06,1388.0,259.0
1990-10-13,1203.0,-185.0
1990-10-20,1399.0,196.0
1990-10-27,1408.0,9.0
1990-11-03,1536.0,128.0
1990-11-10,1742.0,206.0
1990-11-17,1719.0,-23.0
1990-11-24,1365.0,-354.0
1990-12-01,1755.0,390.0
1990-12-08,2183.0,428.0
1990-12-15,2049.0,-134.0
1990-12-22,2955.0,906.0
1990-12-29,3235.0,280.0
