Date,Values,Delta Calculations
1986-12-27,75611.0, 
1987-01-03,97861.0,22250.0
1987-01-10,94349.0,-3512.0
1987-01-17,83855.0,-10494.0
1987-01-24,101303.0,17448.0
1987-01-31,97935.0,-3368.0
1987-02-07,98864.0,929.0
1987-02-14,97590.0,-1274.0
1987-02-21,103659.0,6069.0
1987-02-28,98491.0,-5168.0
1987-03-07,95157.0,-3334.0
1987-03-14,90047.0,-5110.0
1987-03-21,87584.0,-2463.0
1987-03-28,84116.0,-3468.0
1987-04-04,78967.0,-5149.0
1987-04-11,72515.0,-6452.0
1987-04-18,78615.0,6100.0
1987-04-25,77850.0,-765.0
1987-05-02,73448.0,-4402.0
1987-05-09,68653.0,-4795.0
1987-05-16,68000.0,-653.0
1987-05-23,62691.0,-5309.0
1987-05-30,64252.0,1561.0
1987-06-06,61428.0,-2824.0
1987-06-13,61093.0,-335.0
1987-06-20,60320.0,-773.0
1987-06-27,59377.0,-943.0
1987-07-04,66050.0,6673.0
1987-07-11,70061.0,4011.0
1987-07-18,72088.0,2027.0
1987-07-25,68601.0,-3487.0
1987-08-01,70278.0,1677.0
1987-08-08,68507.0,-1771.0
1987-08-15,68141.0,-366.0
1987-08-22,66249.0,-1892.0
1987-08-29,64287.0,-1962.0
1987-09-05,58906.0,-5381.0
1987-09-12,58897.0,-9.0
1987-09-19,57314.0,-1583.0
1987-09-26,55273.0,-2041.0
1987-10-03,52131.0,-3142.0
1987-10-10,49451.0,-2680.0
1987-10-17,54021.0,4570.0
1987-10-24,52581.0,-1440.0
1987-10-31,51771.0,-810.0
1987-11-07,51761.0,-10.0
1987-11-14,57269.0,5508.0
1987-11-21,51678.0,-5591.0
1987-11-28,62245.0,10567.0
1987-12-05,63374.0,1129.0
1987-12-12,65342.0,1968.0
1987-12-19,63944.0,-1398.0
1987-12-26,65988.0,2044.0
1988-01-02,81004.0,15016.0
1988-01-09,89675.0,8671.0
1988-01-16,93020.0,3345.0
1988-01-23,96099.0,3079.0
1988-01-30,94147.0,-1952.0
1988-02-06,90762.0,-3385.0
1988-02-13,93449.0,2687.0
1988-02-20,95393.0,1944.0
1988-02-27,91223.0,-4170.0
1988-03-05,88960.0,-2263.0
1988-03-12,82581.0,-6379.0
1988-03-19,83302.0,721.0
1988-03-26,74981.0,-8321.0
1988-04-02,74369.0,-612.0
1988-04-09,74777.0,408.0
1988-04-16,73228.0,-1549.0
1988-04-23,70206.0,-3022.0
1988-04-30,66437.0,-3769.0
1988-05-07,66086.0,-351.0
1988-05-14,64489.0,-1597.0
1988-05-21,63479.0,-1010.0
1988-05-28,60136.0,-3343.0
1988-06-04,61461.0,1325.0
1988-06-11,62273.0,812.0
1988-06-18,61309.0,-964.0
1988-06-25,61024.0,-285.0
1988-07-02,60323.0,-701.0
1988-07-09,69895.0,9572.0
1988-07-16,72532.0,2637.0
1988-07-23,74140.0,1608.0
1988-07-30,74982.0,842.0
1988-08-06,70763.0,-4219.0
1988-08-13,69169.0,-1594.0
1988-08-20,68673.0,-496.0
1988-08-27,67293.0,-1380.0
1988-09-03,61897.0,-5396.0
1988-09-10,64367.0,2470.0
1988-09-17,55283.0,-9084.0
1988-09-24,58628.0,3345.0
1988-10-01,55180.0,-3448.0
1988-10-08,48968.0,-6212.0
1988-10-15,61249.0,12281.0
1988-10-22,55666.0,-5583.0
1988-10-29,57869.0,2203.0
1988-11-05,53049.0,-4820.0
1988-11-12,60743.0,7694.0
