Date,Values,Delta Calculations
1986-12-27,7526028.0, 
1987-01-03,7564307.0,38279.0
1987-01-10,7564307.0,0.0
1987-01-17,7564307.0,0.0
1987-01-24,7564307.0,0.0
1987-01-31,7564307.0,0.0
1987-02-07,7564307.0,0.0
1987-02-14,7564307.0,0.0
1987-02-21,7564307.0,0.0
1987-02-28,7564307.0,0.0
1987-03-07,7564307.0,0.0
1987-03-14,7564307.0,0.0
1987-03-21,7564307.0,0.0
1987-03-28,7564307.0,0.0
1987-04-04,7603024.0,38717.0
1987-04-11,7603024.0,0.0
1987-04-18,7603024.0,0.0
1987-04-25,7603024.0,0.0
1987-05-02,7603024.0,0.0
1987-05-09,7603024.0,0.0
1987-05-16,7603024.0,0.0
1987-05-23,7603024.0,0.0
1987-05-30,7603024.0,0.0
1987-06-06,7603024.0,0.0
1987-06-13,7603024.0,0.0
1987-06-20,7603024.0,0.0
1987-06-27,7603024.0,0.0
1987-07-04,7643254.0,40230.0
1987-07-11,7643254.0,0.0
1987-07-18,7643254.0,0.0
1987-07-25,1643254.0,-6000000.0
1987-08-01,7643254.0,6000000.0
1987-08-08,7643254.0,0.0
1987-08-15,7643254.0,0.0
1987-08-22,7643254.0,0.0
1987-08-29,7643254.0,0.0
1987-09-05,7643254.0,0.0
1987-09-12,7643254.0,0.0
1987-09-19,7643254.0,0.0
1987-09-26,7643254.0,0.0
1987-10-03,7679137.0,35883.0
1987-10-10,7679137.0,0.0
1987-10-17,7679137.0,0.0
1987-10-24,7679137.0,0.0
1987-10-31,7679137.0,0.0
1987-11-07,7679137.0,0.0
1987-11-14,7679137.0,0.0
1987-11-21,7679137.0,0.0
1987-11-28,7679137.0,0.0
1987-12-05,7679137.0,0.0
1987-12-12,7679137.0,0.0
1987-12-19,7679137.0,0.0
1987-12-26,7679137.0,0.0
1988-01-02,7714446.0,35309.0
1988-01-09,7714446.0,0.0
1988-01-16,7714446.0,0.0
1988-01-23,7714446.0,0.0
1988-01-30,7714446.0,0.0
1988-02-06,7714446.0,0.0
1988-02-13,7714446.0,0.0
1988-02-20,7714446.0,0.0
1988-02-27,7714446.0,0.0
1988-03-05,7714446.0,0.0
1988-03-12,7714446.0,0.0
1988-03-19,7714446.0,0.0
1988-03-26,7714446.0,0.0
1988-04-02,7748222.0,33776.0
1988-04-09,7748222.0,0.0
1988-04-16,7748222.0,0.0
1988-04-23,7748222.0,0.0
1988-04-30,7748222.0,0.0
1988-05-07,7748222.0,0.0
1988-05-14,7748222.0,0.0
1988-05-21,7748222.0,0.0
1988-05-28,7748222.0,0.0
1988-06-04,7748222.0,0.0
1988-06-11,7748222.0,0.0
1988-06-18,7748222.0,0.0
1988-06-25,7748222.0,0.0
1988-07-02,7789418.0,41196.0
1988-07-09,7789418.0,0.0
1988-07-16,7789418.0,0.0
1988-07-23,7789418.0,0.0
1988-07-30,7788418.0,-1000.0
1988-08-06,7789418.0,1000.0
1988-08-13,7789418.0,0.0
1988-08-20,7789418.0,0.0
1988-08-27,7789418.0,0.0
1988-09-03,7789418.0,0.0
1988-09-10,7789419.0,1.0
1988-09-17,7789418.0,-1.0
1988-09-24,7789418.0,0.0
1988-10-01,7822625.0,33207.0
1988-10-08,7822625.0,0.0
1988-10-15,7822625.0,0.0
1988-10-22,7822625.0,0.0
1988-10-29,7822625.0,0.0
1988-11-05,7822625.0,0.0
1988-11-12,7822625.0,0.0
1988-11-19,7822625.0,0.0
1988-11-26,7822625.0,0.0
1988-12-03,7822625.0,0.0
1988-12-10,7822625.0,0.0
1988-12-17,7822625.0,0.0
1988-12-24,7822625.0,0.0
1988-12-31,7800844.0,-21781.0
1989-01-07,7854864.0,54020.0
1989-01-14,7854864.0,0.0
1989-01-21,7854864.0,0.0
1989-01-28,7854864.0,0.0
1989-02-04,7854864.0,0.0
1989-02-11,7854864.0,0.0
1989-02-18,7854864.0,0.0
1989-02-25,7854864.0,0.0
1989-03-04,7854864.0,0.0
1989-03-11,7854864.0,0.0
1989-03-18,7854860.0,-4.0
1989-03-25,7854864.0,4.0
1989-04-01,7886345.0,31481.0
1989-04-08,7886345.0,0.0
1989-04-15,7886345.0,0.0
1989-04-22,7886345.0,0.0
1989-04-29,7886023.0,-322.0
1989-05-06,7886345.0,322.0
1989-05-13,7856345.0,-30000.0
1989-05-20,7886345.0,30000.0
1989-05-27,7886345.0,0.0
1989-06-03,7886345.0,0.0
1989-06-10,7886345.0,0.0
1989-06-17,7886345.0,0.0
1989-06-24,7886345.0,0.0
1989-07-01,7909669.0,23324.0
1989-07-08,7909669.0,0.0
1989-07-15,7909669.0,0.0
1989-07-22,7909669.0,0.0
1989-07-29,7909669.0,0.0
1989-08-05,7909669.0,0.0
1989-08-12,7909669.0,0.0
1989-08-19,7909669.0,0.0
1989-08-26,7909669.0,0.0
1989-09-02,7909669.0,0.0
1989-09-09,7909669.0,0.0
1989-09-16,7909669.0,0.0
1989-09-23,7909669.0,0.0
1989-09-30,7909669.0,0.0
1989-10-07,7936756.0,27087.0
1989-10-14,7936756.0,0.0
1989-10-21,7936756.0,0.0
1989-10-28,7936756.0,0.0
1989-11-04,7936756.0,0.0
1989-11-11,7936756.0,0.0
1989-11-18,7936756.0,0.0
1989-11-25,7936756.0,0.0
1989-12-02,7936756.0,0.0
1989-12-09,7936756.0,0.0
1989-12-16,7936756.0,0.0
1989-12-23,7936756.0,0.0
1989-12-30,7936756.0,0.0
1990-01-06,7960392.0,23636.0
1990-01-13,7960392.0,0.0
1990-01-20,7960392.0,0.0
1990-01-27,7960392.0,0.0
1990-02-03,7960392.0,0.0
1990-02-10,7960392.0,0.0
1990-02-17,7960392.0,0.0
1990-02-24,7960392.0,0.0
1990-03-03,7960392.0,0.0
1990-03-10,7960392.0,0.0
1990-03-17,7960392.0,0.0
1990-03-24,7960392.0,0.0
1990-03-31,7960392.0,0.0
1990-04-07,7969384.0,8992.0
1990-04-14,7969384.0,0.0
1990-04-21,7969384.0,0.0
1990-04-28,7969384.0,0.0
1990-05-05,7969384.0,0.0
1990-05-12,7969384.0,0.0
1990-05-19,7969384.0,0.0
1990-05-26,7969384.0,0.0
1990-06-02,7969384.0,0.0
1990-06-09,7969384.0,0.0
1990-06-16,7969384.0,0.0
1990-06-23,7969384.0,0.0
1990-06-30,7969384.0,0.0
1990-07-07,7968434.0,-950.0
1990-07-14,7968434.0,0.0
1990-07-21,7968434.0,0.0
1990-07-28,7968434.0,0.0
1990-08-04,7968434.0,0.0
1990-08-11,7968434.0,0.0
1990-08-18,7968434.0,0.0
1990-08-25,7968434.0,0.0
1990-09-01,7968434.0,0.0
1990-09-08,7968434.0,0.0
1990-09-15,7968434.0,0.0
1990-09-22,7968434.0,0.0
1990-09-29,7968434.0,0.0
1990-10-06,7965567.0,-2867.0
1990-10-13,7965567.0,0.0
1990-10-20,7965567.0,0.0
1990-10-27,7965567.0,0.0
1990-11-03,7965567.0,0.0
1990-11-10,7965567.0,0.0
1990-11-17,7965567.0,0.0
1990-11-24,7965567.0,0.0
1990-12-01,7965567.0,0.0
1990-12-08,7965567.0,0.0
1990-12-15,7965567.0,0.0
1990-12-22,7965567.0,0.0
1990-12-29,7965567.0,0.0
1991-01-05,7957236.0,-8331.0
1991-01-12,7957236.0,0.0
1991-01-19,7957236.0,0.0
1991-01-26,7957236.0,0.0
1991-02-02,7957236.0,0.0
1991-02-09,7957236.0,0.0
1991-02-16,7957236.0,0.0
1991-02-23,7957236.0,0.0
1991-03-02,7957236.0,0.0
1991-03-09,7957236.0,0.0
1991-03-16,7957236.0,0.0
1991-03-23,7957236.0,0.0
1991-03-30,7957236.0,0.0
1991-04-06,7949734.0,-7502.0
1991-04-13,7949734.0,0.0
1991-04-20,7949734.0,0.0
1991-04-27,7949734.0,0.0
1991-05-04,7949734.0,0.0
1991-05-11,7949734.0,0.0
1991-05-18,7949734.0,0.0
1991-05-25,7949734.0,0.0
1991-06-01,7949734.0,0.0
1991-06-08,7949734.0,0.0
1991-06-15,7949734.0,0.0
1991-06-22,7949734.0,0.0
1991-06-29,7949734.0,0.0
1991-07-06,7930807.0,-18927.0
1991-07-13,7930807.0,0.0
1991-07-20,7930807.0,0.0
1991-07-27,7930807.0,0.0
1991-08-03,7930807.0,0.0
1991-08-10,7930807.0,0.0
1991-08-17,7930807.0,0.0
1991-08-24,7930807.0,0.0
1991-08-31,7930807.0,0.0
1991-09-07,7930807.0,0.0
1991-09-14,7930807.0,0.0
1991-09-21,7930807.0,0.0
1991-09-28,7930807.0,0.0
1991-10-05,7863131.0,-67676.0
1991-10-12,7863131.0,0.0
1991-10-19,7863131.0,0.0
1991-10-26,7863131.0,0.0
1991-11-02,7863131.0,0.0
1991-11-09,7863131.0,0.0
1991-11-16,7863131.0,0.0
