Date,Values,Delta Calculations
2009-07-01,1.047, 
2009-07-08,1.052,0.0050000000000001155
2009-07-15,1.047,-0.0050000000000001155
2009-07-22,1.066,0.018999999999999906
2009-07-29,1.077,0.01100000000000012
2009-08-05,1.183,0.1060000000000001
2009-08-12,1.186,0.0029999999999998916
2009-08-19,1.184,-0.0019999999999997797
2009-08-26,1.185,0.0009999999999998899
2009-09-02,1.214,0.028999999999999915
2009-09-09,1.215,0.001000000000000112
2009-09-16,1.228,0.0129999999999999
2009-09-23,1.223,-0.0050000000000001155
2009-09-30,1.251,0.028000000000000025
2009-10-07,1.246,-0.004999999999999893
2009-10-14,1.251,0.004999999999999893
2009-10-21,1.25,-0.0009999999999998899
2009-10-28,1.245,-0.004999999999999893
2009-11-04,1.267,0.02200000000000002
2009-11-11,1.274,0.006999999999999895
2009-11-18,1.282,0.007999999999999785
2009-11-25,1.292,0.010000000000000009
2009-12-02,1.306,0.014000000000000234
2009-12-09,1.314,0.008000000000000007
2009-12-16,1.335,0.020999999999999908
2009-12-23,1.334,-0.0009999999999998899
2009-12-30,1.348,0.014000000000000012
2010-01-06,1.343,-0.004999999999999893
2010-01-13,1.323,-0.020000000000000018
2010-01-20,1.314,-0.009000000000000119
2010-01-27,1.287,-0.027000000000000135
2010-02-03,1.31,0.02300000000000013
2010-02-10,1.311,0.0009999999999998899
2010-02-17,1.311,0.0
2010-02-24,1.32,0.009000000000000119
2010-03-03,1.332,0.011999999999999789
2010-03-10,1.334,0.002000000000000224
2010-03-17,1.329,-0.0050000000000001155
2010-03-24,1.339,0.010000000000000009
2010-03-31,1.403,0.06400000000000006
2010-04-07,1.402,-0.001000000000000112
2010-04-14,1.412,0.010000000000000009
2010-04-21,1.404,-0.007999999999999785
2010-04-28,1.408,0.0040000000000000036
2010-05-05,1.368,-0.040000000000000036
2010-05-12,1.371,0.0029999999999998916
2010-05-19,1.353,-0.017999999999999794
2010-05-26,1.424,0.07099999999999995
2010-06-02,1.425,0.0009999999999998899
2010-06-09,1.439,0.014000000000000012
2010-06-16,1.434,-0.004999999999999893
2010-06-23,1.382,-0.05200000000000027
2010-06-30,1.396,0.014000000000000012
2010-07-07,1.397,0.0009999999999998899
2010-07-14,1.42,0.02300000000000013
2010-07-21,1.42,0.0
2010-07-28,1.418,-0.0019999999999997797
2010-08-04,1.438,0.020000000000000018
2010-08-11,1.42,-0.018000000000000238
2010-08-18,1.425,0.0050000000000001155
2010-08-25,1.431,0.006000000000000005
2010-09-01,1.453,0.02200000000000002
2010-09-08,1.458,0.0050000000000001155
2010-09-15,1.474,0.015999999999999792
2010-09-22,1.541,0.06699999999999995
2010-09-29,1.55,0.009000000000000119
2010-10-06,1.562,0.011999999999999789
2010-10-13,1.53,-0.031999999999999806
2010-10-20,1.532,0.0019999999999997797
2010-10-27,1.496,-0.03599999999999981
2010-11-03,1.498,0.002000000000000224
2010-11-10,1.499,0.0009999999999998899
2010-11-17,1.521,0.021999999999999797
2010-11-24,1.515,-0.006000000000000005
2010-12-01,1.527,0.01200000000000001
2010-12-08,1.538,0.01100000000000012
2010-12-15,1.537,-0.001000000000000112
2010-12-22,1.558,0.02100000000000013
2010-12-29,1.574,0.016000000000000014
2011-01-05,1.577,0.0029999999999998916
2011-01-12,1.572,-0.0050000000000001155
2011-01-19,1.618,0.04600000000000026
2011-01-26,1.619,0.0009999999999998899
2011-02-02,1.643,0.02400000000000002
2011-02-09,1.651,0.008000000000000007
2011-02-16,1.657,0.005999999999999783
2011-02-23,1.664,0.007000000000000339
2011-03-02,1.651,-0.013000000000000123
2011-03-09,1.665,0.014000000000000012
2011-03-16,1.667,0.0019999999999997797
2011-03-23,1.683,0.016000000000000236
2011-03-30,1.67,-0.013000000000000123
2011-04-06,1.713,0.04300000000000015
2011-04-13,1.714,0.0009999999999998899
2011-04-20,1.699,-0.014999999999999902
2011-04-27,1.751,0.051999999999999824
2011-05-04,1.753,0.002000000000000224
2011-05-11,1.762,0.008999999999999675
2011-05-18,1.756,-0.005999999999999783
2011-05-25,1.749,-0.006999999999999895
2011-06-01,1.75,0.0009999999999998899
2011-06-08,1.748,-0.0019999999999997797
2011-06-15,1.754,0.005999999999999783
2011-06-22,1.761,0.006999999999999895
2011-06-29,1.784,0.02300000000000013
2011-07-06,1.775,-0.009000000000000119
2011-07-13,1.793,0.018000000000000238
2011-07-20,1.757,-0.036000000000000254
2011-07-27,1.76,0.0030000000000001137
2011-08-03,1.748,-0.011999999999999789
2011-08-10,1.749,0.0009999999999998899
2011-08-17,1.743,-0.006000000000000005
2011-08-24,1.767,0.0239999999999998
2011-08-31,1.747,-0.020000000000000018
2011-09-07,1.75,0.0030000000000001137
2011-09-14,1.759,0.009000000000000119
2011-09-21,1.767,0.007999999999999785
2011-09-28,1.772,0.004999999999999893
2011-10-05,1.775,0.0030000000000001137
2011-10-12,1.765,-0.010000000000000009
2011-10-19,1.743,-0.021999999999999797
2011-10-26,1.73,-0.013000000000000123
2011-11-02,1.735,0.0050000000000001155
2011-11-09,1.736,0.0009999999999998899
2011-11-16,1.673,-0.06299999999999994
2011-11-23,1.676,0.0029999999999998916
2011-11-30,1.677,0.0009999999999998899
2011-12-07,1.681,0.004000000000000226
2011-12-14,1.69,0.008999999999999897
2011-12-21,1.682,-0.008000000000000007
2011-12-28,1.692,0.010000000000000009
2012-01-04,1.667,-0.025000000000000133
2012-01-11,1.66,-0.006999999999999895
2012-01-18,1.7,0.040000000000000036
2012-01-25,1.703,0.0030000000000001137
2012-02-01,1.666,-0.037000000000000144
2012-02-08,1.671,0.0050000000000001155
2012-02-15,1.669,-0.0020000000000000018
2012-02-22,1.641,-0.028000000000000025
2012-02-29,2.151,0.5099999999999998
2012-03-07,2.156,0.0050000000000003375
2012-03-14,2.153,-0.0030000000000001137
2012-03-21,2.149,-0.0040000000000000036
2012-03-28,2.155,0.005999999999999783
2012-04-04,2.172,0.016999999999999904
2012-04-11,2.204,0.03200000000000047
2012-04-18,2.207,0.0029999999999996696
2012-04-25,2.229,0.02200000000000024
2012-05-02,2.23,0.0009999999999998899
2012-05-09,2.253,0.02300000000000013
2012-05-16,2.26,0.006999999999999673
2012-05-23,2.26,0.0
2012-05-30,2.264,0.004000000000000448
2012-06-06,2.271,0.006999999999999673
2012-06-13,2.23,-0.040999999999999925
2012-06-20,1.714,-0.516
2012-06-27,1.735,0.02100000000000013
2012-07-04,1.729,-0.006000000000000005
2012-07-11,1.727,-0.002000000000000224
2012-07-18,1.731,0.0040000000000000036
2012-07-25,1.748,0.017000000000000348
2012-08-01,1.717,-0.03100000000000036
2012-08-08,1.713,-0.0039999999999997815
