Date,Values,Delta Calculations
2003-01-15,9.0, 
2003-01-22,9.0,0.0
2003-01-29,28.0,19.0
2003-02-05,28.0,0.0
2003-02-12,21.0,-7.0
2003-02-19,21.0,0.0
2003-02-26,17.0,-4.0
2003-03-05,17.0,0.0
2003-03-12,23.0,6.0
2003-03-19,23.0,0.0
2003-03-26,3.0,-20.0
2003-04-02,3.0,0.0
2003-04-09,15.0,12.0
2003-04-16,15.0,0.0
2003-04-23,2.0,-13.0
2003-04-30,2.0,0.0
2003-05-07,3.0,1.0
2003-05-14,3.0,0.0
2003-05-21,2.0,-1.0
2003-05-28,2.0,0.0
2003-06-04,7.0,5.0
2003-06-11,7.0,0.0
2003-06-18,163.0,156.0
2003-06-25,163.0,0.0
2003-07-02,54.0,-109.0
2003-07-09,54.0,0.0
2003-07-16,5.0,-49.0
2003-07-23,5.0,0.0
2003-07-30,11.0,6.0
2003-08-06,11.0,0.0
2003-08-13,363.0,352.0
2003-08-20,363.0,0.0
2003-08-27,5.0,-358.0
2003-09-03,5.0,0.0
2003-09-10,4.0,-1.0
2003-09-17,4.0,0.0
2003-09-24,48.0,44.0
2003-10-01,48.0,0.0
2003-10-08,3.0,-45.0
2003-10-15,3.0,0.0
2003-10-22,17.0,14.0
2003-10-29,17.0,0.0
2003-11-05,43.0,26.0
2003-11-12,43.0,0.0
2003-11-19,14.0,-29.0
2003-11-26,14.0,0.0
2003-12-03,11.0,-3.0
2003-12-10,11.0,0.0
2003-12-17,19.0,8.0
2003-12-24,19.0,0.0
2003-12-31,22.0,3.0
2004-01-07,22.0,0.0
2004-01-14,126.0,104.0
2004-01-21,126.0,0.0
2004-01-28,97.0,-29.0
2004-02-04,97.0,0.0
2004-02-11,15.0,-82.0
2004-02-18,15.0,0.0
2004-02-25,20.0,5.0
2004-03-03,20.0,0.0
2004-03-10,28.0,8.0
2004-03-17,28.0,0.0
2004-03-24,19.0,-9.0
2004-03-31,19.0,0.0
2004-04-07,35.0,16.0
2004-04-14,35.0,0.0
2004-04-21,25.0,-10.0
2004-04-28,25.0,0.0
2004-05-05,11.0,-14.0
2004-05-12,11.0,0.0
2004-05-19,3.0,-8.0
2004-05-26,3.0,0.0
2004-06-02,20.0,17.0
2004-06-09,20.0,0.0
2004-06-16,44.0,24.0
2004-06-23,44.0,0.0
2004-06-30,59.0,15.0
2004-07-07,59.0,0.0
2004-07-14,40.0,-19.0
2004-07-21,40.0,0.0
2004-07-28,34.0,-6.0
2004-08-04,34.0,0.0
2004-08-11,14.0,-20.0
2004-08-18,14.0,0.0
2004-08-25,19.0,5.0
2004-09-01,19.0,0.0
2004-09-08,26.0,7.0
2004-09-15,26.0,0.0
2004-09-22,181.0,155.0
2004-09-29,181.0,0.0
2004-10-06,4.0,-177.0
2004-10-13,4.0,0.0
2004-10-20,28.0,24.0
2004-10-27,28.0,0.0
2004-11-03,7.0,-21.0
2004-11-10,7.0,0.0
2004-11-17,218.0,211.0
2004-11-24,218.0,0.0
2004-12-01,5.0,-213.0
2004-12-08,5.0,0.0
2004-12-15,12.0,7.0
2004-12-22,12.0,0.0
2004-12-29,14.0,2.0
2005-01-05,14.0,0.0
2005-01-12,40.0,26.0
2005-01-19,40.0,0.0
2005-01-26,49.0,9.0
2005-02-02,49.0,0.0
2005-02-09,16.0,-33.0
2005-02-16,16.0,0.0
2005-02-23,35.0,19.0
2005-03-02,35.0,0.0
2005-03-09,7.0,-28.0
2005-03-16,7.0,0.0
2005-03-23,9.0,2.0
2005-03-30,9.0,0.0
2005-04-06,112.0,103.0
2005-04-13,112.0,0.0
2005-04-20,6.0,-106.0
2005-04-27,6.0,0.0
2005-05-04,7.0,1.0
2005-05-11,7.0,0.0
2005-05-18,5.0,-2.0
2005-05-25,5.0,0.0
2005-06-01,7.0,2.0
2005-06-08,7.0,0.0
2005-06-15,18.0,11.0
2005-06-22,18.0,0.0
2005-06-29,279.0,261.0
2005-07-06,279.0,0.0
2005-07-13,90.0,-189.0
2005-07-20,90.0,0.0
2005-07-27,230.0,140.0
2005-08-03,230.0,0.0
2005-08-10,79.0,-151.0
2005-08-17,79.0,0.0
2005-08-24,11.0,-68.0
2005-08-31,11.0,0.0
2005-09-07,12.0,1.0
2005-09-14,12.0,0.0
2005-09-21,7.0,-5.0
2005-09-28,7.0,0.0
2005-10-05,59.0,52.0
2005-10-12,59.0,0.0
2005-10-19,25.0,-34.0
2005-10-26,25.0,0.0
2005-11-02,4.0,-21.0
2005-11-09,4.0,0.0
2005-11-16,35.0,31.0
2005-11-23,35.0,0.0
2005-11-30,12.0,-23.0
2005-12-07,12.0,0.0
2005-12-14,188.0,176.0
2005-12-21,188.0,0.0
2005-12-28,29.0,-159.0
2006-01-04,29.0,0.0
2006-01-11,154.0,125.0
2006-01-18,154.0,0.0
2006-01-25,11.0,-143.0
2006-02-01,11.0,0.0
2006-02-08,36.0,25.0
2006-02-15,36.0,0.0
2006-02-22,6.0,-30.0
2006-03-01,6.0,0.0
2006-03-08,15.0,9.0
2006-03-15,15.0,0.0
2006-03-22,193.0,178.0
2006-03-29,193.0,0.0
2006-04-05,381.0,188.0
2006-04-12,381.0,0.0
2006-04-19,16.0,-365.0
2006-04-26,16.0,0.0
2006-05-03,33.0,17.0
2006-05-10,33.0,0.0
2006-05-17,21.0,-12.0
2006-05-24,21.0,0.0
2006-05-31,19.0,-2.0
2006-06-07,19.0,0.0
2006-06-14,15.0,-4.0
2006-06-21,15.0,0.0
2006-06-28,16.0,1.0
2006-07-05,16.0,0.0
2006-07-12,14.0,-2.0
2006-07-19,14.0,0.0
2006-07-26,78.0,64.0
2006-08-02,78.0,0.0
2006-08-09,9.0,-69.0
2006-08-16,9.0,0.0
2006-08-23,30.0,21.0
2006-08-30,30.0,0.0
2006-09-06,124.0,94.0
2006-09-13,124.0,0.0
2006-09-20,21.0,-103.0
2006-09-27,21.0,0.0
2006-10-04,23.0,2.0
2006-10-11,23.0,0.0
2006-10-18,22.0,-1.0
2006-10-25,22.0,0.0
2006-11-01,33.0,11.0
2006-11-08,33.0,0.0
2006-11-15,52.0,19.0
2006-11-22,52.0,0.0
2006-11-29,56.0,4.0
2006-12-06,56.0,0.0
2006-12-13,127.0,71.0
2006-12-20,127.0,0.0
2006-12-27,122.0,-5.0
2007-01-03,122.0,0.0
2007-01-10,144.0,22.0
2007-01-17,144.0,0.0
2007-01-24,244.0,100.0
2007-01-31,244.0,0.0
2007-02-07,8.0,-236.0
2007-02-14,8.0,0.0
2007-02-21,8.0,0.0
2007-02-28,8.0,0.0
2007-03-07,7.0,-1.0
2007-03-14,7.0,0.0
2007-03-21,31.0,24.0
2007-03-28,31.0,0.0
2007-04-04,44.0,13.0
2007-04-11,44.0,0.0
2007-04-18,32.0,-12.0
2007-04-25,32.0,0.0
2007-05-02,6.0,-26.0
2007-05-09,6.0,0.0
2007-05-16,22.0,16.0
2007-05-23,22.0,0.0
2007-05-30,10.0,-12.0
2007-06-06,10.0,0.0
2007-06-13,79.0,69.0
2007-06-20,79.0,0.0
2007-06-27,12.0,-67.0
2007-07-04,12.0,0.0
2007-07-11,94.0,82.0
2007-07-18,94.0,0.0
2007-07-25,3.0,-91.0
2007-08-01,3.0,0.0
2007-08-08,6.0,3.0
2007-08-15,6.0,0.0
2007-08-22,1258.0,1252.0
2007-08-29,1258.0,0.0
2007-09-05,2018.0,760.0
2007-09-12,2018.0,0.0
2007-09-19,1134.0,-884.0
2007-09-26,1134.0,0.0
