Date,Values,Delta Calculations
2013-07-03,57309.0, 
2013-07-10,57309.0,0.0
2013-07-17,56266.0,-1043.0
2013-07-24,56266.0,0.0
2013-07-31,57818.0,1552.0
2013-08-07,57818.0,0.0
2013-08-14,55428.0,-2390.0
2013-08-21,55428.0,0.0
2013-08-28,63765.0,8337.0
2013-09-04,63765.0,0.0
2013-09-11,55039.0,-8726.0
2013-09-18,55039.0,0.0
2013-09-25,65715.0,10676.0
2013-10-02,65715.0,0.0
2013-10-09,53241.0,-12474.0
2013-10-16,53241.0,0.0
2013-10-23,66031.0,12790.0
2013-10-30,66031.0,0.0
2013-11-06,59637.0,-6394.0
2013-11-13,59637.0,0.0
2013-11-20,67498.0,7861.0
2013-11-27,67498.0,0.0
2013-12-04,60794.0,-6704.0
2013-12-11,60794.0,0.0
2013-12-18,62098.0,1304.0
2013-12-25,62098.0,0.0
2014-01-01,64570.0,2472.0
2014-01-08,64570.0,0.0
2014-01-15,68165.0,3595.0
2014-01-22,68165.0,0.0
2014-01-29,71817.0,3652.0
2014-02-05,71817.0,0.0
2014-02-12,63403.0,-8414.0
2014-02-19,63403.0,0.0
2014-02-26,77926.0,14523.0
2014-03-05,77926.0,0.0
2014-03-12,66857.0,-11069.0
2014-03-19,66857.0,0.0
2014-03-26,71939.0,5082.0
2014-04-02,71939.0,0.0
2014-04-09,65942.0,-5997.0
2014-04-16,65942.0,0.0
2014-04-23,78429.0,12487.0
2014-04-30,78429.0,0.0
2014-05-07,69675.0,-8754.0
2014-05-14,69675.0,0.0
2014-05-21,80162.0,10487.0
2014-05-28,80162.0,0.0
2014-06-04,71661.0,-8501.0
2014-06-11,71661.0,0.0
2014-06-18,73946.0,2285.0
2014-06-25,73946.0,0.0
2014-07-02,75008.0,1062.0
2014-07-09,75008.0,0.0
2014-07-16,75038.0,30.0
2014-07-23,75038.0,0.0
2014-07-30,79253.0,4215.0
2014-08-06,79253.0,0.0
2014-08-13,73765.0,-5488.0
2014-08-20,73765.0,0.0
2014-08-27,83259.0,9494.0
2014-09-03,83259.0,0.0
2014-09-10,67569.0,-15690.0
2014-09-17,67569.0,0.0
2014-09-24,78073.0,10504.0
2014-10-01,78073.0,0.0
2014-10-08,70040.0,-8033.0
2014-10-15,70040.0,0.0
2014-10-22,83172.0,13132.0
2014-10-29,83172.0,0.0
2014-11-05,74401.0,-8771.0
2014-11-12,74401.0,0.0
2014-11-19,80527.0,6126.0
2014-11-26,80527.0,0.0
2014-12-03,78222.0,-2305.0
2014-12-10,78222.0,0.0
2014-12-17,70911.0,-7311.0
2014-12-24,70911.0,0.0
2014-12-31,76277.0,5366.0
2015-01-07,76277.0,0.0
2015-01-14,79961.0,3684.0
2015-01-21,79961.0,0.0
2015-01-28,87179.0,7218.0
2015-02-04,87179.0,0.0
2015-02-11,72023.0,-15156.0
2015-02-18,72023.0,0.0
2015-02-25,88836.0,16813.0
2015-03-04,88836.0,0.0
2015-03-11,78303.0,-10533.0
2015-03-18,78303.0,0.0
2015-03-25,84673.0,6370.0
2015-04-01,84673.0,0.0
2015-04-08,76658.0,-8015.0
2015-04-15,76658.0,0.0
2015-04-22,89860.0,13202.0
2015-04-29,89860.0,0.0
2015-05-06,80346.0,-9514.0
2015-05-13,80346.0,0.0
2015-05-20,86705.0,6359.0
2015-05-27,86705.0,0.0
2015-06-03,79518.0,-7187.0
2015-06-10,79518.0,0.0
2015-06-17,78685.0,-833.0
2015-06-24,78685.0,0.0
2015-07-01,79282.0,597.0
2015-07-08,79282.0,0.0
2015-07-15,79871.0,589.0
2015-07-22,79871.0,0.0
