Date,Values,Delta Calculations
1986-12-27,3852.0, 
1987-01-03,4760.0,908.0
1987-01-10,4146.0,-614.0
1987-01-17,4436.0,290.0
1987-01-24,4802.0,366.0
1987-01-31,4618.0,-184.0
1987-02-07,4474.0,-144.0
1987-02-14,4420.0,-54.0
1987-02-21,4434.0,14.0
1987-02-28,4439.0,5.0
1987-03-07,4239.0,-200.0
1987-03-14,4141.0,-98.0
1987-03-21,3917.0,-224.0
1987-03-28,4200.0,283.0
1987-04-04,4048.0,-152.0
1987-04-11,3088.0,-960.0
1987-04-18,2982.0,-106.0
1987-04-25,2575.0,-407.0
1987-05-02,2283.0,-292.0
1987-05-09,1990.0,-293.0
1987-05-16,2014.0,24.0
1987-05-23,1985.0,-29.0
1987-05-30,2143.0,158.0
1987-06-06,1994.0,-149.0
1987-06-13,1995.0,1.0
1987-06-20,1958.0,-37.0
1987-06-27,2105.0,147.0
1987-07-04,2169.0,64.0
1987-07-11,2018.0,-151.0
1987-07-18,2277.0,259.0
1987-07-25,2107.0,-170.0
1987-08-01,2034.0,-73.0
1987-08-08,2162.0,128.0
1987-08-15,2636.0,474.0
1987-08-22,2434.0,-202.0
1987-08-29,2103.0,-331.0
1987-09-05,1824.0,-279.0
1987-09-12,1764.0,-60.0
1987-09-19,1737.0,-27.0
1987-09-26,1728.0,-9.0
1987-10-03,1568.0,-160.0
1987-10-10,1437.0,-131.0
1987-10-17,1629.0,192.0
1987-10-24,1548.0,-81.0
1987-10-31,1608.0,60.0
1987-11-07,1717.0,109.0
1987-11-14,2466.0,749.0
1987-11-21,2263.0,-203.0
1987-11-28,2956.0,693.0
1987-12-05,3109.0,153.0
1987-12-12,3713.0,604.0
1987-12-19,3611.0,-102.0
1987-12-26,4156.0,545.0
1988-01-02,5614.0,1458.0
1988-01-09,4733.0,-881.0
1988-01-16,5252.0,519.0
1988-01-23,5413.0,161.0
1988-01-30,5844.0,431.0
1988-02-06,5241.0,-603.0
1988-02-13,5383.0,142.0
1988-02-20,5150.0,-233.0
1988-02-27,5090.0,-60.0
1988-03-05,4671.0,-419.0
1988-03-12,4564.0,-107.0
1988-03-19,4350.0,-214.0
1988-03-26,3975.0,-375.0
1988-04-02,4071.0,96.0
1988-04-09,3203.0,-868.0
1988-04-16,2955.0,-248.0
1988-04-23,2596.0,-359.0
1988-04-30,2492.0,-104.0
1988-05-07,2164.0,-328.0
1988-05-14,2056.0,-108.0
1988-05-21,1846.0,-210.0
1988-05-28,1702.0,-144.0
1988-06-04,1776.0,74.0
1988-06-11,1776.0,0.0
1988-06-18,1753.0,-23.0
1988-06-25,1664.0,-89.0
1988-07-02,1565.0,-99.0
1988-07-09,1759.0,194.0
1988-07-16,1835.0,76.0
1988-07-23,1739.0,-96.0
1988-07-30,1761.0,22.0
1988-08-06,1701.0,-60.0
1988-08-13,1729.0,28.0
1988-08-20,1682.0,-47.0
1988-08-27,1773.0,91.0
1988-09-03,1423.0,-350.0
1988-09-10,1436.0,13.0
1988-09-17,1368.0,-68.0
1988-09-24,1409.0,41.0
1988-10-01,1276.0,-133.0
1988-10-08,1165.0,-111.0
1988-10-15,1467.0,302.0
1988-10-22,1448.0,-19.0
1988-10-29,1493.0,45.0
1988-11-05,1286.0,-207.0
1988-11-12,2059.0,773.0
1988-11-19,2020.0,-39.0
1988-11-26,2254.0,234.0
1988-12-03,2223.0,-31.0
1988-12-10,2492.0,269.0
1988-12-17,2674.0,182.0
1988-12-24,2869.0,195.0
1988-12-31,3520.0,651.0
1989-01-07,3482.0,-38.0
1989-01-14,3690.0,208.0
1989-01-21,3902.0,212.0
1989-01-28,3792.0,-110.0
1989-02-04,3906.0,114.0
1989-02-11,4069.0,163.0
1989-02-18,4057.0,-12.0
1989-02-25,4015.0,-42.0
1989-03-04,3907.0,-108.0
1989-03-11,3665.0,-242.0
1989-03-18,3387.0,-278.0
1989-03-25,3717.0,330.0
1989-04-01,3488.0,-229.0
1989-04-08,2745.0,-743.0
1989-04-15,2710.0,-35.0
1989-04-22,2327.0,-383.0
1989-04-29,2147.0,-180.0
1989-05-06,1894.0,-253.0
1989-05-13,1777.0,-117.0
1989-05-20,1654.0,-123.0
1989-05-27,1638.0,-16.0
1989-06-03,1604.0,-34.0
1989-06-10,1733.0,129.0
1989-06-17,1785.0,52.0
1989-06-24,1810.0,25.0
1989-07-01,1697.0,-113.0
1989-07-08,2019.0,322.0
1989-07-15,2114.0,95.0
1989-07-22,2049.0,-65.0
1989-07-29,2080.0,31.0
1989-08-05,1901.0,-179.0
1989-08-12,1940.0,39.0
1989-08-19,1818.0,-122.0
1989-08-26,1813.0,-5.0
1989-09-02,1456.0,-357.0
1989-09-09,1514.0,58.0
1989-09-16,1411.0,-103.0
1989-09-23,1332.0,-79.0
1989-09-30,1259.0,-73.0
1989-10-07,1344.0,85.0
1989-10-14,1389.0,45.0
1989-10-21,1335.0,-54.0
1989-10-28,1460.0,125.0
1989-11-04,1319.0,-141.0
1989-11-11,1662.0,343.0
1989-11-18,1449.0,-213.0
1989-11-25,2122.0,673.0
1989-12-02,2057.0,-65.0
1989-12-09,2421.0,364.0
1989-12-16,2804.0,383.0
1989-12-23,3118.0,314.0
1989-12-30,3533.0,415.0
1990-01-06,3735.0,202.0
1990-01-13,3384.0,-351.0
1990-01-20,3870.0,486.0
1990-01-27,3715.0,-155.0
1990-02-03,3729.0,14.0
1990-02-10,3443.0,-286.0
1990-02-17,3570.0,127.0
1990-02-24,3527.0,-43.0
1990-03-03,3320.0,-207.0
1990-03-10,3317.0,-3.0
1990-03-17,3120.0,-197.0
1990-03-24,2768.0,-352.0
1990-03-31,2504.0,-264.0
1990-04-07,2273.0,-231.0
1990-04-14,2127.0,-146.0
1990-04-21,1878.0,-249.0
1990-04-28,1699.0,-179.0
1990-05-05,1596.0,-103.0
1990-05-12,1516.0,-80.0
1990-05-19,1460.0,-56.0
1990-05-26,1398.0,-62.0
1990-06-02,1479.0,81.0
1990-06-09,1511.0,32.0
1990-06-16,1575.0,64.0
1990-06-23,1530.0,-45.0
1990-06-30,1587.0,57.0
1990-07-07,1736.0,149.0
1990-07-14,1683.0,-53.0
1990-07-21,1700.0,17.0
1990-07-28,1767.0,67.0
1990-08-04,1642.0,-125.0
1990-08-11,1595.0,-47.0
1990-08-18,1556.0,-39.0
1990-08-25,1406.0,-150.0
1990-09-01,1112.0,-294.0
1990-09-08,1163.0,51.0
1990-09-15,1062.0,-101.0
1990-09-22,1092.0,30.0
1990-09-29,1031.0,-61.0
1990-10-06,1234.0,203.0
1990-10-13,1220.0,-14.0
1990-10-20,1161.0,-59.0
1990-10-27,1303.0,142.0
1990-11-03,1312.0,9.0
1990-11-10,1410.0,98.0
1990-11-17,1419.0,9.0
1990-11-24,2052.0,633.0
1990-12-01,2003.0,-49.0
1990-12-08,2226.0,223.0
1990-12-15,2336.0,110.0
1990-12-22,2460.0,124.0
1990-12-29,3270.0,810.0
1991-01-05,3498.0,228.0
1991-01-12,3577.0,79.0
1991-01-19,3988.0,411.0
1991-01-26,3908.0,-80.0
1991-02-02,3900.0,-8.0
1991-02-09,3957.0,57.0
1991-02-16,3747.0,-210.0
1991-02-23,3800.0,53.0
1991-03-02,3856.0,56.0
1991-03-09,3589.0,-267.0
1991-03-16,3520.0,-69.0
1991-03-23,2918.0,-602.0
1991-03-30,3397.0,479.0
1991-04-06,2545.0,-852.0
1991-04-13,2425.0,-120.0
1991-04-20,2314.0,-111.0
1991-04-27,2053.0,-261.0
1991-05-04,1934.0,-119.0
1991-05-11,1797.0,-137.0
1991-05-18,1667.0,-130.0
1991-05-25,1629.0,-38.0
1991-06-01,1689.0,60.0
1991-06-08,1635.0,-54.0
1991-06-15,1837.0,202.0
1991-06-22,1916.0,79.0
1991-06-29,1931.0,15.0
1991-07-06,1957.0,26.0
1991-07-13,1891.0,-66.0
1991-07-20,2147.0,256.0
1991-07-27,1868.0,-279.0
1991-08-03,1975.0,107.0
1991-08-10,1911.0,-64.0
1991-08-17,1855.0,-56.0
1991-08-24,1750.0,-105.0
1991-08-31,1462.0,-288.0
1991-09-07,1420.0,-42.0
1991-09-14,1393.0,-27.0
1991-09-21,1328.0,-65.0
1991-09-28,1281.0,-47.0
1991-10-05,1225.0,-56.0
1991-10-12,1280.0,55.0
1991-10-19,1456.0,176.0
1991-10-26,1431.0,-25.0
1991-11-02,1826.0,395.0
1991-11-09,1870.0,44.0
1991-11-16,2329.0,459.0
1991-11-23,2124.0,-205.0
1991-11-30,2727.0,603.0
1991-12-07,2819.0,92.0
1991-12-14,2883.0,64.0
1991-12-21,2936.0,53.0
1991-12-28,3322.0,386.0
1992-01-04,4109.0,787.0
1992-01-11,3561.0,-548.0
1992-01-18,4143.0,582.0
1992-01-25,4090.0,-53.0
1992-02-01,4179.0,89.0
1992-02-08,4125.0,-54.0
1992-02-15,3863.0,-262.0
1992-02-22,4037.0,174.0
1992-02-29,3916.0,-121.0
1992-03-07,3662.0,-254.0
1992-03-14,3661.0,-1.0
1992-03-21,3384.0,-277.0
1992-03-28,3067.0,-317.0
1992-04-04,2733.0,-334.0
1992-04-11,2086.0,-647.0
1992-04-18,2932.0,846.0
1992-04-25,2431.0,-501.0
1992-05-02,1944.0,-487.0
1992-05-09,1999.0,55.0
1992-05-16,2017.0,18.0
1992-05-23,1894.0,-123.0
1992-05-30,1897.0,3.0
1992-06-06,1874.0,-23.0
1992-06-13,2017.0,143.0
1992-06-20,2038.0,21.0
1992-06-27,1647.0,-391.0
1992-07-04,2473.0,826.0
1992-07-11,2054.0,-419.0
1992-07-18,2142.0,88.0
1992-07-25,2257.0,115.0
1992-08-01,2257.0,0.0
1992-08-08,2238.0,-19.0
1992-08-15,2292.0,54.0
1992-08-22,2027.0,-265.0
1992-08-29,1836.0,-191.0
1992-09-05,1486.0,-350.0
1992-09-12,1549.0,63.0
1992-09-19,1481.0,-68.0
1992-09-26,1445.0,-36.0
1992-10-03,1367.0,-78.0
1992-10-10,1337.0,-30.0
1992-10-17,1456.0,119.0
1992-10-24,1501.0,45.0
1992-10-31,1476.0,-25.0
1992-11-07,1859.0,383.0
1992-11-14,2194.0,335.0
1992-11-21,1852.0,-342.0
1992-11-28,2629.0,777.0
1992-12-05,2559.0,-70.0
1992-12-12,2773.0,214.0
1992-12-19,2786.0,13.0
1992-12-26,3139.0,353.0
1993-01-02,4261.0,1122.0
1993-01-09,3974.0,-287.0
1993-01-16,4245.0,271.0
1993-01-23,4494.0,249.0
1993-01-30,4408.0,-86.0
1993-02-06,4224.0,-184.0
1993-02-13,4114.0,-110.0
1993-02-20,4377.0,263.0
1993-02-27,4312.0,-65.0
1993-03-06,4059.0,-253.0
1993-03-13,4061.0,2.0
1993-03-20,3881.0,-180.0
1993-03-27,3489.0,-392.0
1993-04-03,2851.0,-638.0
1993-04-10,3168.0,317.0
1993-04-17,2751.0,-417.0
1993-04-24,2307.0,-444.0
1993-05-01,2013.0,-294.0
1993-05-08,1850.0,-163.0
1993-05-15,1656.0,-194.0
1993-05-22,1514.0,-142.0
1993-05-29,1559.0,45.0
1993-06-05,1786.0,227.0
1993-06-12,1876.0,90.0
1993-06-19,1923.0,47.0
1993-06-26,1974.0,51.0
1993-07-03,1866.0,-108.0
1993-07-10,1925.0,59.0
1993-07-17,2128.0,203.0
1993-07-24,2241.0,113.0
1993-07-31,2025.0,-216.0
1993-08-07,1973.0,-52.0
1993-08-14,1970.0,-3.0
1993-08-21,1765.0,-205.0
1993-08-28,1570.0,-195.0
1993-09-04,1335.0,-235.0
1993-09-11,1291.0,-44.0
1993-09-18,1276.0,-15.0
1993-09-25,1249.0,-27.0
1993-10-02,1190.0,-59.0
1993-10-09,1144.0,-46.0
1993-10-16,1317.0,173.0
1993-10-23,1305.0,-12.0
1993-10-30,1352.0,47.0
1993-11-06,1251.0,-101.0
1993-11-13,1658.0,407.0
1993-11-20,1088.0,-570.0
1993-11-27,2330.0,1242.0
1993-12-04,2186.0,-144.0
1993-12-11,2506.0,320.0
1993-12-18,2651.0,145.0
1993-12-25,2839.0,188.0
1994-01-01,3495.0,656.0
1994-01-08,3287.0,-208.0
1994-01-15,3566.0,279.0
1994-01-22,3908.0,342.0
1994-01-29,3670.0,-238.0
1994-02-05,3804.0,134.0
1994-02-12,3794.0,-10.0
1994-02-19,3651.0,-143.0
1994-02-26,3698.0,47.0
1994-03-05,3583.0,-115.0
1994-03-12,3568.0,-15.0
1994-03-19,3157.0,-411.0
1994-03-26,2517.0,-640.0
1994-04-02,2995.0,478.0
1994-04-09,2415.0,-580.0
1994-04-16,2121.0,-294.0
1994-04-23,1878.0,-243.0
1994-04-30,1988.0,110.0
1994-05-07,1679.0,-309.0
1994-05-14,1558.0,-121.0
1994-05-21,1547.0,-11.0
1994-05-28,1407.0,-140.0
1994-06-04,1598.0,191.0
1994-06-11,1706.0,108.0
1994-06-18,1833.0,127.0
1994-06-25,1779.0,-54.0
1994-07-02,1774.0,-5.0
1994-07-09,1792.0,18.0
1994-07-16,1878.0,86.0
1994-07-23,1963.0,85.0
1994-07-30,1761.0,-202.0
1994-08-06,1762.0,1.0
1994-08-13,1758.0,-4.0
1994-08-20,1670.0,-88.0
1994-08-27,1611.0,-59.0
1994-09-03,1350.0,-261.0
1994-09-10,1374.0,24.0
1994-09-17,1274.0,-100.0
1994-09-24,1188.0,-86.0
1994-10-01,1117.0,-71.0
1994-10-08,1095.0,-22.0
1994-10-15,1270.0,175.0
1994-10-22,1256.0,-14.0
1994-10-29,1256.0,0.0
1994-11-05,1257.0,1.0
1994-11-12,1535.0,278.0
1994-11-19,1258.0,-277.0
1994-11-26,1881.0,623.0
1994-12-03,1870.0,-11.0
1994-12-10,2245.0,375.0
1994-12-17,2469.0,224.0
1994-12-24,2633.0,164.0
1994-12-31,2943.0,310.0
1995-01-07,3148.0,205.0
1995-01-14,3504.0,356.0
1995-01-21,3778.0,274.0
1995-01-28,3537.0,-241.0
1995-02-04,3570.0,33.0
1995-02-11,3464.0,-106.0
1995-02-18,3338.0,-126.0
1995-02-25,3223.0,-115.0
1995-03-04,3274.0,51.0
1995-03-11,3272.0,-2.0
1995-03-18,2951.0,-321.0
1995-03-25,2694.0,-257.0
1995-04-01,2581.0,-113.0
1995-04-08,1880.0,-701.0
1995-04-15,2805.0,925.0
1995-04-22,2123.0,-682.0
1995-04-29,1791.0,-332.0
1995-05-06,1635.0,-156.0
1995-05-13,1731.0,96.0
1995-05-20,1546.0,-185.0
1995-05-27,1436.0,-110.0
1995-06-03,1525.0,89.0
1995-06-10,1637.0,112.0
1995-06-17,1847.0,210.0
1995-06-24,1867.0,20.0
1995-07-01,1869.0,2.0
1995-07-08,1912.0,43.0
1995-07-15,2220.0,308.0
1995-07-22,2268.0,48.0
1995-07-29,2194.0,-74.0
1995-08-05,2127.0,-67.0
1995-08-12,2164.0,37.0
1995-08-19,1969.0,-195.0
1995-08-26,1714.0,-255.0
1995-09-02,1488.0,-226.0
1995-09-09,1703.0,215.0
1995-09-16,1376.0,-327.0
