Date,Values,Delta Calculations
1986-12-27,57271.0, 
1987-01-03,82475.0,25204.0
1987-01-10,62726.0,-19749.0
1987-01-17,50425.0,-12301.0
1987-01-24,55280.0,4855.0
1987-01-31,55280.0,0.0
1987-02-07,53687.0,-1593.0
1987-02-14,49246.0,-4441.0
1987-02-21,52684.0,3438.0
1987-02-28,49880.0,-2804.0
1987-03-07,47281.0,-2599.0
1987-03-14,45196.0,-2085.0
1987-03-21,43700.0,-1496.0
1987-03-28,42898.0,-802.0
1987-04-04,41796.0,-1102.0
1987-04-11,39227.0,-2569.0
1987-04-18,42017.0,2790.0
1987-04-25,37791.0,-4226.0
1987-05-02,35321.0,-2470.0
1987-05-09,34920.0,-401.0
1987-05-16,30406.0,-4514.0
1987-05-23,37027.0,6621.0
1987-05-30,34963.0,-2064.0
1987-06-06,34787.0,-176.0
1987-06-13,35113.0,326.0
1987-06-20,35096.0,-17.0
1987-06-27,34340.0,-756.0
1987-07-04,44070.0,9730.0
1987-07-11,48696.0,4626.0
1987-07-18,40646.0,-8050.0
1987-07-25,36686.0,-3960.0
1987-08-01,36249.0,-437.0
1987-08-08,35976.0,-273.0
1987-08-15,34375.0,-1601.0
1987-08-22,33025.0,-1350.0
1987-08-29,31594.0,-1431.0
1987-09-05,31441.0,-153.0
1987-09-12,30765.0,-676.0
1987-09-19,29994.0,-771.0
1987-09-26,28461.0,-1533.0
1987-10-03,28927.0,466.0
1987-10-17,29017.0,90.0
1987-10-24,28752.0,-265.0
1987-10-31,30311.0,1559.0
1987-11-07,29550.0,-761.0
1987-11-14,31380.0,1830.0
1987-11-21,28439.0,-2941.0
1987-11-28,38960.0,10521.0
1987-12-05,37516.0,-1444.0
1987-12-12,36780.0,-736.0
1987-12-19,37349.0,569.0
1987-12-26,49434.0,12085.0
1988-01-02,69387.0,19953.0
1988-01-09,67946.0,-1441.0
1988-01-16,56309.0,-11637.0
1988-01-23,53805.0,-2504.0
1988-01-30,52551.0,-1254.0
1988-02-06,51848.0,-703.0
1988-02-13,49225.0,-2623.0
1988-02-20,51955.0,2730.0
1988-02-27,48481.0,-3474.0
1988-03-05,47416.0,-1065.0
1988-03-12,46458.0,-958.0
1988-03-19,43548.0,-2910.0
1988-03-26,39913.0,-3635.0
1988-04-02,40673.0,760.0
1988-04-09,39819.0,-854.0
1988-04-16,38689.0,-1130.0
1988-04-23,35584.0,-3105.0
1988-04-30,34206.0,-1378.0
1988-05-07,33085.0,-1121.0
1988-05-14,33311.0,226.0
1988-05-21,32394.0,-917.0
1988-05-28,32183.0,-211.0
1988-06-04,32378.0,195.0
1988-06-11,33100.0,722.0
1988-06-18,32879.0,-221.0
1988-06-25,33709.0,830.0
1988-07-02,34237.0,528.0
1988-07-09,49253.0,15016.0
1988-07-16,44765.0,-4488.0
1988-07-23,38879.0,-5886.0
1988-07-30,37460.0,-1419.0
1988-08-06,37637.0,177.0
1988-08-13,36181.0,-1456.0
1988-08-20,35540.0,-641.0
1988-08-27,34036.0,-1504.0
1988-09-03,31809.0,-2227.0
1988-09-10,35071.0,3262.0
1988-09-17,32518.0,-2553.0
1988-09-24,31194.0,-1324.0
1988-10-01,30709.0,-485.0
1988-10-08,30401.0,-308.0
1988-10-15,32067.0,1666.0
1988-10-22,31916.0,-151.0
1988-10-29,32189.0,273.0
1988-11-05,32131.0,-58.0
1988-11-12,35168.0,3037.0
1988-11-19,31324.0,-3844.0
1988-11-26,40881.0,9557.0
1988-12-03,38146.0,-2735.0
1988-12-10,40763.0,2617.0
1988-12-17,38041.0,-2722.0
1988-12-24,44981.0,6940.0
1988-12-31,61669.0,16688.0
1989-01-07,68192.0,6523.0
1989-01-14,52185.0,-16007.0
1989-01-21,52341.0,156.0
1989-01-28,50032.0,-2309.0
1989-02-04,50582.0,550.0
1989-02-11,47078.0,-3504.0
1989-02-18,55041.0,7963.0
1989-02-25,52674.0,-2367.0
1989-03-04,50087.0,-2587.0
1989-03-11,47548.0,-2539.0
1989-03-18,41451.0,-6097.0
1989-03-25,44023.0,2572.0
1989-04-01,39667.0,-4356.0
1989-04-08,41430.0,1763.0
1989-04-15,37455.0,-3975.0
1989-04-22,35196.0,-2259.0
1989-04-29,34505.0,-691.0
1989-05-06,35037.0,532.0
1989-05-13,33800.0,-1237.0
1989-05-20,32678.0,-1122.0
1989-05-27,31314.0,-1364.0
1989-06-03,35632.0,4318.0
1989-06-10,35145.0,-487.0
1989-06-17,35311.0,166.0
1989-06-24,35588.0,277.0
1989-07-01,35194.0,-394.0
1989-07-08,55318.0,20124.0
1989-07-15,49626.0,-5692.0
1989-07-22,38112.0,-11514.0
1989-07-29,37550.0,-562.0
1989-08-05,39297.0,1747.0
1989-08-12,38468.0,-829.0
1989-08-19,36838.0,-1630.0
1989-08-26,32746.0,-4092.0
1989-09-02,34098.0,1352.0
1989-09-09,35394.0,1296.0
1989-09-16,33582.0,-1812.0
1989-09-23,32409.0,-1173.0
1989-09-30,34929.0,2520.0
1989-10-07,33453.0,-1476.0
1989-10-14,34468.0,1015.0
1989-10-21,35315.0,847.0
1989-10-28,36063.0,748.0
1989-11-04,35166.0,-897.0
1989-11-11,38710.0,3544.0
1989-11-18,33922.0,-4788.0
1989-11-25,46767.0,12845.0
1989-12-02,46278.0,-489.0
1989-12-09,43870.0,-2408.0
1989-12-16,47469.0,3599.0
1989-12-23,53425.0,5956.0
1989-12-30,71244.0,17819.0
1990-01-06,74562.0,3318.0
1990-01-13,75948.0,1386.0
1990-01-20,63255.0,-12693.0
1990-01-27,60905.0,-2350.0
1990-02-03,59959.0,-946.0
1990-02-10,59319.0,-640.0
1990-02-17,58165.0,-1154.0
1990-02-24,60148.0,1983.0
1990-03-03,57807.0,-2341.0
1990-03-10,54257.0,-3550.0
1990-03-17,51849.0,-2408.0
1990-03-24,51254.0,-595.0
