Date,Values,Delta Calculations
1987-01-03,19705.0, 
1987-01-10,40877.0,21172.0
1987-01-17,18966.0,-21911.0
1987-01-24,8046.0,-10920.0
1987-01-31,12280.0,4234.0
1987-02-07,12280.0,0.0
1987-02-14,9267.0,-3013.0
1987-02-21,6302.0,-2965.0
1987-02-28,8379.0,2077.0
1987-03-07,7487.0,-892.0
1987-03-14,6133.0,-1354.0
1987-03-21,5739.0,-394.0
1987-03-28,5408.0,-331.0
1987-04-04,7828.0,2420.0
1987-04-11,8505.0,677.0
1987-04-18,6328.0,-2177.0
1987-04-25,8055.0,1727.0
1987-05-02,5644.0,-2411.0
1987-05-09,5586.0,-58.0
1987-05-16,5696.0,110.0
1987-05-23,5196.0,-500.0
1987-05-30,5176.0,-20.0
1987-06-06,6604.0,1428.0
1987-06-13,6646.0,42.0
1987-06-20,5333.0,-1313.0
1987-06-27,5456.0,123.0
1987-07-04,5518.0,62.0
1987-07-11,19167.0,13649.0
1987-07-18,20043.0,876.0
1987-07-25,9297.0,-10746.0
1987-08-01,5487.0,-3810.0
1987-08-08,5929.0,442.0
1987-08-15,5545.0,-384.0
1987-08-22,5780.0,235.0
1987-08-29,4836.0,-944.0
1987-09-05,5198.0,362.0
1987-09-12,4287.0,-911.0
1987-09-19,5169.0,882.0
1987-09-26,4207.0,-962.0
1987-10-03,4503.0,296.0
1987-10-10,5532.0,1029.0
1987-10-24,4867.0,-665.0
1987-10-31,5162.0,295.0
1987-11-07,7348.0,2186.0
1987-11-14,5902.0,-1446.0
1987-11-21,6346.0,444.0
1987-11-28,4992.0,-1354.0
1987-12-05,11720.0,6728.0
1987-12-12,8938.0,-2782.0
1987-12-19,7222.0,-1716.0
1987-12-26,9775.0,2553.0
1988-01-02,19798.0,10023.0
1988-01-09,30124.0,10326.0
1988-01-16,28750.0,-1374.0
1988-01-23,14795.0,-13955.0
1988-01-30,10177.0,-4618.0
1988-02-06,8234.0,-1943.0
1988-02-13,6795.0,-1439.0
1988-02-20,6528.0,-267.0
1988-02-27,6134.0,-394.0
1988-03-05,5997.0,-137.0
1988-03-12,5563.0,-434.0
1988-03-19,6037.0,474.0
1988-03-26,5424.0,-613.0
1988-04-02,4303.0,-1121.0
1988-04-09,7428.0,3125.0
1988-04-16,7226.0,-202.0
1988-04-23,5968.0,-1258.0
1988-04-30,4632.0,-1336.0
1988-05-07,5289.0,657.0
1988-05-14,4731.0,-558.0
1988-05-21,4618.0,-113.0
1988-05-28,5670.0,1052.0
1988-06-04,5567.0,-103.0
1988-06-11,5725.0,158.0
1988-06-18,5354.0,-371.0
1988-06-25,5401.0,47.0
1988-07-02,5613.0,212.0
1988-07-09,8632.0,3019.0
1988-07-16,23114.0,14482.0
1988-07-23,15822.0,-7292.0
1988-07-30,8107.0,-7715.0
1988-08-06,7275.0,-832.0
1988-08-13,7091.0,-184.0
1988-08-20,5987.0,-1104.0
1988-08-27,5673.0,-314.0
1988-09-03,5252.0,-421.0
1988-09-10,4325.0,-927.0
1988-09-17,7407.0,3082.0
1988-09-24,5062.0,-2345.0
1988-10-01,4602.0,-460.0
1988-10-08,5831.0,1229.0
1988-10-15,5316.0,-515.0
1988-10-22,5691.0,375.0
1988-10-29,6387.0,696.0
1988-11-05,7346.0,959.0
1988-11-12,5896.0,-1450.0
1988-11-19,7503.0,1607.0
1988-11-26,4951.0,-2552.0
1988-12-03,9931.0,4980.0
1988-12-10,9381.0,-550.0
1988-12-17,7696.0,-1685.0
1988-12-24,6090.0,-1606.0
1988-12-31,12823.0,6733.0
1989-01-07,29090.0,16267.0
1989-01-14,29932.0,842.0
1989-01-21,10869.0,-19063.0
1989-01-28,7991.0,-2878.0
1989-02-04,7062.0,-929.0
1989-02-11,7546.0,484.0
1989-02-18,7140.0,-406.0
1989-02-25,7838.0,698.0
1989-03-04,7403.0,-435.0
1989-03-11,6131.0,-1272.0
1989-03-18,4670.0,-1461.0
1989-03-25,4365.0,-305.0
1989-04-01,6390.0,2025.0
1989-04-08,7459.0,1069.0
1989-04-15,8244.0,785.0
1989-04-22,4595.0,-3649.0
1989-04-29,3960.0,-635.0
1989-05-06,5880.0,1920.0
1989-05-13,6126.0,246.0
1989-05-20,5719.0,-407.0
1989-05-27,5141.0,-578.0
1989-06-03,5432.0,291.0
1989-06-10,8294.0,2862.0
1989-06-17,6445.0,-1849.0
1989-06-24,6475.0,30.0
1989-07-01,6336.0,-139.0
1989-07-08,9145.0,2809.0
1989-07-15,26333.0,17188.0
1989-07-22,18302.0,-8031.0
1989-07-29,7739.0,-10563.0
1989-08-05,7187.0,-552.0
1989-08-12,9045.0,1858.0
1989-08-19,7641.0,-1404.0
1989-08-26,6792.0,-849.0
1989-09-02,5351.0,-1441.0
1989-09-09,4956.0,-395.0
1989-09-16,6625.0,1669.0
1989-09-23,5704.0,-921.0
1989-09-30,5750.0,46.0
1989-10-07,8592.0,2842.0
1989-10-14,5363.0,-3229.0
1989-10-21,5734.0,371.0
1989-10-28,6019.0,285.0
1989-11-04,6997.0,978.0
1989-11-11,6884.0,-113.0
1989-11-18,8323.0,1439.0
1989-11-25,6278.0,-2045.0
