Date,Values,Delta Calculations
1973-01-03,108.259, 
1973-01-10,108.31,0.05100000000000193
1973-01-17,108.317,0.007000000000005002
1973-01-24,108.269,-0.04800000000001603
1973-01-31,107.829,-0.4399999999999977
1973-02-07,107.531,-0.2979999999999876
1973-02-14,107.087,-0.4440000000000026
1973-02-21,101.331,-5.756
1973-02-28,100.557,-0.7740000000000009
1973-03-07,99.761,-0.7959999999999923
1973-03-14,99.36,-0.40100000000001046
1973-03-21,100.05,0.6899999999999977
1973-03-28,100.455,0.40500000000000114
1973-04-04,100.795,0.3400000000000034
1973-04-11,100.711,-0.08400000000000318
1973-04-18,100.774,0.06300000000000239
1973-04-25,100.885,0.1110000000000042
1973-05-02,100.948,0.06299999999998818
1973-05-09,100.897,-0.05099999999998772
1973-05-16,100.149,-0.7480000000000047
1973-05-23,99.528,-0.6210000000000093
1973-05-30,99.435,-0.09299999999998931
1973-06-06,98.374,-1.061000000000007
1973-06-13,98.601,0.22700000000000387
1973-06-20,98.316,-0.2849999999999966
1973-06-27,97.895,-0.4210000000000065
1973-07-04,96.757,-1.137999999999991
1973-07-11,95.978,-0.7790000000000106
1973-07-18,96.418,0.4399999999999977
1973-07-25,96.25,-0.16799999999999216
1973-08-01,96.298,0.04799999999998761
1973-08-08,96.782,0.4840000000000231
1973-08-15,97.707,0.9249999999999972
1973-08-22,98.167,0.45999999999999375
1973-08-29,98.211,0.04399999999999693
1973-09-05,98.173,-0.038000000000010914
1973-09-12,98.155,-0.01799999999998647
1973-09-19,97.976,-0.17900000000000205
1973-09-26,97.608,-0.3680000000000092
1973-10-03,97.716,0.1080000000000183
1973-10-10,97.715,-0.0010000000000047748
1973-10-17,97.35,-0.3650000000000091
1973-10-24,97.136,-0.21399999999998442
1973-10-31,97.569,0.4329999999999927
1973-11-07,98.696,1.1269999999999953
1973-11-14,100.257,1.561000000000007
1973-11-21,100.614,0.3569999999999851
1973-11-28,101.487,0.8730000000000189
1973-12-05,101.581,0.09399999999999409
1973-12-12,101.792,0.21099999999999852
1973-12-19,101.952,0.1600000000000108
1973-12-26,102.081,0.12899999999999068
1974-01-02,102.517,0.43600000000000705
1974-01-09,104.996,2.478999999999999
1974-01-16,105.787,0.7909999999999968
1974-01-23,106.956,1.168999999999997
1974-01-30,106.357,-0.5989999999999895
1974-02-06,104.945,-1.4120000000000203
1974-02-13,104.53,-0.41499999999999204
1974-02-20,103.385,-1.144999999999996
1974-02-27,102.156,-1.2289999999999992
1974-03-06,102.725,0.5689999999999884
1974-03-13,101.964,-0.7609999999999957
1974-03-20,101.539,-0.42499999999999716
1974-03-27,100.134,-1.4050000000000011
1974-04-03,99.885,-0.24899999999999523
1974-04-10,100.417,0.5319999999999965
