Date,Values,Delta Calculations
1987-01-03,14289.0, 
1987-01-10,27361.0,13072.0
1987-01-17,24948.0,-2413.0
1987-01-24,22378.0,-2570.0
1987-01-31,20918.0,-1460.0
1987-02-07,22219.0,1301.0
1987-02-14,20251.0,-1968.0
1987-02-21,16532.0,-3719.0
1987-02-28,21032.0,4500.0
1987-03-07,19841.0,-1191.0
1987-03-14,18433.0,-1408.0
1987-03-21,18973.0,540.0
1987-03-28,16604.0,-2369.0
1987-04-04,17786.0,1182.0
1987-04-11,17607.0,-179.0
1987-04-18,16211.0,-1396.0
1987-04-25,14790.0,-1421.0
1987-05-02,18319.0,3529.0
1987-05-09,16013.0,-2306.0
1987-05-16,16881.0,868.0
1987-05-23,16423.0,-458.0
1987-05-30,12980.0,-3443.0
1987-06-06,17079.0,4099.0
1987-06-13,16546.0,-533.0
1987-06-20,15665.0,-881.0
1987-06-27,14460.0,-1205.0
1987-07-04,17071.0,2611.0
1987-07-11,16240.0,-831.0
1987-07-18,15035.0,-1205.0
1987-07-25,14917.0,-118.0
1987-08-01,13795.0,-1122.0
1987-08-08,15043.0,1248.0
1987-08-15,14350.0,-693.0
1987-08-22,14932.0,582.0
1987-08-29,13456.0,-1476.0
1987-09-05,14238.0,782.0
1987-09-12,11555.0,-2683.0
1987-09-19,14945.0,3390.0
1987-09-26,14211.0,-734.0
1987-10-03,14782.0,571.0
1987-10-10,19150.0,4368.0
1987-10-17,14921.0,-4229.0
1987-10-24,14782.0,-139.0
1987-10-31,15412.0,630.0
1987-11-07,15335.0,-77.0
1987-11-14,13748.0,-1587.0
1987-11-21,18982.0,5234.0
1987-11-28,11566.0,-7416.0
1987-12-05,17941.0,6375.0
1987-12-12,16945.0,-996.0
1987-12-19,15226.0,-1719.0
1987-12-26,12411.0,-2815.0
1988-01-02,15434.0,3023.0
1988-01-09,18091.0,2657.0
1988-01-16,20619.0,2528.0
1988-01-23,18791.0,-1828.0
1988-01-30,17233.0,-1558.0
1988-02-13,16818.0,-415.0
1988-02-20,13486.0,-3332.0
1988-02-27,16830.0,3344.0
1988-03-05,14801.0,-2029.0
1988-03-12,15755.0,954.0
1988-03-19,14355.0,-1400.0
1988-03-26,13407.0,-948.0
1988-04-02,11977.0,-1430.0
1988-04-09,14437.0,2460.0
1988-04-16,13644.0,-793.0
1988-04-23,13066.0,-578.0
1988-04-30,12471.0,-595.0
1988-05-07,13535.0,1064.0
1988-05-14,12832.0,-703.0
1988-05-21,12826.0,-6.0
1988-05-28,13382.0,556.0
1988-06-04,10512.0,-2870.0
1988-06-11,13816.0,3304.0
1988-06-18,12968.0,-848.0
1988-06-25,12483.0,-485.0
1988-07-02,13821.0,1338.0
1988-07-09,12789.0,-1032.0
1988-07-16,15980.0,3191.0
1988-07-23,14149.0,-1831.0
1988-07-30,13451.0,-698.0
1988-08-06,13449.0,-2.0
1988-08-13,13395.0,-54.0
1988-08-20,12552.0,-843.0
1988-08-27,13354.0,802.0
1988-09-03,13185.0,-169.0
1988-09-10,12331.0,-854.0
1988-09-17,14421.0,2090.0
1988-09-24,12741.0,-1680.0
1988-10-01,12983.0,242.0
1988-10-08,14474.0,1491.0
1988-10-15,14448.0,-26.0
1988-10-22,14405.0,-43.0
1988-10-29,14175.0,-230.0
1988-11-05,14867.0,692.0
1988-11-12,12777.0,-2090.0
1988-11-19,17058.0,4281.0
1988-11-26,10798.0,-6260.0
1988-12-03,16868.0,6070.0
1988-12-10,16072.0,-796.0
1988-12-17,14087.0,-1985.0
1988-12-24,16871.0,2784.0
1988-12-31,10713.0,-6158.0
1989-01-07,15112.0,4399.0
1989-01-14,19089.0,3977.0
1989-01-21,16064.0,-3025.0
1989-01-28,16287.0,223.0
1989-02-04,15416.0,-871.0
1989-02-11,14069.0,-1347.0
1989-02-18,15130.0,1061.0
1989-02-25,12255.0,-2875.0
1989-03-04,13996.0,1741.0
1989-03-11,13393.0,-603.0
1989-03-18,12927.0,-466.0
1989-03-25,11966.0,-961.0
1989-04-01,10630.0,-1336.0
1989-04-08,13145.0,2515.0
1989-04-15,13066.0,-79.0
1989-04-22,12403.0,-663.0
1989-04-29,11419.0,-984.0
1989-05-06,9421.0,-1998.0
1989-05-13,13898.0,4477.0
1989-05-20,11824.0,-2074.0
1989-05-27,11703.0,-121.0
1989-06-03,10498.0,-1205.0
1989-06-10,13329.0,2831.0
1989-06-17,12965.0,-364.0
1989-06-24,12532.0,-433.0
1989-07-01,12206.0,-326.0
1989-07-08,10425.0,-1781.0
1989-07-15,16031.0,5606.0
1989-07-22,14896.0,-1135.0
1989-07-29,13705.0,-1191.0
1989-08-05,12575.0,-1130.0
1989-08-12,13178.0,603.0
1989-08-19,12463.0,-715.0
1989-08-26,12164.0,-299.0
1989-09-02,12900.0,736.0
1989-09-09,11035.0,-1865.0
1989-09-16,15253.0,4218.0
1989-09-23,14172.0,-1081.0
1989-09-30,12643.0,-1529.0
1989-10-07,14274.0,1631.0
1989-10-14,14139.0,-135.0
1989-10-21,15819.0,1680.0
1989-10-28,15154.0,-665.0
1989-11-04,14172.0,-982.0
1989-11-11,14887.0,715.0
1989-11-18,15604.0,717.0
1989-11-25,15351.0,-253.0
1989-12-02,15356.0,5.0
1989-12-09,16645.0,1289.0
1989-12-16,15977.0,-668.0
1989-12-23,16655.0,678.0
1989-12-30,15718.0,-937.0
1990-01-06,11870.0,-3848.0
1990-01-13,18406.0,6536.0
1990-01-20,19937.0,1531.0
1990-01-27,17739.0,-2198.0
1990-02-03,17507.0,-232.0
1990-02-10,18883.0,1376.0
1990-02-17,15738.0,-3145.0
1990-02-24,13824.0,-1914.0
1990-03-03,14469.0,645.0
1990-03-10,15189.0,720.0
1990-03-17,15531.0,342.0
1990-03-24,13951.0,-1580.0
1990-03-31,12749.0,-1202.0
1990-04-07,13153.0,404.0
1990-04-14,13640.0,487.0
1990-04-21,12018.0,-1622.0
1990-04-28,13033.0,1015.0
1990-05-05,11655.0,-1378.0
1990-05-12,12262.0,607.0
1990-05-19,11529.0,-733.0
1990-05-26,13176.0,1647.0
1990-06-02,10539.0,-2637.0
1990-06-09,12152.0,1613.0
1990-06-16,12952.0,800.0
1990-06-23,12177.0,-775.0
1990-06-30,13041.0,864.0
1990-07-07,12663.0,-378.0
1990-07-14,13145.0,482.0
1990-07-21,13703.0,558.0
1990-07-28,12638.0,-1065.0
1990-08-04,13393.0,755.0
1990-08-11,13804.0,411.0
1990-08-18,12384.0,-1420.0
1990-08-25,12683.0,299.0
1990-09-01,11841.0,-842.0
1990-09-08,12049.0,208.0
1990-09-15,12458.0,409.0
1990-09-22,12462.0,4.0
1990-09-29,12704.0,242.0
1990-10-06,13159.0,455.0
1990-10-13,14376.0,1217.0
1990-10-20,15693.0,1317.0
1990-10-27,16097.0,404.0
1990-11-03,14796.0,-1301.0
1990-11-10,16283.0,1487.0
1990-11-17,17371.0,1088.0
1990-11-24,14866.0,-2505.0
1990-12-01,15546.0,680.0
1990-12-08,18412.0,2866.0
1990-12-15,17432.0,-980.0
1990-12-22,18562.0,1130.0
1990-12-29,11082.0,-7480.0
1991-01-05,11782.0,700.0
1991-01-12,22051.0,10269.0
1991-01-19,24492.0,2441.0
1991-01-26,19418.0,-5074.0
1991-02-02,18052.0,-1366.0
1991-02-09,18674.0,622.0
1991-02-16,16723.0,-1951.0
1991-02-23,15976.0,-747.0
1991-03-02,14043.0,-1933.0
1991-03-09,14807.0,764.0
1991-03-16,13843.0,-964.0
1991-03-23,14403.0,560.0
1991-03-30,15344.0,941.0
1991-04-06,11788.0,-3556.0
1991-04-13,14622.0,2834.0
1991-04-20,15738.0,1116.0
1991-04-27,13910.0,-1828.0
1991-05-04,13347.0,-563.0
1991-05-11,14129.0,782.0
1991-05-18,13805.0,-324.0
1991-05-25,14225.0,420.0
1991-06-01,11074.0,-3151.0
1991-06-08,15073.0,3999.0
1991-06-15,15187.0,114.0
1991-06-22,14069.0,-1118.0
1991-06-29,13778.0,-291.0
1991-07-06,14777.0,999.0
1991-07-13,18181.0,3404.0
1991-07-20,15012.0,-3169.0
1991-07-27,14665.0,-347.0
1991-08-03,14537.0,-128.0
1991-08-10,16731.0,2194.0
1991-08-17,13868.0,-2863.0
1991-08-24,14055.0,187.0
1991-08-31,14076.0,21.0
1991-09-07,12282.0,-1794.0
1991-09-14,14718.0,2436.0
1991-09-21,15109.0,391.0
1991-09-28,15642.0,533.0
1991-10-05,14954.0,-688.0
1991-10-12,21212.0,6258.0
1991-10-19,16646.0,-4566.0
1991-10-26,16212.0,-434.0
1991-11-02,18027.0,1815.0
1991-11-09,18110.0,83.0
1991-11-16,16573.0,-1537.0
1991-11-23,19122.0,2549.0
1991-11-30,16140.0,-2982.0
1991-12-07,13300.0,-2840.0
1991-12-14,20902.0,7602.0
1991-12-21,20286.0,-616.0
1991-12-28,15748.0,-4538.0
1992-01-04,15652.0,-96.0
1992-01-11,23742.0,8090.0
1992-01-18,18579.0,-5163.0
1992-01-25,21569.0,2990.0
1992-02-01,21230.0,-339.0
1992-02-08,17825.0,-3405.0
1992-02-15,21928.0,4103.0
1992-02-22,15357.0,-6571.0
1992-02-29,20048.0,4691.0
1992-03-07,16114.0,-3934.0
1992-03-14,16833.0,719.0
1992-03-21,19687.0,2854.0
1992-03-28,16041.0,-3646.0
1992-04-04,16228.0,187.0
1992-04-11,17068.0,840.0
1992-04-18,19557.0,2489.0
1992-04-25,15216.0,-4341.0
1992-05-02,17090.0,1874.0
1992-05-09,16242.0,-848.0
1992-05-16,14921.0,-1321.0
1992-05-23,16304.0,1383.0
1992-05-30,15350.0,-954.0
1992-06-06,16810.0,1460.0
1992-06-13,17691.0,881.0
1992-06-20,16819.0,-872.0
1992-06-27,15367.0,-1452.0
1992-07-04,16513.0,1146.0
1992-07-11,16170.0,-343.0
1992-07-18,17195.0,1025.0
1992-07-25,16556.0,-639.0
1992-08-01,15374.0,-1182.0
1992-08-08,17347.0,1973.0
1992-08-15,15175.0,-2172.0
1992-08-22,15203.0,28.0
1992-08-29,14742.0,-461.0
1992-09-05,14955.0,213.0
1992-09-12,13377.0,-1578.0
1992-09-19,13871.0,494.0
1992-09-26,14712.0,841.0
1992-10-03,14359.0,-353.0
1992-10-10,16609.0,2250.0
1992-10-17,15943.0,-666.0
1992-10-24,15451.0,-492.0
1992-10-31,15594.0,143.0
1992-11-07,17023.0,1429.0
1992-11-14,15268.0,-1755.0
1992-11-21,17546.0,2278.0
1992-11-28,14137.0,-3409.0
1992-12-05,17985.0,3848.0
1992-12-12,18926.0,941.0
1992-12-19,17129.0,-1797.0
1992-12-26,15677.0,-1452.0
1993-01-02,14860.0,-817.0
1993-01-09,18223.0,3363.0
1993-01-16,22026.0,3803.0
1993-01-23,16978.0,-5048.0
1993-01-30,18267.0,1289.0
1993-02-06,16269.0,-1998.0
1993-02-13,13582.0,-2687.0
1993-02-20,17238.0,3656.0
1993-02-27,14993.0,-2245.0
1993-03-06,14477.0,-516.0
1993-03-13,14610.0,133.0
1993-03-20,14751.0,141.0
1993-03-27,14352.0,-399.0
