Date,Values,Delta Calculations
2002-12-18,9161.0, 
2002-12-25,9909.0,748.0
2003-01-01,9356.0,-553.0
2003-01-08,9914.0,558.0
2003-01-15,9942.0,28.0
2003-01-22,10442.0,500.0
2003-01-29,10831.0,389.0
2003-02-05,10850.0,19.0
2003-02-12,11276.0,426.0
2003-02-19,7821.0,-3455.0
2003-02-26,8223.0,402.0
2003-03-05,8291.0,68.0
2003-03-12,8618.0,327.0
2003-03-19,8994.0,376.0
2003-03-26,9434.0,440.0
2003-04-02,9349.0,-85.0
2003-04-09,9815.0,466.0
2003-04-16,9974.0,159.0
2003-04-23,10450.0,476.0
2003-04-30,10314.0,-136.0
2003-05-07,10760.0,446.0
2003-05-14,11156.0,396.0
2003-05-21,7568.0,-3588.0
2003-05-28,7973.0,405.0
2003-06-04,8014.0,41.0
2003-06-11,8437.0,423.0
2003-06-18,8794.0,357.0
2003-06-25,9231.0,437.0
2003-07-02,9185.0,-46.0
2003-07-09,9658.0,473.0
2003-07-16,9696.0,38.0
2003-07-23,10131.0,435.0
2003-07-30,10540.0,409.0
2003-08-06,10617.0,77.0
2003-08-13,10972.0,355.0
2003-08-20,7479.0,-3493.0
2003-08-27,7881.0,402.0
2003-09-03,7905.0,24.0
2003-09-10,8302.0,397.0
2003-09-17,8660.0,358.0
2003-09-24,9061.0,401.0
2003-10-01,9159.0,98.0
2003-10-08,9586.0,427.0
2003-10-15,9613.0,27.0
2003-10-22,10005.0,392.0
2003-10-29,10423.0,418.0
2003-11-05,10490.0,67.0
2003-11-12,10909.0,419.0
2003-11-19,7326.0,-3583.0
2003-11-26,7834.0,508.0
2003-12-03,7828.0,-6.0
2003-12-10,8221.0,393.0
2003-12-17,8581.0,360.0
2003-12-24,8937.0,356.0
2003-12-31,8920.0,-17.0
2004-01-07,9382.0,462.0
2004-01-14,9854.0,472.0
2004-01-21,9715.0,-139.0
2004-01-28,10099.0,384.0
2004-02-04,10236.0,137.0
2004-02-11,10725.0,489.0
2004-02-18,7255.0,-3470.0
2004-02-25,7598.0,343.0
2004-03-03,7643.0,45.0
2004-03-10,8047.0,404.0
