Date,Values,Delta Calculations
2002-12-18,678744.0, 
2002-12-25,685083.0,6339.0
2003-01-01,687516.0,2433.0
2003-01-08,680307.0,-7209.0
2003-01-15,676076.0,-4231.0
2003-01-22,676437.0,361.0
2003-01-29,675733.0,-704.0
2003-02-05,677992.0,2259.0
2003-02-12,681216.0,3224.0
2003-02-19,684226.0,3010.0
2003-02-26,682915.0,-1311.0
2003-03-05,683678.0,763.0
2003-03-12,684423.0,745.0
2003-03-19,685238.0,815.0
2003-03-26,686257.0,1019.0
2003-04-02,687717.0,1460.0
2003-04-09,688495.0,778.0
2003-04-16,688943.0,448.0
2003-04-23,688502.0,-441.0
2003-04-30,688760.0,258.0
2003-05-07,690783.0,2023.0
2003-05-14,690993.0,210.0
2003-05-21,691948.0,955.0
2003-05-28,694835.0,2887.0
2003-06-04,693763.0,-1072.0
2003-06-11,693081.0,-682.0
2003-06-18,692525.0,-556.0
2003-06-25,692710.0,185.0
2003-07-02,698314.0,5604.0
2003-07-09,697413.0,-901.0
2003-07-16,694752.0,-2661.0
2003-07-23,693632.0,-1120.0
2003-07-30,694586.0,954.0
2003-08-06,696134.0,1548.0
2003-08-13,695939.0,-195.0
2003-08-20,695686.0,-253.0
2003-08-27,697414.0,1728.0
2003-09-03,701257.0,3843.0
2003-09-10,698125.0,-3132.0
2003-09-17,697002.0,-1123.0
2003-09-24,697392.0,390.0
2003-10-01,698893.0,1501.0
2003-10-08,701263.0,2370.0
2003-10-15,704155.0,2892.0
2003-10-22,703299.0,-856.0
2003-10-29,703460.0,161.0
2003-11-05,704958.0,1498.0
2003-11-12,708550.0,3592.0
2003-11-19,707697.0,-853.0
2003-11-26,713334.0,5637.0
2003-12-03,713721.0,387.0
2003-12-10,712893.0,-828.0
2003-12-17,716023.0,3130.0
2003-12-24,723149.0,7126.0
2003-12-31,724187.0,1038.0
2004-01-07,717835.0,-6352.0
2004-01-14,711868.0,-5967.0
2004-01-21,711034.0,-834.0
2004-01-28,710647.0,-387.0
2004-02-04,712658.0,2011.0
2004-02-11,714651.0,1993.0
2004-02-18,716651.0,2000.0
2004-02-25,714588.0,-2063.0
2004-03-03,714703.0,115.0
2004-03-10,714980.0,277.0
2004-03-17,715537.0,557.0
2004-03-24,715004.0,-533.0
2004-03-31,716136.0,1132.0
2004-04-07,718371.0,2235.0
2004-04-14,718889.0,518.0
2004-04-21,717181.0,-1708.0
2004-04-28,718687.0,1506.0
2004-05-05,720363.0,1676.0
2004-05-12,720828.0,465.0
2004-05-19,721425.0,597.0
2004-05-26,723891.0,2466.0
2004-06-02,728238.0,4347.0
2004-06-09,726837.0,-1401.0
2004-06-16,725540.0,-1297.0
2004-06-23,727961.0,2421.0
