Date,Values,Delta Calculations
2002-12-18,1802.0, 
2002-12-25,2516.0,714.0
2003-01-01,0.0,-2516.0
2003-01-08,426.0,426.0
2003-01-15,528.0,102.0
2003-01-22,565.0,37.0
2003-01-29,552.0,-13.0
2003-02-05,260.0,-292.0
2003-02-12,227.0,-33.0
2003-02-19,603.0,376.0
2003-02-26,603.0,0.0
2003-03-05,584.0,-19.0
2003-03-12,589.0,5.0
2003-03-19,132.0,-457.0
2003-03-26,480.0,348.0
2003-04-02,609.0,129.0
2003-04-09,452.0,-157.0
2003-04-16,729.0,277.0
2003-04-23,623.0,-106.0
2003-04-30,854.0,231.0
2003-05-07,871.0,17.0
2003-05-14,772.0,-99.0
2003-05-21,722.0,-50.0
2003-05-28,537.0,-185.0
2003-06-04,566.0,29.0
2003-06-11,728.0,162.0
2003-06-18,574.0,-154.0
2003-06-25,601.0,27.0
2003-07-02,496.0,-105.0
2003-07-09,529.0,33.0
2003-07-16,529.0,0.0
2003-07-23,852.0,323.0
2003-07-30,513.0,-339.0
2003-08-06,646.0,133.0
2003-08-13,780.0,134.0
2003-08-20,617.0,-163.0
2003-08-27,580.0,-37.0
2003-09-03,752.0,172.0
2003-09-10,996.0,244.0
2003-09-17,885.0,-111.0
2003-09-24,1265.0,380.0
2003-10-01,1061.0,-204.0
2003-10-08,920.0,-141.0
2003-10-15,621.0,-299.0
2003-10-22,950.0,329.0
2003-10-29,681.0,-269.0
2003-11-05,475.0,-206.0
2003-11-12,968.0,493.0
2003-11-19,999.0,31.0
2003-11-26,860.0,-139.0
2003-12-03,961.0,101.0
2003-12-10,957.0,-4.0
2003-12-17,1117.0,160.0
2003-12-24,931.0,-186.0
2003-12-31,0.0,-931.0
2004-01-07,583.0,583.0
2004-01-14,419.0,-164.0
2004-01-21,170.0,-249.0
2004-01-28,502.0,332.0
2004-02-04,280.0,-222.0
2004-02-11,639.0,359.0
2004-02-18,332.0,-307.0
2004-02-25,84.0,-248.0
2004-03-03,72.0,-12.0
2004-03-10,334.0,262.0
2004-03-17,560.0,226.0
2004-03-24,631.0,71.0
2004-03-31,836.0,205.0
2004-04-07,466.0,-370.0
2004-04-14,296.0,-170.0
2004-04-21,429.0,133.0
2004-04-28,541.0,112.0
2004-05-05,963.0,422.0
2004-05-12,350.0,-613.0
2004-05-19,738.0,388.0
2004-05-26,862.0,124.0
2004-06-02,942.0,80.0
2004-06-09,695.0,-247.0
2004-06-16,702.0,7.0
2004-06-23,1018.0,316.0
2004-06-30,859.0,-159.0
2004-07-07,1087.0,228.0
2004-07-14,833.0,-254.0
2004-07-21,705.0,-128.0
2004-07-28,627.0,-78.0
2004-08-04,830.0,203.0
2004-08-11,1040.0,210.0
2004-08-18,1054.0,14.0
2004-08-25,678.0,-376.0
2004-09-01,993.0,315.0
2004-09-08,1017.0,24.0
2004-09-15,903.0,-114.0
2004-09-22,1117.0,214.0
2004-09-29,1068.0,-49.0
2004-10-06,1011.0,-57.0
2004-10-13,1217.0,206.0
2004-10-20,1598.0,381.0
2004-10-27,1385.0,-213.0
2004-11-03,1285.0,-100.0
2004-11-10,1419.0,134.0
2004-11-17,1588.0,169.0
2004-11-24,1765.0,177.0
2004-12-01,1815.0,50.0
2004-12-08,1771.0,-44.0
2004-12-15,2345.0,574.0
2004-12-22,2482.0,137.0
2004-12-29,2845.0,363.0
2005-01-05,109.0,-2736.0
2005-01-12,431.0,322.0
2005-01-19,231.0,-200.0
2005-01-26,420.0,189.0
2005-02-02,283.0,-137.0
2005-02-09,201.0,-82.0
2005-02-16,568.0,367.0
2005-02-23,668.0,100.0
2005-03-02,565.0,-103.0
2005-03-09,975.0,410.0
2005-03-16,966.0,-9.0
2005-03-23,542.0,-424.0
2005-03-30,714.0,172.0
2005-04-06,757.0,43.0
2005-04-13,1114.0,357.0
2005-04-20,1212.0,98.0
2005-04-27,1089.0,-123.0
2005-05-04,1200.0,111.0
2005-05-11,1110.0,-90.0
2005-05-18,1128.0,18.0
2005-05-25,1340.0,212.0
2005-06-01,1037.0,-303.0
2005-06-08,1548.0,511.0
2005-06-15,1152.0,-396.0
2005-06-22,1488.0,336.0
2005-06-29,1379.0,-109.0
2005-07-06,1194.0,-185.0
2005-07-13,1513.0,319.0
2005-07-20,1448.0,-65.0
2005-07-27,1701.0,253.0
2005-08-03,2083.0,382.0
2005-08-10,1977.0,-106.0
2005-08-17,2019.0,42.0
