Date,Values,Delta Calculations
1971-01-08,6.68, 
1971-01-15,6.43,-0.25
1971-01-22,5.96,-0.46999999999999975
1971-01-29,6.13,0.16999999999999993
1971-02-05,6.42,0.29000000000000004
1971-02-12,6.16,-0.2599999999999998
1971-02-19,5.76,-0.40000000000000036
1971-02-26,5.74,-0.019999999999999574
1971-03-05,5.68,-0.0600000000000005
1971-03-12,5.66,-0.019999999999999574
1971-03-19,5.67,0.009999999999999787
1971-03-26,5.71,0.040000000000000036
1971-04-02,5.88,0.16999999999999993
1971-04-09,6.19,0.3100000000000005
1971-04-16,6.39,0.1999999999999993
1971-04-23,6.24,-0.14999999999999947
1971-04-30,6.68,0.4399999999999995
1971-05-07,7.13,0.4500000000000002
1971-05-14,7.26,0.1299999999999999
1971-05-21,7.23,-0.02999999999999936
1971-05-28,7.24,0.009999999999999787
1971-06-04,7.66,0.41999999999999993
1971-06-11,7.33,-0.33000000000000007
1971-06-18,7.34,0.009999999999999787
1971-06-25,7.17,-0.16999999999999993
1971-07-02,7.13,-0.040000000000000036
1971-07-09,7.18,0.04999999999999982
1971-07-16,7.14,-0.040000000000000036
1971-07-23,6.89,-0.25
1971-07-30,7.19,0.3000000000000007
1971-08-06,7.41,0.21999999999999975
1971-08-13,7.85,0.4399999999999995
1971-08-20,8.5,0.6500000000000004
1971-08-27,8.46,-0.03999999999999915
1971-09-03,8.99,0.5299999999999994
1971-09-10,8.34,-0.6500000000000004
1971-09-17,8.16,-0.17999999999999972
1971-09-24,8.28,0.11999999999999922
1971-10-01,8.0,-0.27999999999999936
1971-10-08,7.21,-0.79
1971-10-15,6.86,-0.34999999999999964
1971-10-22,6.68,-0.1800000000000006
1971-10-29,6.15,-0.5299999999999994
1971-11-05,6.13,-0.020000000000000462
1971-11-12,6.07,-0.05999999999999961
1971-11-19,6.46,0.3899999999999997
1971-11-26,6.84,0.3799999999999999
1971-12-03,6.55,-0.29000000000000004
1971-12-10,6.64,0.08999999999999986
1971-12-17,6.49,-0.14999999999999947
1971-12-24,6.19,-0.2999999999999998
1971-12-31,6.08,-0.11000000000000032
1972-01-07,5.75,-0.33000000000000007
1972-01-14,5.74,-0.009999999999999787
1972-01-21,5.63,-0.11000000000000032
1972-01-28,5.49,-0.13999999999999968
1972-02-04,5.55,0.05999999999999961
1972-02-11,5.51,-0.040000000000000036
1972-02-18,5.55,0.040000000000000036
1972-02-25,5.51,-0.040000000000000036
1972-03-03,5.44,-0.0699999999999994
1972-03-10,5.38,-0.0600000000000005
1972-03-17,5.64,0.2599999999999998
1972-03-24,5.9,0.2600000000000007
1972-03-31,6.06,0.15999999999999925
1972-04-07,5.97,-0.08999999999999986
1972-04-14,5.98,0.010000000000000675
1972-04-21,5.86,-0.1200000000000001
1972-04-28,5.63,-0.23000000000000043
1972-05-05,5.54,-0.08999999999999986
1972-05-12,5.46,-0.08000000000000007
1972-05-19,5.36,-0.09999999999999964
1972-05-26,5.35,-0.010000000000000675
1972-06-02,5.26,-0.08999999999999986
1972-06-09,5.25,-0.009999999999999787
1972-06-16,5.23,-0.019999999999999574
1972-06-23,5.58,0.34999999999999964
1972-06-30,5.81,0.22999999999999954
1972-07-07,6.06,0.25
1972-07-14,6.1,0.040000000000000036
1972-07-21,6.24,0.14000000000000057
1972-07-28,6.13,-0.11000000000000032
1972-08-04,6.05,-0.08000000000000007
1972-08-11,6.0,-0.04999999999999982
1972-08-18,6.14,0.13999999999999968
1972-08-25,6.09,-0.04999999999999982
1972-09-01,6.16,0.07000000000000028
1972-09-08,6.23,0.07000000000000028
1972-09-15,6.19,-0.040000000000000036
1972-09-22,6.01,-0.1800000000000006
1972-09-29,6.15,0.14000000000000057
1972-10-06,6.2,0.04999999999999982
1972-10-13,6.22,0.019999999999999574
1972-10-20,6.25,0.03000000000000025
1972-10-27,6.23,-0.019999999999999574
1972-11-03,6.19,-0.040000000000000036
1972-11-10,6.13,-0.0600000000000005
1972-11-17,6.1,-0.03000000000000025
1972-11-24,5.96,-0.13999999999999968
1972-12-01,6.16,0.20000000000000018
1972-12-08,6.29,0.1299999999999999
1972-12-15,6.18,-0.11000000000000032
1972-12-22,6.21,0.03000000000000025
1972-12-29,6.17,-0.040000000000000036
1973-01-05,6.2,0.03000000000000025
1973-01-12,6.2,0.0
1973-01-19,6.29,0.08999999999999986
1973-01-26,6.44,0.15000000000000036
1973-02-02,6.83,0.3899999999999997
1973-02-09,7.15,0.3200000000000003
1973-02-16,7.14,-0.010000000000000675
1973-02-23,7.61,0.47000000000000064
1973-03-02,8.29,0.6799999999999988
1973-03-09,8.46,0.1700000000000017
1973-03-16,8.13,-0.33000000000000007
1973-03-23,8.35,0.21999999999999886
1973-03-30,8.64,0.2900000000000009
1973-04-06,8.54,-0.10000000000000142
1973-04-13,8.19,-0.34999999999999964
1973-04-20,8.06,-0.129999999999999
1973-04-27,8.4,0.33999999999999986
1973-05-04,8.45,0.049999999999998934
1973-05-11,8.59,0.14000000000000057
1973-05-18,8.69,0.09999999999999964
1973-05-25,8.73,0.040000000000000924
1973-06-01,8.73,0.0
1973-06-08,8.78,0.049999999999998934
1973-06-15,8.82,0.040000000000000924
1973-06-22,8.91,0.08999999999999986
1973-06-29,9.08,0.16999999999999993
1973-07-06,9.7,0.6199999999999992
1973-07-13,9.86,0.16000000000000014
1973-07-20,10.42,0.5600000000000005
1973-07-27,11.31,0.8900000000000006
1973-08-03,11.42,0.10999999999999943
1973-08-10,11.63,0.21000000000000085
1973-08-17,11.33,-0.3000000000000007
1973-08-24,11.43,0.09999999999999964
1973-08-31,11.54,0.10999999999999943
1973-09-07,11.51,-0.02999999999999936
1973-09-14,11.49,-0.019999999999999574
1973-09-21,11.25,-0.2400000000000002
1973-09-28,10.47,-0.7799999999999994
1973-10-05,10.1,-0.370000000000001
1973-10-12,10.03,-0.07000000000000028
1973-10-19,9.41,-0.6199999999999992
1973-10-26,8.95,-0.46000000000000085
1973-11-02,8.9,-0.049999999999998934
1973-11-09,9.19,0.28999999999999915
1973-11-16,9.49,0.3000000000000007
1973-11-23,9.83,0.33999999999999986
1973-11-30,10.24,0.41000000000000014
1973-12-07,10.23,-0.009999999999999787
1973-12-14,10.41,0.17999999999999972
1973-12-21,10.42,0.009999999999999787
1973-12-28,10.53,0.10999999999999943
1974-01-04,9.56,-0.9699999999999989
1974-01-11,9.35,-0.21000000000000085
1974-01-18,9.5,0.15000000000000036
1974-01-25,9.28,-0.22000000000000064
1974-02-01,8.95,-0.33000000000000007
1974-02-08,8.55,-0.3999999999999986
1974-02-15,8.32,-0.23000000000000043
1974-02-22,8.5,0.17999999999999972
1974-03-01,8.53,0.02999999999999936
1974-03-08,8.73,0.20000000000000107
1974-03-15,8.86,0.129999999999999
1974-03-22,9.39,0.5300000000000011
1974-03-29,10.1,0.7099999999999991
1974-04-05,9.85,-0.25
1974-04-12,10.28,0.4299999999999997
1974-04-19,10.36,0.08000000000000007
1974-04-26,10.96,0.6000000000000014
1974-05-03,11.24,0.27999999999999936
1974-05-10,11.51,0.2699999999999996
1974-05-17,11.74,0.23000000000000043
1974-05-24,11.81,0.07000000000000028
1974-05-31,11.81,0.0
1974-06-07,11.73,-0.08000000000000007
1974-06-14,11.45,-0.28000000000000114
1974-06-21,11.93,0.4800000000000004
1974-06-28,13.0,1.0700000000000003
1974-07-05,13.65,0.6500000000000004
1974-07-12,13.76,0.10999999999999943
1974-07-19,13.69,-0.07000000000000028
1974-07-26,12.85,-0.8399999999999999
1974-08-02,13.58,0.7300000000000004
1974-08-09,13.39,-0.1899999999999995
1974-08-16,13.45,0.05999999999999872
1974-08-23,13.68,0.23000000000000043
1974-08-30,14.09,0.41000000000000014
1974-09-06,13.84,-0.25
1974-09-13,13.13,-0.7099999999999991
1974-09-20,12.45,-0.6800000000000015
1974-09-27,11.85,-0.5999999999999996
1974-10-04,12.08,0.23000000000000043
1974-10-11,11.23,-0.8499999999999996
1974-10-18,10.96,-0.2699999999999996
1974-10-25,10.53,-0.4300000000000015
1974-11-01,10.13,-0.3999999999999986
1974-11-08,9.86,-0.27000000000000135
1974-11-15,9.86,0.0
1974-11-22,9.95,0.08999999999999986
1974-11-29,10.46,0.5100000000000016
1974-12-06,10.79,0.3299999999999983
1974-12-13,10.1,-0.6899999999999995
1974-12-20,10.11,0.009999999999999787
1974-12-27,10.08,-0.02999999999999936
1975-01-03,10.22,0.14000000000000057
1975-01-10,9.18,-1.040000000000001
1975-01-17,8.53,-0.6500000000000004
1975-01-24,8.1,-0.4299999999999997
1975-01-31,7.99,-0.10999999999999943
