Date,Values,Delta Calculations
2003-01-03,2.43, 
2003-01-10,2.4,-0.03000000000000025
2003-01-17,2.32,-0.08000000000000007
2003-01-24,2.2,-0.11999999999999966
2003-01-31,2.19,-0.010000000000000231
2003-02-07,2.12,-0.06999999999999984
2003-02-14,2.04,-0.08000000000000007
2003-02-21,1.97,-0.07000000000000006
2003-02-28,1.83,-0.1399999999999999
2003-03-07,1.75,-0.08000000000000007
2003-03-14,1.73,-0.020000000000000018
2003-03-21,2.14,0.41000000000000014
2003-03-28,2.14,0.0
2003-04-04,2.09,-0.050000000000000266
2003-04-11,2.18,0.0900000000000003
2003-04-18,2.21,0.029999999999999805
2003-04-25,2.24,0.03000000000000025
2003-05-02,2.17,-0.07000000000000028
2003-05-09,2.08,-0.08999999999999986
2003-05-16,1.89,-0.19000000000000017
2003-05-23,1.75,-0.1399999999999999
2003-05-30,1.79,0.040000000000000036
2003-06-06,1.77,-0.020000000000000018
2003-06-13,1.6,-0.16999999999999993
2003-06-20,1.72,0.11999999999999988
2003-06-27,1.77,0.050000000000000044
2003-07-04,1.97,0.19999999999999996
2003-07-11,2.02,0.050000000000000044
2003-07-18,2.03,0.009999999999999787
2003-07-25,2.17,0.14000000000000012
2003-08-01,2.36,0.18999999999999995
2003-08-08,2.33,-0.029999999999999805
2003-08-15,2.35,0.020000000000000018
2003-08-22,2.28,-0.07000000000000028
2003-08-29,2.31,0.03000000000000025
2003-09-05,2.33,0.020000000000000018
2003-09-12,2.21,-0.1200000000000001
2003-09-19,2.2,-0.009999999999999787
2003-09-26,2.12,-0.08000000000000007
2003-10-03,2.02,-0.10000000000000009
2003-10-10,2.16,0.14000000000000012
2003-10-17,2.18,0.020000000000000018
2003-10-24,2.05,-0.13000000000000034
2003-10-31,1.95,-0.09999999999999987
2003-11-07,2.02,0.07000000000000006
2003-11-14,1.99,-0.030000000000000027
2003-11-21,1.88,-0.1100000000000001
2003-11-28,1.98,0.10000000000000009
2003-12-05,2.03,0.04999999999999982
2003-12-12,1.95,-0.07999999999999985
2003-12-19,1.96,0.010000000000000009
2003-12-26,1.98,0.020000000000000018
2004-01-02,2.02,0.040000000000000036
2004-01-09,1.97,-0.050000000000000044
2004-01-16,1.84,-0.1299999999999999
2004-01-23,1.8,-0.040000000000000036
2004-01-30,1.88,0.07999999999999985
2004-02-06,1.82,-0.05999999999999983
2004-02-13,1.76,-0.06000000000000005
2004-02-20,1.76,0.0
2004-02-27,1.7,-0.06000000000000005
2004-03-05,1.56,-0.1399999999999999
2004-03-12,1.46,-0.10000000000000009
2004-03-19,1.41,-0.050000000000000044
2004-03-26,1.42,0.010000000000000009
2004-04-02,1.53,0.1100000000000001
2004-04-09,1.78,0.25
2004-04-16,1.88,0.09999999999999987
2004-04-23,1.98,0.10000000000000009
2004-04-30,2.08,0.10000000000000009
2004-05-07,2.14,0.06000000000000005
2004-05-14,2.19,0.04999999999999982
2004-05-21,2.03,-0.16000000000000014
2004-05-28,2.0,-0.029999999999999805
