Date,Values,Delta Calculations
1986-12-27,1905090.0, 
1987-01-03,1914590.0,9500.0
1987-01-10,1914590.0,0.0
1987-01-17,1914590.0,0.0
1987-01-24,1914590.0,0.0
1987-01-31,1914590.0,0.0
1987-02-07,1914590.0,0.0
1987-02-14,1914590.0,0.0
1987-02-21,1914590.0,0.0
1987-02-28,1914590.0,0.0
1987-03-07,1914590.0,0.0
1987-03-14,1914590.0,0.0
1987-03-21,1914590.0,0.0
1987-03-28,1914590.0,0.0
1987-04-04,1922967.0,8377.0
1987-04-11,1922967.0,0.0
1987-04-18,1922967.0,0.0
1987-04-25,1922967.0,0.0
1987-05-02,1922967.0,0.0
1987-05-09,1922967.0,0.0
1987-05-16,1922967.0,0.0
1987-05-23,1922967.0,0.0
1987-05-30,1922967.0,0.0
1987-06-06,1922967.0,0.0
1987-06-13,1922967.0,0.0
1987-06-20,1922967.0,0.0
1987-06-27,1922967.0,0.0
1987-07-04,1933713.0,10746.0
1987-07-11,1933713.0,0.0
1987-07-18,1933713.0,0.0
1987-07-25,1933713.0,0.0
1987-08-01,1933713.0,0.0
1987-08-08,1933713.0,0.0
1987-08-15,1933713.0,0.0
1987-08-22,1933713.0,0.0
1987-08-29,1933713.0,0.0
1987-09-05,1933713.0,0.0
1987-09-12,1933713.0,0.0
1987-09-19,1933713.0,0.0
1987-09-26,1933713.0,0.0
1987-10-03,1944268.0,10555.0
1987-10-10,1944268.0,0.0
1987-10-17,1944268.0,0.0
1987-10-24,1944268.0,0.0
1987-10-31,1944268.0,0.0
1987-11-07,1944268.0,0.0
1987-11-14,1944268.0,0.0
1987-11-21,1944268.0,0.0
1987-11-28,1944268.0,0.0
1987-12-05,1944268.0,0.0
1987-12-12,1944268.0,0.0
1987-12-19,1944268.0,0.0
1987-12-26,1944268.0,0.0
1988-01-02,1957845.0,13577.0
1988-01-09,1957845.0,0.0
1988-01-16,1957845.0,0.0
1988-01-23,1957845.0,0.0
1988-01-30,1957845.0,0.0
1988-02-06,1957845.0,0.0
1988-02-13,1957845.0,0.0
1988-02-20,1957845.0,0.0
1988-02-27,1957845.0,0.0
1988-03-05,1957845.0,0.0
1988-03-12,1957845.0,0.0
1988-03-19,1957845.0,0.0
1988-03-26,1957845.0,0.0
1988-04-02,1973491.0,15646.0
1988-04-09,1973491.0,0.0
1988-04-16,1973491.0,0.0
1988-04-23,1973491.0,0.0
1988-04-30,1973491.0,0.0
1988-05-07,1973491.0,0.0
1988-05-14,1973491.0,0.0
1988-05-21,1973491.0,0.0
1988-05-28,1973491.0,0.0
1988-06-04,1973491.0,0.0
1988-06-11,1973491.0,0.0
1988-06-18,1973491.0,0.0
1988-06-25,1973491.0,0.0
1988-07-02,1990302.0,16811.0
1988-07-09,1990302.0,0.0
1988-07-16,1990302.0,0.0
1988-07-23,1990302.0,0.0
1988-07-30,1990302.0,0.0
1988-08-06,1990302.0,0.0
1988-08-13,1990302.0,0.0
1988-08-20,1990302.0,0.0
1988-08-27,1990302.0,0.0
1988-09-03,1990302.0,0.0
1988-09-10,1990302.0,0.0
1988-09-17,1990302.0,0.0
1988-09-24,1990302.0,0.0
1988-10-01,2007495.0,17193.0
1988-10-08,2007495.0,0.0
1988-10-15,2007495.0,0.0
1988-10-22,2007495.0,0.0
1988-10-29,2007495.0,0.0
1988-11-05,2007495.0,0.0
1988-11-12,2007495.0,0.0
1988-11-19,2007495.0,0.0
1988-11-26,2007495.0,0.0
1988-12-03,2007495.0,0.0
1988-12-10,2007495.0,0.0
1988-12-17,2007495.0,0.0
1988-12-24,2007495.0,0.0
1988-12-31,2007495.0,0.0
1989-01-07,2025917.0,18422.0
1989-01-14,2025917.0,0.0
1989-01-21,2025917.0,0.0
1989-01-28,2025917.0,0.0
1989-02-04,2025917.0,0.0
1989-02-11,2025917.0,0.0
1989-02-18,2025917.0,0.0
1989-02-25,2025917.0,0.0
1989-03-04,2025917.0,0.0
1989-03-11,2025917.0,0.0
1989-03-18,2025917.0,0.0
1989-03-25,2025917.0,0.0
1989-04-01,2025917.0,0.0
1989-04-08,2046231.0,20314.0
1989-04-15,2046231.0,0.0
1989-04-22,2046231.0,0.0
1989-04-29,2046231.0,0.0
1989-05-06,2046231.0,0.0
1989-05-13,2046231.0,0.0
1989-05-20,2046231.0,0.0
1989-05-27,2046231.0,0.0
1989-06-03,2046231.0,0.0
1989-06-10,2046231.0,0.0
1989-06-17,2046231.0,0.0
1989-06-24,2046231.0,0.0
1989-07-01,2046231.0,0.0
1989-07-08,2064579.0,18348.0
1989-07-15,2064579.0,0.0
1989-07-22,2064579.0,0.0
1989-07-29,2064579.0,0.0
1989-08-05,2064579.0,0.0
1989-08-12,2064579.0,0.0
1989-08-19,2064579.0,0.0
1989-08-26,2064579.0,0.0
1989-09-02,2064579.0,0.0
1989-09-09,2064579.0,0.0
1989-09-16,2064579.0,0.0
1989-09-23,2064579.0,0.0
1989-09-30,2064579.0,0.0
1989-10-07,2084167.0,19588.0
1989-10-14,2084167.0,0.0
1989-10-21,2084167.0,0.0
1989-10-28,2084167.0,0.0
1989-11-04,2084167.0,0.0
1989-11-11,2084167.0,0.0
1989-11-18,2084167.0,0.0
1989-11-25,2084167.0,0.0
1989-12-02,2084167.0,0.0
1989-12-09,2084167.0,0.0
1989-12-16,2084167.0,0.0
1989-12-23,2084167.0,0.0
1989-12-30,2084167.0,0.0
1990-01-06,2100835.0,16668.0
1990-01-13,2100835.0,0.0
1990-01-20,2100835.0,0.0
1990-01-27,2100835.0,0.0
1990-02-03,2100835.0,0.0
1990-02-10,2100835.0,0.0
1990-02-17,2100835.0,0.0
1990-02-24,2100835.0,0.0
1990-03-03,2100835.0,0.0
1990-03-10,2100835.0,0.0
1990-03-17,2100835.0,0.0
1990-03-24,2100835.0,0.0
1990-03-31,2100835.0,0.0
1990-04-07,2116236.0,15401.0
1990-04-14,2116236.0,0.0
1990-04-21,2116236.0,0.0
1990-04-28,2116236.0,0.0
1990-05-05,2116236.0,0.0
1990-05-12,2116236.0,0.0
1990-05-19,2116236.0,0.0
1990-05-26,2116236.0,0.0
1990-06-02,2116236.0,0.0
