Date,Values,Delta Calculations
2002-12-18,18202.0, 
2002-12-25,20908.0,2706.0
2003-01-01,20865.0,-43.0
2003-01-08,18533.0,-2332.0
2003-01-15,18152.0,-381.0
2003-01-22,18567.0,415.0
2003-01-29,18397.0,-170.0
2003-02-05,18483.0,86.0
2003-02-12,18949.0,466.0
2003-02-19,17925.0,-1024.0
2003-02-26,17738.0,-187.0
2003-03-05,18078.0,340.0
2003-03-12,18332.0,254.0
2003-03-19,19802.0,1470.0
2003-03-26,18320.0,-1482.0
2003-04-02,19291.0,971.0
2003-04-09,20653.0,1362.0
2003-04-16,20745.0,92.0
2003-04-23,20552.0,-193.0
2003-04-30,20949.0,397.0
2003-05-07,21325.0,376.0
2003-05-14,20641.0,-684.0
2003-05-21,20415.0,-226.0
2003-05-28,21598.0,1183.0
2003-06-04,21987.0,389.0
2003-06-11,20816.0,-1171.0
2003-06-18,21464.0,648.0
2003-06-25,22714.0,1250.0
2003-07-02,23129.0,415.0
2003-07-09,20844.0,-2285.0
2003-07-16,20067.0,-777.0
2003-07-23,19677.0,-390.0
2003-07-30,19916.0,239.0
2003-08-06,18946.0,-970.0
2003-08-13,19563.0,617.0
2003-08-20,20106.0,543.0
2003-08-27,19223.0,-883.0
2003-09-03,20022.0,799.0
2003-09-10,19345.0,-677.0
2003-09-17,20445.0,1100.0
2003-09-24,20545.0,100.0
2003-10-01,21384.0,839.0
2003-10-08,19322.0,-2062.0
2003-10-15,19095.0,-227.0
2003-10-22,18633.0,-462.0
2003-10-29,19174.0,541.0
2003-11-05,19888.0,714.0
2003-11-12,17554.0,-2334.0
2003-11-19,19227.0,1673.0
2003-11-26,18228.0,-999.0
2003-12-03,18669.0,441.0
2003-12-10,19464.0,795.0
2003-12-17,18216.0,-1248.0
2003-12-24,19430.0,1214.0
2003-12-31,21635.0,2205.0
2004-01-07,22477.0,842.0
2004-01-14,20443.0,-2034.0
2004-01-21,19997.0,-446.0
2004-01-28,20225.0,228.0
2004-02-04,20581.0,356.0
2004-02-11,20451.0,-130.0
2004-02-18,22837.0,2386.0
2004-02-25,20426.0,-2411.0
2004-03-03,20609.0,183.0
2004-03-10,18320.0,-2289.0
2004-03-17,19095.0,775.0
2004-03-24,19239.0,144.0
2004-03-31,20458.0,1219.0
2004-04-07,19399.0,-1059.0
2004-04-14,20136.0,737.0
2004-04-21,19420.0,-716.0
2004-04-28,20404.0,984.0
2004-05-05,21477.0,1073.0
2004-05-12,19805.0,-1672.0
2004-05-19,18884.0,-921.0
2004-05-26,19191.0,307.0
2004-06-02,20398.0,1207.0
2004-06-09,20304.0,-94.0
2004-06-16,20056.0,-248.0
2004-06-23,18722.0,-1334.0
2004-06-30,18494.0,-228.0
2004-07-07,19958.0,1464.0
2004-07-14,19767.0,-191.0
2004-07-21,19884.0,117.0
2004-07-28,19959.0,75.0
2004-08-04,20588.0,629.0
2004-08-11,20422.0,-166.0
2004-08-18,21728.0,1306.0
2004-08-25,20967.0,-761.0
2004-09-01,22442.0,1475.0
2004-09-08,23521.0,1079.0
2004-09-15,24707.0,1186.0
2004-09-22,24814.0,107.0
2004-09-29,24291.0,-523.0
2004-10-06,24888.0,597.0
2004-10-13,24883.0,-5.0
2004-10-20,25431.0,548.0
2004-10-27,26297.0,866.0
2004-11-03,26844.0,547.0
2004-11-10,27110.0,266.0
2004-11-17,27349.0,239.0
2004-11-24,27655.0,306.0
2004-12-01,28086.0,431.0
2004-12-08,28393.0,307.0
2004-12-15,27462.0,-931.0
2004-12-22,28074.0,612.0
2004-12-29,30132.0,2058.0
2005-01-05,29902.0,-230.0
2005-01-12,29964.0,62.0
2005-01-19,27580.0,-2384.0
2005-01-26,27453.0,-127.0
2005-02-02,26805.0,-648.0
2005-02-09,26615.0,-190.0
2005-02-16,27044.0,429.0
2005-02-23,23857.0,-3187.0
2005-03-02,24390.0,533.0
2005-03-09,25631.0,1241.0
2005-03-16,25365.0,-266.0
2005-03-23,26048.0,683.0
2005-03-30,24679.0,-1369.0
2005-04-06,23115.0,-1564.0
2005-04-13,23423.0,308.0
2005-04-20,23769.0,346.0
2005-04-27,25494.0,1725.0
2005-05-04,26355.0,861.0
2005-05-11,25149.0,-1206.0
2005-05-18,28054.0,2905.0
2005-05-25,25780.0,-2274.0
2005-06-01,25125.0,-655.0
2005-06-08,24343.0,-782.0
2005-06-15,23691.0,-652.0
2005-06-22,23417.0,-274.0
2005-06-29,24311.0,894.0
2005-07-06,25767.0,1456.0
2005-07-13,25416.0,-351.0
2005-07-20,26631.0,1215.0
2005-07-27,27995.0,1364.0
2005-08-03,25746.0,-2249.0
2005-08-10,23111.0,-2635.0
2005-08-17,25370.0,2259.0
