Date,Values,Delta Calculations
2002-12-18,360.0, 
2002-12-25,367.0,7.0
2003-01-01,370.0,3.0
2003-01-08,369.0,-1.0
2003-01-15,369.0,0.0
2003-01-22,360.0,-9.0
2003-01-29,361.0,1.0
2003-02-05,356.0,-5.0
2003-02-12,360.0,4.0
2003-02-19,348.0,-12.0
2003-02-26,343.0,-5.0
2003-03-05,354.0,11.0
2003-03-12,367.0,13.0
2003-03-19,398.0,31.0
2003-03-26,373.0,-25.0
2003-04-02,353.0,-20.0
2003-04-09,357.0,4.0
2003-04-16,361.0,4.0
2003-04-23,352.0,-9.0
2003-04-30,340.0,-12.0
2003-05-07,342.0,2.0
2003-05-14,349.0,7.0
2003-05-21,356.0,7.0
2003-05-28,375.0,19.0
2003-06-04,385.0,10.0
2003-06-11,381.0,-4.0
2003-06-18,368.0,-13.0
2003-06-25,365.0,-3.0
2003-07-02,327.0,-38.0
2003-07-09,327.0,0.0
2003-07-16,329.0,2.0
2003-07-23,339.0,10.0
2003-07-30,364.0,25.0
2003-08-06,371.0,7.0
2003-08-13,358.0,-13.0
2003-08-20,338.0,-20.0
2003-08-27,335.0,-3.0
2003-09-03,338.0,3.0
2003-09-10,333.0,-5.0
2003-09-17,335.0,2.0
2003-09-24,341.0,6.0
2003-10-01,356.0,15.0
2003-10-08,371.0,15.0
2003-10-15,387.0,16.0
2003-10-22,400.0,13.0
2003-10-29,390.0,-10.0
2003-11-05,379.0,-11.0
2003-11-12,348.0,-31.0
2003-11-19,305.0,-43.0
2003-11-26,324.0,19.0
2003-12-03,326.0,2.0
2003-12-10,324.0,-2.0
2003-12-17,319.0,-5.0
2003-12-24,319.0,0.0
2003-12-31,321.0,2.0
2004-01-07,323.0,2.0
2004-01-14,332.0,9.0
2004-01-21,343.0,11.0
2004-01-28,356.0,13.0
2004-02-04,355.0,-1.0
2004-02-11,336.0,-19.0
2004-02-18,323.0,-13.0
2004-02-25,318.0,-5.0
2004-03-03,314.0,-4.0
2004-03-10,320.0,6.0
2004-03-17,338.0,18.0
2004-03-24,347.0,9.0
2004-03-31,366.0,19.0
2004-04-07,346.0,-20.0
2004-04-14,340.0,-6.0
2004-04-21,328.0,-12.0
2004-04-28,321.0,-7.0
2004-05-05,308.0,-13.0
2004-05-12,323.0,15.0
2004-05-19,332.0,9.0
2004-05-26,320.0,-12.0
2004-06-02,323.0,3.0
2004-06-09,326.0,3.0
2004-06-16,316.0,-10.0
2004-06-23,307.0,-9.0
2004-06-30,303.0,-4.0
2004-07-07,302.0,-1.0
2004-07-14,302.0,0.0
2004-07-21,290.0,-12.0
2004-07-28,283.0,-7.0
2004-08-04,287.0,4.0
2004-08-11,304.0,17.0
2004-08-18,320.0,16.0
2004-08-25,330.0,10.0
2004-09-01,320.0,-10.0
2004-09-08,323.0,3.0
2004-09-15,314.0,-9.0
2004-09-22,300.0,-14.0
2004-09-29,291.0,-9.0
2004-10-06,295.0,4.0
2004-10-13,299.0,4.0
2004-10-20,302.0,3.0
2004-10-27,299.0,-3.0
2004-11-03,303.0,4.0
2004-11-10,300.0,-3.0
2004-11-17,295.0,-5.0
2004-11-24,283.0,-12.0
2004-12-01,259.0,-24.0
2004-12-08,279.0,20.0
2004-12-15,263.0,-16.0
2004-12-22,268.0,5.0
2004-12-29,270.0,2.0
2005-01-05,276.0,6.0
2005-01-12,250.0,-26.0
2005-01-19,296.0,46.0
2005-01-26,269.0,-27.0
2005-02-02,291.0,22.0
2005-02-09,282.0,-9.0
2005-02-16,270.0,-12.0
2005-02-23,263.0,-7.0
2005-03-02,257.0,-6.0
2005-03-09,252.0,-5.0
2005-03-16,254.0,2.0
2005-03-23,274.0,20.0
2005-03-30,284.0,10.0
2005-04-06,277.0,-7.0
2005-04-13,270.0,-7.0
2005-04-20,261.0,-9.0
2005-04-27,258.0,-3.0
2005-05-04,254.0,-4.0
2005-05-11,254.0,0.0
2005-05-18,260.0,6.0
2005-05-25,275.0,15.0
2005-06-01,288.0,13.0
2005-06-08,282.0,-6.0
2005-06-15,271.0,-11.0
2005-06-22,245.0,-26.0
2005-06-29,237.0,-8.0
2005-07-06,237.0,0.0
2005-07-13,235.0,-2.0
2005-07-20,243.0,8.0
2005-07-27,252.0,9.0
2005-08-03,245.0,-7.0
2005-08-10,250.0,5.0
2005-08-17,250.0,0.0
2005-08-24,267.0,17.0
2005-08-31,262.0,-5.0
2005-09-07,255.0,-7.0
2005-09-14,252.0,-3.0
2005-09-21,254.0,2.0
2005-09-28,237.0,-17.0
2005-10-05,221.0,-16.0
2005-10-12,218.0,-3.0
2005-10-19,221.0,3.0
2005-10-26,211.0,-10.0
2005-11-02,225.0,14.0
