Date,Values,Delta Calculations
2002-12-18,895.0, 
2002-12-25,2693.0,1798.0
2003-01-01,812.0,-1881.0
2003-01-08,-1032.0,-1844.0
2003-01-15,-479.0,553.0
2003-01-22,5400.0,5879.0
2003-01-29,1961.0,-3439.0
2003-02-05,-9649.0,-11610.0
2003-02-12,-516.0,9133.0
2003-02-19,3838.0,4354.0
2003-02-26,1307.0,-2531.0
2003-03-05,1884.0,577.0
2003-03-12,84.0,-1800.0
2003-03-19,4065.0,3981.0
2003-03-26,-732.0,-4797.0
2003-04-02,-799.0,-67.0
2003-04-09,610.0,1409.0
2003-04-16,-626.0,-1236.0
2003-04-23,-685.0,-59.0
2003-04-30,-101.0,584.0
2003-05-07,154.0,255.0
2003-05-14,302.0,148.0
2003-05-21,-1050.0,-1352.0
2003-05-28,1172.0,2222.0
2003-06-04,308.0,-864.0
2003-06-11,-691.0,-999.0
2003-06-18,1131.0,1822.0
2003-06-25,323.0,-808.0
2003-07-02,-144.0,-467.0
2003-07-09,1336.0,1480.0
2003-07-16,97.0,-1239.0
2003-07-23,-32.0,-129.0
2003-07-30,-1187.0,-1155.0
2003-08-06,429.0,1616.0
2003-08-13,2583.0,2154.0
2003-08-20,499.0,-2084.0
2003-08-27,-458.0,-957.0
2003-09-03,1995.0,2453.0
2003-09-10,134.0,-1861.0
2003-09-17,-1048.0,-1182.0
2003-09-24,-974.0,74.0
2003-10-01,-899.0,75.0
2003-10-08,-212.0,687.0
2003-10-15,2909.0,3121.0
2003-10-22,-149.0,-3058.0
2003-10-29,-503.0,-354.0
2003-11-05,3955.0,4458.0
2003-11-12,228.0,-3727.0
2003-11-19,1263.0,1035.0
2003-11-26,-62.0,-1325.0
2003-12-03,1266.0,1328.0
2003-12-10,1655.0,389.0
2003-12-17,2080.0,425.0
2003-12-24,2041.0,-39.0
2003-12-31,-319.0,-2360.0
2004-01-07,2144.0,2463.0
2004-01-14,-331.0,-2475.0
2004-01-21,1316.0,1647.0
2004-01-28,2924.0,1608.0
2004-02-04,298.0,-2626.0
2004-02-11,-636.0,-934.0
2004-02-18,1363.0,1999.0
2004-02-25,-176.0,-1539.0
2004-03-03,-635.0,-459.0
2004-03-10,-636.0,-1.0
2004-03-17,-775.0,-139.0
2004-03-24,-1182.0,-407.0
2004-03-31,-589.0,593.0
2004-04-07,-342.0,247.0
2004-04-14,-778.0,-436.0
2004-04-21,-24.0,754.0
2004-04-28,-882.0,-858.0
2004-05-05,-297.0,585.0
2004-05-12,-856.0,-559.0
2004-05-19,-730.0,126.0
2004-05-26,-282.0,448.0
2004-06-02,546.0,828.0
2004-06-09,-143.0,-689.0
2004-06-16,-485.0,-342.0
2004-06-23,-445.0,40.0
2004-06-30,163.0,608.0
2004-07-07,1073.0,910.0
2004-07-14,-112.0,-1185.0
2004-07-21,-312.0,-200.0
2004-07-28,-785.0,-473.0
2004-08-04,1108.0,1893.0
2004-08-11,-572.0,-1680.0
2004-08-18,-176.0,396.0
2004-08-25,-311.0,-135.0
2004-09-01,201.0,512.0
2004-09-08,1899.0,1698.0
2004-09-15,-130.0,-2029.0
2004-09-22,-425.0,-295.0
2004-09-29,-376.0,49.0
2004-10-06,-555.0,-179.0
2004-10-13,1681.0,2236.0
2004-10-20,952.0,-729.0
2004-10-27,432.0,-520.0
2004-11-03,668.0,236.0
2004-11-10,486.0,-182.0
2004-11-17,953.0,467.0
2004-11-24,89.0,-864.0
2004-12-01,898.0,809.0
2004-12-08,1377.0,479.0
2004-12-15,669.0,-708.0
2004-12-22,1120.0,451.0
2004-12-29,493.0,-627.0
2005-01-05,1851.0,1358.0
2005-01-12,1266.0,-585.0
2005-01-19,3186.0,1920.0
2005-01-26,41.0,-3145.0
2005-02-02,-13.0,-54.0
2005-02-09,3259.0,3272.0
2005-02-16,844.0,-2415.0
2005-02-23,912.0,68.0
2005-03-02,-655.0,-1567.0
2005-03-09,-10.0,645.0
2005-03-16,-397.0,-387.0
2005-03-23,1075.0,1472.0
2005-03-30,-1011.0,-2086.0
2005-04-06,-92.0,919.0
2005-04-13,-616.0,-524.0
2005-04-20,53.0,669.0
2005-04-27,-953.0,-1006.0
2005-05-04,-136.0,817.0
2005-05-11,82.0,218.0
2005-05-18,-844.0,-926.0
2005-05-25,-1123.0,-279.0
2005-06-01,1107.0,2230.0
2005-06-08,25.0,-1082.0
2005-06-15,-975.0,-1000.0
2005-06-22,-362.0,613.0
2005-06-29,-296.0,66.0
2005-07-06,2511.0,2807.0
2005-07-13,254.0,-2257.0
2005-07-20,-944.0,-1198.0
2005-07-27,-719.0,225.0
2005-08-03,-943.0,-224.0
2005-08-10,-233.0,710.0
2005-08-17,751.0,984.0
2005-08-24,-351.0,-1102.0
2005-08-31,728.0,1079.0
2005-09-07,1225.0,497.0
2005-09-14,266.0,-959.0
2005-09-21,1051.0,785.0
2005-09-28,-616.0,-1667.0
2005-10-05,1771.0,2387.0
2005-10-12,5851.0,4080.0
2005-10-19,1782.0,-4069.0
2005-10-26,52.0,-1730.0
2005-11-02,378.0,326.0
2005-11-09,503.0,125.0
2005-11-16,3960.0,3457.0
2005-11-23,769.0,-3191.0
2005-11-30,882.0,113.0
2005-12-07,995.0,113.0
2005-12-14,2359.0,1364.0
2005-12-21,2009.0,-350.0
2005-12-28,1047.0,-962.0
2006-01-04,2406.0,1359.0
2006-01-11,935.0,-1471.0
2006-01-18,4608.0,3673.0
2006-01-25,-782.0,-5390.0
2006-02-01,1050.0,1832.0
2006-02-08,875.0,-175.0
2006-02-15,-629.0,-1504.0
2006-02-22,2525.0,3154.0
2006-03-01,1341.0,-1184.0
2006-03-08,1141.0,-200.0
2006-03-15,244.0,-897.0
2006-03-22,-1190.0,-1434.0
2006-03-29,-694.0,496.0
2006-04-05,-595.0,99.0
2006-04-12,-1374.0,-779.0
2006-04-19,-1008.0,366.0
2006-04-26,-19.0,989.0
2006-05-03,-752.0,-733.0
2006-05-10,-773.0,-21.0
2006-05-17,1228.0,2001.0
2006-05-24,-38.0,-1266.0
2006-05-31,1020.0,1058.0
2006-06-07,981.0,-39.0
2006-06-14,-616.0,-1597.0
2006-06-21,-4.0,612.0
2006-06-28,-485.0,-481.0
2006-07-05,1470.0,1955.0
2006-07-12,86.0,-1384.0
2006-07-19,-327.0,-413.0
2006-07-26,-1095.0,-768.0
2006-08-02,-819.0,276.0
2006-08-09,521.0,1340.0
2006-08-16,-790.0,-1311.0
2006-08-23,-316.0,474.0
2006-08-30,-398.0,-82.0
2006-09-06,6371.0,6769.0
2006-09-13,32.0,-6339.0
2006-09-20,-386.0,-418.0
2006-09-27,-1468.0,-1082.0
2006-10-04,154.0,1622.0
2006-10-11,4998.0,4844.0
2006-10-18,-333.0,-5331.0
2006-10-25,-883.0,-550.0
2006-11-01,4796.0,5679.0
2006-11-08,713.0,-4083.0
2006-11-15,-481.0,-1194.0
2006-11-22,-1423.0,-942.0
2006-11-29,-806.0,617.0
2006-12-06,2576.0,3382.0
2006-12-13,2707.0,131.0
2006-12-20,347.0,-2360.0
2006-12-27,404.0,57.0
2007-01-03,626.0,222.0
2007-01-10,-240.0,-866.0
2007-01-17,2950.0,3190.0
2007-01-24,-1098.0,-4048.0
2007-01-31,-1486.0,-388.0
2007-02-07,716.0,2202.0
2007-02-14,2256.0,1540.0
2007-02-21,2177.0,-79.0
2007-02-28,-1011.0,-3188.0
2007-03-07,-1067.0,-56.0
2007-03-14,-993.0,74.0
2007-03-21,-909.0,84.0
2007-03-28,-989.0,-80.0
2007-04-04,-994.0,-5.0
2007-04-11,-782.0,212.0
2007-04-18,-1208.0,-426.0
2007-04-25,-1844.0,-636.0
2007-05-02,-1141.0,703.0
2007-05-09,-38.0,1103.0
2007-05-16,-1154.0,-1116.0
2007-05-23,-1175.0,-21.0
2007-05-30,856.0,2031.0
2007-06-06,-501.0,-1357.0
2007-06-13,-1500.0,-999.0
2007-06-20,-621.0,879.0
2007-06-27,-179.0,442.0
2007-07-04,-933.0,-754.0
2007-07-11,-415.0,518.0
2007-07-18,-573.0,-158.0
2007-07-25,-1272.0,-699.0
2007-08-01,-1483.0,-211.0
2007-08-08,-633.0,850.0
2007-08-15,-941.0,-308.0
2007-08-22,-536.0,405.0
2007-08-29,30.0,566.0
2007-09-05,707.0,677.0
2007-09-12,599.0,-108.0
2007-09-19,-136.0,-735.0
2007-09-26,-588.0,-452.0
2007-10-03,-651.0,-63.0
2007-10-10,-277.0,374.0
2007-10-17,-1817.0,-1540.0
2007-10-24,-636.0,1181.0
2007-10-31,-747.0,-111.0
2007-11-07,-374.0,373.0
2007-11-14,748.0,1122.0
2007-11-21,1269.0,521.0
2007-11-28,-1261.0,-2530.0
2007-12-05,-921.0,340.0
2007-12-12,-972.0,-51.0
2007-12-19,-670.0,302.0
2007-12-26,-347.0,323.0
2008-01-02,-1059.0,-712.0
2008-01-09,-746.0,313.0
2008-01-16,-1226.0,-480.0
2008-01-23,-1555.0,-329.0
2008-01-30,-1131.0,424.0
2008-02-06,-1595.0,-464.0
2008-02-13,-1433.0,162.0
2008-02-20,-1266.0,167.0
2008-02-27,-1209.0,57.0
2008-03-05,-1545.0,-336.0
2008-03-12,-1511.0,34.0
2008-03-19,-1780.0,-269.0
2008-03-26,-1873.0,-93.0
2008-04-02,1452.0,3325.0
2008-04-09,-1679.0,-3131.0
2008-04-16,-2404.0,-725.0
2008-04-23,-2178.0,226.0
2008-04-30,-1724.0,454.0
2008-05-07,-1739.0,-15.0
2008-05-14,-340.0,1399.0
2008-05-21,-1566.0,-1226.0
2008-05-28,-1785.0,-219.0
2008-06-04,-996.0,789.0
2008-06-11,-1599.0,-603.0
2008-06-18,-1780.0,-181.0
2008-06-25,-1417.0,363.0
2008-07-02,-18289.0,-16872.0
2008-07-09,-1566.0,16723.0
2008-07-16,-2072.0,-506.0
2008-07-23,-1788.0,284.0
2008-07-30,-1930.0,-142.0
2008-08-06,-1662.0,268.0
2008-08-13,-998.0,664.0
2008-08-20,-1702.0,-704.0
2008-08-27,-1689.0,13.0
2008-09-03,-372.0,1317.0
2008-09-10,-1302.0,-930.0
2008-09-17,-1704.0,-402.0
2008-09-24,-1410.0,294.0
2008-10-01,-1499.0,-89.0
2008-10-08,-1554.0,-55.0
2008-10-15,13.0,1567.0
2008-10-22,-1354.0,-1367.0
2008-10-29,-1233.0,121.0
2008-11-05,-1558.0,-325.0
2008-11-12,-1790.0,-232.0
2008-11-19,-1628.0,162.0
2008-11-26,-1521.0,107.0
2008-12-03,-917.0,604.0
2008-12-10,-1309.0,-392.0
2008-12-17,-1513.0,-204.0
2008-12-24,-1336.0,177.0
2008-12-31,-1494.0,-158.0
2009-01-07,-1722.0,-228.0
2009-01-14,-1586.0,136.0
2009-01-21,-2709.0,-1123.0
2009-01-28,-1543.0,1166.0
2009-02-04,-2472.0,-929.0
2009-02-11,-2542.0,-70.0
2009-02-18,-3205.0,-663.0
2009-02-25,-2150.0,1055.0
2009-03-04,-2950.0,-800.0
2009-03-11,-3116.0,-166.0
2009-03-18,-2545.0,571.0
2009-03-25,-2393.0,152.0
