Date,Values,Delta Calculations
2002-12-18,680587.0, 
2002-12-25,690372.0,9785.0
2003-01-01,690490.0,118.0
2003-01-08,683965.0,-6525.0
2003-01-15,680717.0,-3248.0
2003-01-22,692996.0,12279.0
2003-01-29,673923.0,-19073.0
2003-02-05,678105.0,4182.0
2003-02-12,674429.0,-3676.0
2003-02-19,688811.0,14382.0
2003-02-26,682620.0,-6191.0
2003-03-05,681883.0,-737.0
2003-03-12,676632.0,-5251.0
2003-03-19,691186.0,14554.0
2003-03-26,685624.0,-5562.0
2003-04-02,691741.0,6117.0
2003-04-09,686951.0,-4790.0
2003-04-16,705547.0,18596.0
2003-04-23,691870.0,-13677.0
2003-04-30,706091.0,14221.0
2003-05-07,691760.0,-14331.0
2003-05-14,700372.0,8612.0
2003-05-21,694376.0,-5996.0
2003-05-28,703071.0,8695.0
2003-06-04,690225.0,-12846.0
2003-06-11,702999.0,12774.0
2003-06-18,695472.0,-7527.0
2003-06-25,704552.0,9080.0
2003-07-02,698274.0,-6278.0
2003-07-09,703829.0,5555.0
2003-07-16,698093.0,-5736.0
2003-07-23,705894.0,7801.0
2003-07-30,700097.0,-5797.0
2003-08-06,693530.0,-6567.0
2003-08-13,695767.0,2237.0
2003-08-20,711618.0,15851.0
2003-08-27,701676.0,-9942.0
2003-09-03,707422.0,5746.0
2003-09-10,697343.0,-10079.0
2003-09-17,703887.0,6544.0
2003-09-24,701322.0,-2565.0
2003-10-01,711895.0,10573.0
2003-10-08,696274.0,-15621.0
2003-10-15,709891.0,13617.0
2003-10-22,702995.0,-6896.0
2003-10-29,707624.0,4629.0
2003-11-05,703195.0,-4429.0
2003-11-12,706152.0,2957.0
2003-11-19,704009.0,-2143.0
2003-11-26,716238.0,12229.0
2003-12-03,709028.0,-7210.0
2003-12-10,715172.0,6144.0
2003-12-17,712178.0,-2994.0
2003-12-24,724418.0,12240.0
2003-12-31,730244.0,5826.0
2004-01-07,713126.0,-17118.0
2004-01-14,710986.0,-2140.0
2004-01-21,730472.0,19486.0
2004-01-28,713160.0,-17312.0
2004-02-04,711527.0,-1633.0
2004-02-11,709503.0,-2024.0
2004-02-18,713653.0,4150.0
2004-02-25,709566.0,-4087.0
2004-03-03,712894.0,3328.0
2004-03-10,710201.0,-2693.0
2004-03-17,720486.0,10285.0
2004-03-24,711567.0,-8919.0
2004-03-31,720510.0,8943.0
2004-04-07,713508.0,-7002.0
2004-04-14,723990.0,10482.0
2004-04-21,718271.0,-5719.0
2004-04-28,733731.0,15460.0
2004-05-05,718158.0,-15573.0
2004-05-12,725357.0,7199.0
2004-05-19,717564.0,-7793.0
2004-05-26,731931.0,14367.0
2004-06-02,722823.0,-9108.0
2004-06-09,732433.0,9610.0
2004-06-16,722079.0,-10354.0
2004-06-23,735828.0,13749.0
2004-06-30,740798.0,4970.0
2004-07-07,736993.0,-3805.0
2004-07-14,736186.0,-807.0
2004-07-21,737980.0,1794.0
2004-07-28,734946.0,-3034.0
2004-08-04,732755.0,-2191.0
2004-08-11,730594.0,-2161.0
2004-08-18,728817.0,-1777.0
2004-08-25,736302.0,7485.0
2004-09-01,745090.0,8788.0
2004-09-08,747693.0,2603.0
2004-09-15,749434.0,1741.0
2004-09-22,742371.0,-7063.0
2004-09-29,746798.0,4427.0
2004-10-06,741194.0,-5604.0
2004-10-13,752966.0,11772.0
2004-10-20,744159.0,-8807.0
2004-10-27,750739.0,6580.0
2004-11-03,749029.0,-1710.0
2004-11-10,759393.0,10364.0
2004-11-17,752030.0,-7363.0
2004-11-24,768041.0,16011.0
2004-12-01,764427.0,-3614.0
2004-12-08,766695.0,2268.0
2004-12-15,764511.0,-2184.0
2004-12-22,769267.0,4756.0
2004-12-29,765617.0,-3650.0
2005-01-05,773052.0,7435.0
2005-01-12,752050.0,-21002.0
2005-01-19,762725.0,10675.0
2005-01-26,761659.0,-1066.0
2005-02-02,761934.0,275.0
2005-02-09,755539.0,-6395.0
2005-02-16,753723.0,-1816.0
2005-02-23,760878.0,7155.0
2005-03-02,758178.0,-2700.0
2005-03-09,756612.0,-1566.0
2005-03-16,764957.0,8345.0
2005-03-23,755682.0,-9275.0
2005-03-30,766521.0,10839.0
2005-04-06,755943.0,-10578.0
2005-04-13,763733.0,7790.0
2005-04-20,759898.0,-3835.0
2005-04-27,767521.0,7623.0
2005-05-04,759946.0,-7575.0
2005-05-11,767290.0,7344.0
2005-05-18,760277.0,-7013.0
2005-05-25,769599.0,9322.0
2005-06-01,774862.0,5263.0
2005-06-08,773410.0,-1452.0
2005-06-15,771042.0,-2368.0
2005-06-22,770186.0,-856.0
2005-06-29,770215.0,29.0
2005-07-06,779787.0,9572.0
2005-07-13,769899.0,-9888.0
2005-07-20,778084.0,8185.0
2005-07-27,775393.0,-2691.0
2005-08-03,778986.0,3593.0
2005-08-10,769033.0,-9953.0
2005-08-17,774476.0,5443.0
2005-08-24,772135.0,-2341.0
2005-08-31,783743.0,11608.0
2005-09-07,780378.0,-3365.0
2005-09-14,783509.0,3131.0
2005-09-21,772422.0,-11087.0
2005-09-28,784433.0,12011.0
2005-10-05,776229.0,-8204.0
2005-10-12,782517.0,6288.0
2005-10-19,775194.0,-7323.0
2005-10-26,780469.0,5275.0
2005-11-02,774885.0,-5584.0
2005-11-09,786395.0,11510.0
2005-11-16,782972.0,-3423.0
2005-11-23,794353.0,11381.0
2005-11-30,796853.0,2500.0
2005-12-07,794216.0,-2637.0
2005-12-14,791681.0,-2535.0
2005-12-21,808968.0,17287.0
2005-12-28,808478.0,-490.0
2006-01-04,809549.0,1071.0
2006-01-11,788783.0,-20766.0
2006-01-18,793291.0,4508.0
2006-01-25,788909.0,-4382.0
2006-02-01,790890.0,1981.0
2006-02-08,787604.0,-3286.0
2006-02-15,795977.0,8373.0
2006-02-22,798921.0,2944.0
2006-03-01,799229.0,308.0
2006-03-08,790950.0,-8279.0
2006-03-15,803507.0,12557.0
2006-03-22,789972.0,-13535.0
2006-03-29,794579.0,4607.0
2006-04-05,793017.0,-1562.0
2006-04-12,797137.0,4120.0
2006-04-19,796021.0,-1116.0
2006-04-26,804461.0,8440.0
2006-05-03,800734.0,-3727.0
2006-05-10,798198.0,-2536.0
2006-05-17,797837.0,-361.0
2006-05-24,800620.0,2783.0
2006-05-31,809475.0,8855.0
2006-06-07,808695.0,-780.0
2006-06-14,806649.0,-2046.0
2006-06-21,805373.0,-1276.0
2006-06-28,806007.0,634.0
2006-07-05,813225.0,7218.0
2006-07-12,805025.0,-8200.0
2006-07-19,810926.0,5901.0
2006-07-26,802849.0,-8077.0
2006-08-02,810348.0,7499.0
2006-08-09,801111.0,-9237.0
2006-08-16,803850.0,2739.0
2006-08-23,799427.0,-4423.0
2006-08-30,812240.0,12813.0
2006-09-06,807810.0,-4430.0
2006-09-13,802190.0,-5620.0
2006-09-20,799443.0,-2747.0
2006-09-27,811303.0,11860.0
2006-10-04,802724.0,-8579.0
2006-10-11,818867.0,16143.0
2006-10-18,805700.0,-13167.0
2006-10-25,814483.0,8783.0
2006-11-01,816272.0,1789.0
2006-11-08,819939.0,3667.0
2006-11-15,816780.0,-3159.0
2006-11-22,826087.0,9307.0
2006-11-29,817916.0,-8171.0
2006-12-06,822410.0,4494.0
2006-12-13,813746.0,-8664.0
2006-12-20,826007.0,12261.0
2006-12-27,830614.0,4607.0
2007-01-03,835335.0,4721.0
2007-01-10,815378.0,-19957.0
2007-01-17,818656.0,3278.0
2007-01-24,813098.0,-5558.0
2007-01-31,826896.0,13798.0
2007-02-07,815662.0,-11234.0
2007-02-14,828419.0,12757.0
2007-02-21,828388.0,-31.0
2007-02-28,838289.0,9901.0
2007-03-07,824638.0,-13651.0
2007-03-14,837046.0,12408.0
2007-03-21,824214.0,-12832.0
2007-03-28,830825.0,6611.0
2007-04-04,822839.0,-7986.0
2007-04-11,826523.0,3684.0
2007-04-18,821353.0,-5170.0
2007-04-25,839673.0,18320.0
2007-05-02,850163.0,10490.0
2007-05-09,835881.0,-14282.0
2007-05-16,820330.0,-15551.0
2007-05-23,834572.0,14242.0
2007-05-30,836413.0,1841.0
2007-06-06,833115.0,-3298.0
2007-06-13,825901.0,-7214.0
2007-06-20,827165.0,1264.0
2007-06-27,826210.0,-955.0
2007-07-04,835786.0,9576.0
2007-07-11,826291.0,-9495.0
2007-07-18,833471.0,7180.0
2007-07-25,824626.0,-8845.0
2007-08-01,830660.0,6034.0
2007-08-08,825461.0,-5199.0
2007-08-15,825812.0,351.0
2007-08-22,823649.0,-2163.0
2007-08-29,833897.0,10248.0
2007-09-05,830498.0,-3399.0
2007-09-12,846895.0,16397.0
2007-09-19,828071.0,-18824.0
2007-09-26,850527.0,22456.0
2007-10-03,828634.0,-21893.0
2007-10-10,845240.0,16606.0
2007-10-17,829235.0,-16005.0
2007-10-24,841692.0,12457.0
2007-10-31,843222.0,1530.0
2007-11-07,845113.0,1891.0
2007-11-14,846445.0,1332.0
2007-11-21,850167.0,3722.0
2007-11-28,838622.0,-11545.0
2007-12-05,841841.0,3219.0
2007-12-12,840844.0,-997.0
2007-12-19,846907.0,6063.0
2007-12-26,850815.0,3908.0
2008-01-02,881125.0,30310.0
2008-01-09,839460.0,-41665.0
2008-01-16,852243.0,12783.0
2008-01-23,835103.0,-17140.0
2008-01-30,859153.0,24050.0
2008-02-06,829531.0,-29622.0
2008-02-13,842235.0,12704.0
2008-02-20,837289.0,-4946.0
2008-02-27,852833.0,15544.0
2008-03-05,839444.0,-13389.0
2008-03-12,854785.0,15341.0
2008-03-19,845538.0,-9247.0
2008-03-26,851450.0,5912.0
2008-04-02,841223.0,-10227.0
2008-04-09,850363.0,9140.0
2008-04-16,838777.0,-11586.0
2008-04-23,842211.0,3434.0
2008-04-30,846518.0,4307.0
2008-05-07,847806.0,1288.0
2008-05-14,839545.0,-8261.0
2008-05-21,857387.0,17842.0
2008-05-28,863043.0,5656.0
2008-06-04,855446.0,-7597.0
2008-06-11,849447.0,-5999.0
2008-06-18,861248.0,11801.0
2008-06-25,852029.0,-9219.0
2008-07-02,858623.0,6594.0
2008-07-09,856326.0,-2297.0
2008-07-16,868640.0,12314.0
2008-07-23,858954.0,-9686.0
2008-07-30,878107.0,19153.0
2008-08-06,859569.0,-18538.0
2008-08-13,874590.0,15021.0
2008-08-20,858591.0,-15999.0
2008-08-27,870077.0,11486.0
2008-09-03,863994.0,-6083.0
2008-09-10,886179.0,22185.0
2008-09-17,954103.0,67924.0
2008-09-24,1170692.0,216589.0
2008-10-01,1462882.0,292190.0
2008-10-08,1550326.0,87444.0
2008-10-15,1728354.0,178028.0
2008-10-22,1762145.0,33791.0
2008-10-29,1928384.0,166239.0
2008-11-05,2032834.0,104450.0
2008-11-12,2171388.0,138554.0
2008-11-19,2145991.0,-25397.0
2008-11-26,2065292.0,-80699.0
2008-12-03,2095793.0,30501.0
2008-12-10,2208591.0,112798.0
2008-12-17,2211400.0,2809.0
2008-12-24,2189095.0,-22305.0
2008-12-31,2196174.0,7079.0
2009-01-07,2077479.0,-118695.0
2009-01-14,2006403.0,-71076.0
2009-01-21,1992643.0,-13760.0
2009-01-28,1883808.0,-108835.0
2009-02-04,1808580.0,-75228.0
2009-02-11,1800463.0,-8117.0
2009-02-18,1872272.0,71809.0
2009-02-25,1874354.0,2082.0
2009-03-04,1859827.0,-14527.0
2009-03-11,1857414.0,-2413.0
2009-03-18,2025490.0,168076.0
2009-03-25,2029627.0,4137.0
2009-04-01,2032104.0,2477.0
2009-04-08,2046310.0,14206.0
2009-04-15,2144275.0,97965.0
2009-04-22,2154256.0,9981.0
2009-04-29,2024518.0,-129738.0
2009-05-06,2036642.0,12124.0
2009-05-13,2153490.0,116848.0
2009-05-20,2139056.0,-14434.0
2009-05-27,2038582.0,-100474.0
2009-06-03,2034249.0,-4333.0
2009-06-10,2009877.0,-24372.0
2009-06-17,2030095.0,20218.0
2009-06-24,1983100.0,-46995.0
2009-07-01,1962472.0,-20628.0
2009-07-08,1949967.0,-12505.0
2009-07-15,2029565.0,79598.0
2009-07-22,1996436.0,-33129.0
2009-07-29,1958133.0,-38303.0
2009-08-05,1946010.0,-12123.0
2009-08-12,1972442.0,26432.0
2009-08-19,1999564.0,27122.0
2009-08-26,2032384.0,32820.0
2009-09-02,2040424.0,8040.0
2009-09-09,2043750.0,3326.0
2009-09-16,2096290.0,52540.0
2009-09-23,2112089.0,15799.0
2009-09-30,2094249.0,-17840.0
2009-10-07,2091022.0,-3227.0
2009-10-14,2144901.0,53879.0
2009-10-21,2154038.0,9137.0
2009-10-28,2114271.0,-39767.0
2009-11-04,2117711.0,3440.0
2009-11-11,2088463.0,-29248.0
2009-11-18,2161960.0,73497.0
2009-11-25,2159119.0,-2841.0
2009-12-02,2156663.0,-2456.0
2009-12-09,2139150.0,-17513.0
2009-12-16,2188922.0,49772.0
2009-12-23,2194784.0,5862.0
2009-12-30,2188216.0,-6568.0
2010-01-06,2187703.0,-513.0
2010-01-13,2244814.0,57111.0
2010-01-20,2204544.0,-40270.0
