Date,Values,Delta Calculations
1989-03-22,8.133, 
1989-03-29,8.103,-0.02999999999999936
1989-04-05,7.726,-0.3769999999999998
1989-04-12,7.777,0.051000000000000156
1989-04-19,8.236,0.4590000000000005
1989-04-26,8.22,-0.016000000000000014
1989-05-03,8.882,0.661999999999999
1989-05-10,8.826,-0.05599999999999916
1989-05-17,8.628,-0.1980000000000004
1989-05-24,8.243,-0.3849999999999998
1989-05-31,8.072,-0.17099999999999937
1989-06-07,7.74,-0.33200000000000074
1989-06-14,8.26,0.5199999999999996
1989-06-21,8.169,-0.0909999999999993
1989-06-28,8.216,0.0470000000000006
1989-07-05,8.165,-0.05100000000000193
1989-07-12,8.331,0.16600000000000037
1989-07-19,7.915,-0.4159999999999995
1989-07-26,7.818,-0.09700000000000042
1989-08-02,8.116,0.29800000000000004
1989-08-09,8.618,0.5020000000000007
1989-08-16,7.766,-0.8520000000000003
1989-08-23,7.667,-0.09899999999999931
1989-08-30,7.687,0.019999999999999574
1989-09-06,7.077,-0.6099999999999994
1989-09-13,7.378,0.3009999999999984
1989-09-20,7.619,0.24100000000000055
1989-09-27,7.743,0.12399999999999967
1989-10-04,8.654,0.9110000000000005
1989-10-11,8.591,-0.06299999999999883
1989-10-18,7.825,-0.7660000000000009
1989-10-25,7.654,-0.17100000000000026
1989-11-01,7.891,0.2370000000000001
1989-11-08,8.078,0.1869999999999994
1989-11-15,7.716,-0.3619999999999992
1989-11-22,7.651,-0.06500000000000039
1989-11-29,7.912,0.261000000000001
1989-12-06,8.464,0.5519999999999996
1989-12-13,8.458,-0.006000000000000227
1989-12-20,7.839,-0.6190000000000007
1989-12-27,8.14,0.30100000000000104
1990-01-03,8.484,0.3439999999999994
1990-01-10,8.872,0.3879999999999999
1990-01-17,8.949,0.07699999999999996
1990-01-24,9.021,0.07200000000000095
1990-01-31,9.011,-0.009999999999999787
1990-02-07,8.867,-0.14400000000000013
1990-02-14,8.829,-0.038000000000000256
1990-02-21,8.985,0.1559999999999988
1990-02-28,8.973,-0.012000000000000455
1990-03-07,8.76,-0.2129999999999992
1990-03-14,9.005,0.245000000000001
1990-03-21,9.18,0.17499999999999893
1990-03-28,9.172,-0.007999999999999119
1990-04-04,8.567,-0.6050000000000004
