Date,Values,Delta Calculations
1992-07-03,0.344, 
1992-07-10,0.326,-0.01799999999999996
1992-07-17,0.336,0.010000000000000009
1992-07-24,0.343,0.006999999999999951
1992-07-31,0.355,0.01200000000000001
1992-08-07,0.356,0.0010000000000000564
1992-08-14,0.349,-0.007000000000000062
1992-08-21,0.351,0.0020000000000000573
1992-08-28,0.356,0.0050000000000000044
1992-09-04,0.367,0.01100000000000001
1992-09-11,0.378,0.010999999999999899
1992-09-18,0.38,0.0020000000000000573
1992-09-25,0.375,-0.0050000000000000044
1992-10-02,0.372,-0.002999999999999947
1992-10-09,0.364,-0.008000000000000063
1992-10-16,0.356,-0.007999999999999952
1992-10-23,0.354,-0.0020000000000000573
1992-10-30,0.336,-0.01799999999999996
1992-11-06,0.342,0.006000000000000005
1992-11-13,0.327,-0.015000000000000013
1992-11-20,0.322,-0.0050000000000000044
1992-11-27,0.316,-0.006000000000000005
1992-12-04,0.3,-0.016000000000000014
1992-12-11,0.299,-0.0010000000000000009
1992-12-18,0.307,0.008000000000000007
1992-12-25,0.332,0.025000000000000022
1993-01-01,0.329,-0.003000000000000058
1993-01-08,0.333,0.0040000000000000036
1993-01-15,0.356,0.023000000000000076
1993-01-22,0.33,-0.026000000000000023
1993-01-29,0.33,0.0
1993-02-05,0.323,-0.007000000000000062
1993-02-12,0.327,0.004000000000000059
1993-02-19,0.326,-0.0010000000000000009
1993-02-26,0.342,0.016000000000000014
1993-03-05,0.331,-0.01100000000000001
1993-03-12,0.334,0.002999999999999947
1993-03-19,0.347,0.013000000000000067
1993-03-26,0.351,0.0040000000000000036
1993-04-02,0.347,-0.0040000000000000036
1993-04-09,0.348,0.0009999999999999454
1993-04-16,0.349,0.0010000000000000009
1993-04-23,0.341,-0.007999999999999952
1993-04-30,0.337,-0.0040000000000000036
1993-05-07,0.332,-0.0050000000000000044
1993-05-14,0.325,-0.007000000000000006
1993-05-21,0.329,0.003999999999999948
1993-05-28,0.326,-0.002999999999999947
1993-06-04,0.323,-0.003000000000000058
1993-06-11,0.328,0.0050000000000000044
1993-06-18,0.331,0.003000000000000058
1993-06-25,0.329,-0.0020000000000000573
1993-07-02,0.328,-0.0010000000000000009
1993-07-09,0.325,-0.002999999999999947
1993-07-16,0.313,-0.01200000000000001
1993-07-23,0.307,-0.006000000000000005
1993-07-30,0.309,0.0020000000000000018
1993-08-06,0.307,-0.0020000000000000018
1993-08-13,0.301,-0.006000000000000005
1993-08-20,0.307,0.006000000000000005
1993-08-27,0.305,-0.0020000000000000018
1993-09-03,0.306,0.0010000000000000009
1993-09-10,0.299,-0.007000000000000006
1993-09-17,0.295,-0.0040000000000000036
1993-09-24,0.297,0.0020000000000000018
1993-10-01,0.305,0.008000000000000007
1993-10-08,0.306,0.0010000000000000009
1993-10-15,0.299,-0.007000000000000006
1993-10-22,0.288,-0.010999999999999954
1993-10-29,0.276,-0.01200000000000001
1993-11-05,0.284,0.007999999999999952
1993-11-12,0.28,-0.003999999999999948
1993-11-19,0.267,-0.013000000000000012
1993-11-26,0.275,0.008000000000000007
1993-12-03,0.257,-0.018000000000000016
1993-12-10,0.239,-0.018000000000000016
1993-12-17,0.237,-0.0020000000000000018
1993-12-24,0.249,0.01200000000000001
1993-12-31,0.253,0.0040000000000000036
1994-01-07,0.254,0.0010000000000000009
1994-01-14,0.26,0.006000000000000005
1994-01-21,0.267,0.007000000000000006
1994-01-28,0.268,0.0010000000000000009
1994-02-04,0.303,0.034999999999999976
1994-02-11,0.293,-0.010000000000000009
1994-02-18,0.277,-0.016000000000000014
1994-02-25,0.287,0.010000000000000009
1994-03-04,0.282,-0.0050000000000000044
1994-03-11,0.28,-0.0019999999999999463
1994-03-18,0.288,0.008000000000000007
1994-03-25,0.289,0.0009999999999999454
1994-04-01,0.28,-0.008999999999999952
1994-04-08,0.286,0.006000000000000005
1994-04-15,0.285,-0.0010000000000000564
1994-04-22,0.289,0.0040000000000000036
1994-04-29,0.295,0.006000000000000005
1994-05-06,0.297,0.0020000000000000018
1994-05-13,0.304,0.007000000000000006
1994-05-20,0.295,-0.009000000000000008
1994-05-27,0.291,-0.003999999999999948
1994-06-03,0.288,-0.0030000000000000027
1994-06-10,0.287,-0.0010000000000000564
1994-06-17,0.287,0.0
1994-06-24,0.292,0.0050000000000000044
1994-07-01,0.286,-0.00599999999999995
1994-07-08,0.289,0.002999999999999947
1994-07-15,0.293,0.0040000000000000036
1994-07-22,0.291,-0.0019999999999999463
1994-07-29,0.297,0.00599999999999995
1994-08-05,0.304,0.007000000000000006
1994-08-12,0.303,-0.0010000000000000009
1994-08-19,0.301,-0.0020000000000000018
1994-08-26,0.296,-0.004999999999999949
1994-09-02,0.294,-0.0020000000000000573
1994-09-09,0.298,0.0040000000000000036
1994-09-16,0.298,0.0
1994-09-23,0.298,0.0
1994-09-30,0.304,0.006000000000000005
1994-10-07,0.32,0.016000000000000014
1994-10-14,0.325,0.0050000000000000044
1994-10-21,0.324,-0.0010000000000000009
1994-10-28,0.326,0.0020000000000000018
1994-11-04,0.337,0.01100000000000001
1994-11-11,0.339,0.0019999999999999463
1994-11-18,0.346,0.007000000000000062
1994-11-25,0.352,0.006000000000000005
1994-12-02,0.346,-0.006000000000000005
1994-12-09,0.332,-0.014000000000000012
1994-12-16,0.343,0.010999999999999954
1994-12-23,0.329,-0.014000000000000012
1994-12-30,0.329,0.0
1995-01-06,0.341,0.012000000000000066
1995-01-13,0.327,-0.014000000000000012
1995-01-20,0.33,0.0030000000000000027
1995-01-27,0.323,-0.007000000000000062
1995-02-03,0.305,-0.01799999999999996
1995-02-10,0.312,0.007000000000000006
1995-02-17,0.315,0.0030000000000000027
1995-02-24,0.324,0.009000000000000008
1995-03-03,0.334,0.009999999999999953
1995-03-10,0.327,-0.006999999999999951
1995-03-17,0.332,0.0050000000000000044
1995-03-24,0.322,-0.010000000000000009
1995-03-31,0.323,0.0009999999999999454
1995-04-07,0.32,-0.002999999999999947
1995-04-14,0.319,-0.0010000000000000009
1995-04-21,0.321,0.0020000000000000018
1995-04-28,0.331,0.010000000000000009
1995-05-05,0.335,0.0040000000000000036
1995-05-12,0.329,-0.006000000000000061
1995-05-19,0.328,-0.0010000000000000009
1995-05-26,0.321,-0.006999999999999951
1995-06-02,0.321,0.0
1995-06-09,0.324,0.0030000000000000027
1995-06-16,0.319,-0.0050000000000000044
1995-06-23,0.311,-0.008000000000000007
1995-06-30,0.315,0.0040000000000000036
1995-07-07,0.31,-0.0050000000000000044
1995-07-14,0.307,-0.0030000000000000027
1995-07-21,0.306,-0.0010000000000000009
1995-07-28,0.309,0.0030000000000000027
1995-08-04,0.317,0.008000000000000007
