Date,Values,Delta Calculations
2007-07-04,10827.0, 
2007-07-11,10222.0,-605.0
2007-07-18,9832.0,-390.0
2007-07-25,10092.0,260.0
2007-08-01,10360.0,268.0
2007-08-08,10530.0,170.0
2007-08-15,11699.0,1169.0
2007-08-22,12526.0,827.0
2007-08-29,12123.0,-403.0
2007-09-05,12923.0,800.0
2007-09-12,12331.0,-592.0
2007-09-19,12175.0,-156.0
2007-09-26,12651.0,476.0
2007-10-03,11942.0,-709.0
2007-10-10,11938.0,-4.0
2007-10-17,11662.0,-276.0
2007-10-24,12186.0,524.0
2007-10-31,11836.0,-350.0
2007-11-07,12091.0,255.0
2007-11-14,11938.0,-153.0
2007-11-21,9921.0,-2017.0
2007-11-28,9746.0,-175.0
2007-12-05,9716.0,-30.0
2007-12-12,10289.0,573.0
2007-12-19,11057.0,768.0
2007-12-26,11057.0,0.0
2008-01-02,11007.0,-50.0
2008-01-09,11207.0,200.0
2008-01-16,11278.0,71.0
2008-01-23,11485.0,207.0
2008-01-30,14227.0,2742.0
2008-02-06,14114.0,-113.0
2008-02-13,13888.0,-226.0
2008-02-20,13922.0,34.0
2008-02-27,14879.0,957.0
2008-03-05,14454.0,-425.0
2008-03-12,14951.0,497.0
2008-03-19,15101.0,150.0
2008-03-26,15271.0,170.0
2008-04-02,14833.0,-438.0
2008-04-09,14620.0,-213.0
2008-04-16,14491.0,-129.0
2008-04-23,14554.0,63.0
2008-04-30,14606.0,52.0
2008-05-07,14038.0,-568.0
2008-05-14,13563.0,-475.0
2008-05-21,13727.0,164.0
2008-05-28,13876.0,149.0
2008-06-04,13151.0,-725.0
2008-06-11,13741.0,590.0
2008-06-18,13948.0,207.0
2008-06-25,14042.0,94.0
2008-07-02,13967.0,-75.0
2008-07-09,13892.0,-75.0
2008-07-16,13882.0,-10.0
2008-07-23,13792.0,-90.0
2008-07-30,13775.0,-17.0
2008-08-06,13797.0,22.0
2008-08-13,14337.0,540.0
2008-08-20,14730.0,393.0
2008-08-27,14858.0,128.0
2008-09-03,15082.0,224.0
2008-09-10,15172.0,90.0
2008-09-17,15042.0,-130.0
2008-09-24,14992.0,-50.0
2008-10-01,15367.0,375.0
2008-10-08,15115.0,-252.0
2008-10-15,15310.0,195.0
2008-10-22,17325.0,2015.0
2008-10-29,17825.0,500.0
2008-11-05,17296.0,-529.0
2008-11-12,16896.0,-400.0
2008-11-19,17229.0,333.0
2008-11-26,17679.0,450.0
2008-12-03,16458.0,-1221.0
2008-12-10,16245.0,-213.0
2008-12-17,16802.0,557.0
2008-12-24,17552.0,750.0
2008-12-31,17577.0,25.0
2009-01-07,17782.0,205.0
2009-01-14,17818.0,36.0
2009-01-21,18143.0,325.0
2009-01-28,18327.0,184.0
2009-02-04,18542.0,215.0
2009-02-11,18862.0,320.0
2009-02-18,18601.0,-261.0
2009-02-25,18184.0,-417.0
2009-03-04,17666.0,-518.0
2009-03-11,18396.0,730.0
2009-03-18,17835.0,-561.0
2009-03-25,18116.0,281.0
2009-04-01,19531.0,1415.0
2009-04-08,19583.0,52.0
2009-04-15,19613.0,30.0
2009-04-22,21401.0,1788.0
2009-04-29,21004.0,-397.0
2009-05-06,20398.0,-606.0
2009-05-13,20368.0,-30.0
2009-05-20,20365.0,-3.0
2009-05-27,20054.0,-311.0
2009-06-03,19164.0,-890.0
2009-06-10,19066.0,-98.0
2009-06-17,19020.0,-46.0
2009-06-24,19275.0,255.0
2009-07-01,18259.0,-1016.0
2009-07-08,18191.0,-68.0
2009-07-15,18041.0,-150.0
2009-07-22,17987.0,-54.0
2009-07-29,18597.0,610.0
2009-08-05,18152.0,-445.0
2009-08-12,17691.0,-461.0
2009-08-19,17886.0,195.0
2009-08-26,17516.0,-370.0
2009-09-02,16877.0,-639.0
2009-09-09,17627.0,750.0
2009-09-16,20710.0,3083.0
2009-09-23,20941.0,231.0
2009-09-30,20720.0,-221.0
2009-10-07,19968.0,-752.0
2009-10-14,19628.0,-340.0
2009-10-21,18854.0,-774.0
2009-10-28,18660.0,-194.0
2009-11-04,18647.0,-13.0
2009-11-11,18509.0,-138.0
2009-11-18,18706.0,197.0
2009-11-25,19174.0,468.0
2009-12-02,19002.0,-172.0
2009-12-09,18794.0,-208.0
2009-12-16,18264.0,-530.0
2009-12-23,18146.0,-118.0
