Date,Values,Delta Calculations
2002-12-18,626469.0, 
2002-12-25,629400.0,2931.0
2003-01-01,629405.0,5.0
2003-01-08,629406.0,1.0
2003-01-15,629406.0,0.0
2003-01-22,629406.0,0.0
2003-01-29,629406.0,0.0
2003-02-05,629405.0,-1.0
2003-02-12,629941.0,536.0
2003-02-19,630999.0,1058.0
2003-02-26,634922.0,3923.0
2003-03-05,636863.0,1941.0
2003-03-12,638576.0,1713.0
2003-03-19,639507.0,931.0
2003-03-26,640119.0,612.0
2003-04-02,641301.0,1182.0
2003-04-09,643930.0,2629.0
2003-04-16,645659.0,1729.0
2003-04-23,646842.0,1183.0
2003-04-30,647047.0,205.0
2003-05-07,647409.0,362.0
2003-05-14,647807.0,398.0
2003-05-21,650393.0,2586.0
2003-05-28,650842.0,449.0
2003-06-04,651192.0,350.0
2003-06-11,651575.0,383.0
2003-06-18,651773.0,198.0
2003-06-25,651950.0,177.0
2003-07-02,652152.0,202.0
2003-07-09,652433.0,281.0
2003-07-16,652528.0,95.0
2003-07-23,652754.0,226.0
2003-07-30,652833.0,79.0
2003-08-06,652986.0,153.0
2003-08-13,653062.0,76.0
2003-08-20,653436.0,374.0
2003-08-27,653634.0,198.0
2003-09-03,653871.0,237.0
2003-09-10,654515.0,644.0
2003-09-17,655757.0,1242.0
2003-09-24,655980.0,223.0
2003-10-01,656109.0,129.0
2003-10-08,656232.0,123.0
2003-10-15,656406.0,174.0
2003-10-22,656615.0,209.0
2003-10-29,657956.0,1341.0
2003-11-05,658803.0,847.0
2003-11-12,660203.0,1400.0
2003-11-19,661953.0,1750.0
2003-11-26,663489.0,1536.0
2003-12-03,664689.0,1200.0
2003-12-10,665479.0,790.0
2003-12-17,665893.0,414.0
2003-12-24,666034.0,141.0
2003-12-31,666402.0,368.0
2004-01-07,666704.0,302.0
2004-01-14,666798.0,94.0
2004-01-21,666827.0,29.0
2004-01-28,667029.0,202.0
2004-02-04,667262.0,233.0
2004-02-11,668702.0,1440.0
2004-02-18,670117.0,1415.0
2004-02-25,670909.0,792.0
2004-03-03,671586.0,677.0
2004-03-10,672592.0,1006.0
2004-03-17,673086.0,494.0
2004-03-24,673518.0,432.0
2004-03-31,674037.0,519.0
2004-04-07,674201.0,164.0
2004-04-14,674520.0,319.0
2004-04-21,674786.0,266.0
2004-04-28,675539.0,753.0
2004-05-05,677738.0,2199.0
2004-05-12,677826.0,88.0
2004-05-19,679574.0,1748.0
2004-05-26,680027.0,453.0
2004-06-02,681468.0,1441.0
2004-06-09,683066.0,1598.0
2004-06-16,684980.0,1914.0
2004-06-23,685043.0,63.0
2004-06-30,687099.0,2056.0
2004-07-07,687668.0,569.0
2004-07-14,689774.0,2106.0
2004-07-21,692281.0,2507.0
2004-07-28,693510.0,1229.0
2004-08-04,693728.0,218.0
2004-08-11,693741.0,13.0
2004-08-18,694041.0,300.0
2004-08-25,694794.0,753.0
2004-09-01,694851.0,57.0
2004-09-08,694871.0,20.0
2004-09-15,695563.0,692.0
2004-09-22,697024.0,1461.0
2004-09-29,698602.0,1578.0
2004-10-06,700691.0,2089.0
2004-10-13,701602.0,911.0
2004-10-20,702661.0,1059.0
2004-10-27,705165.0,2504.0
2004-11-03,707023.0,1858.0
