Date,Values,Delta Calculations
2002-12-18,629397.0, 
2002-12-25,629402.0,5.0
2003-01-01,629406.0,4.0
2003-01-08,629406.0,0.0
2003-01-15,629406.0,0.0
2003-01-22,629406.0,0.0
2003-01-29,629406.0,0.0
2003-02-05,629401.0,-5.0
2003-02-12,630947.0,1546.0
2003-02-19,631263.0,316.0
2003-02-26,635996.0,4733.0
2003-03-05,637139.0,1143.0
2003-03-12,638714.0,1575.0
2003-03-19,639889.0,1175.0
2003-03-26,640891.0,1002.0
2003-04-02,641472.0,581.0
2003-04-09,645074.0,3602.0
2003-04-16,646785.0,1711.0
2003-04-23,646891.0,106.0
2003-04-30,647271.0,380.0
2003-05-07,647570.0,299.0
2003-05-14,647937.0,367.0
2003-05-21,650725.0,2788.0
2003-05-28,650859.0,134.0
2003-06-04,651403.0,544.0
2003-06-11,651603.0,200.0
2003-06-18,651922.0,319.0
2003-06-25,651993.0,71.0
2003-07-02,652353.0,360.0
2003-07-09,652451.0,98.0
2003-07-16,652690.0,239.0
2003-07-23,652827.0,137.0
2003-07-30,652856.0,29.0
2003-08-06,653024.0,168.0
2003-08-13,653278.0,254.0
2003-08-20,653516.0,238.0
2003-08-27,653671.0,155.0
2003-09-03,653931.0,260.0
2003-09-10,655592.0,1661.0
2003-09-17,655943.0,351.0
2003-09-24,655993.0,50.0
2003-10-01,656186.0,193.0
2003-10-08,656270.0,84.0
2003-10-15,656489.0,219.0
2003-10-22,656754.0,265.0
2003-10-29,658672.0,1918.0
2003-11-05,658875.0,203.0
2003-11-12,660279.0,1404.0
2003-11-19,662703.0,2424.0
2003-11-26,664515.0,1812.0
2003-12-03,665232.0,717.0
2003-12-10,665610.0,378.0
2003-12-17,665953.0,343.0
2003-12-24,666216.0,263.0
2003-12-31,666665.0,449.0
2004-01-07,666720.0,55.0
2004-01-14,666798.0,78.0
2004-01-21,666832.0,34.0
2004-01-28,667060.0,228.0
2004-02-04,667292.0,232.0
2004-02-11,669851.0,2559.0
2004-02-18,670786.0,935.0
2004-02-25,671527.0,741.0
2004-03-03,671632.0,105.0
2004-03-10,673039.0,1407.0
2004-03-17,673153.0,114.0
2004-03-24,673995.0,842.0
2004-03-31,674084.0,89.0
2004-04-07,674294.0,210.0
2004-04-14,674717.0,423.0
2004-04-21,674937.0,220.0
2004-04-28,676383.0,1446.0
2004-05-05,677811.0,1428.0
2004-05-12,677835.0,24.0
2004-05-19,679618.0,1783.0
2004-05-26,680633.0,1015.0
2004-06-02,681483.0,850.0
2004-06-09,683932.0,2449.0
2004-06-16,684993.0,1061.0
2004-06-23,685177.0,184.0
2004-06-30,687391.0,2214.0
2004-07-07,687893.0,502.0
2004-07-14,690309.0,2416.0
2004-07-21,692299.0,1990.0
2004-07-28,693717.0,1418.0
2004-08-04,693734.0,17.0
2004-08-11,693746.0,12.0
2004-08-18,694760.0,1014.0
2004-08-25,694840.0,80.0
2004-09-01,694858.0,18.0
2004-09-08,694869.0,11.0
2004-09-15,695703.0,834.0
2004-09-22,698161.0,2458.0
2004-09-29,698617.0,456.0
2004-10-06,701586.0,2969.0
2004-10-13,701617.0,31.0
2004-10-20,702813.0,1196.0
2004-10-27,706730.0,3917.0
2004-11-03,708130.0,1400.0
2004-11-10,708909.0,779.0
2004-11-17,710134.0,1225.0
2004-11-24,711595.0,1461.0
2004-12-01,712891.0,1296.0
2004-12-08,717072.0,4181.0
2004-12-15,717661.0,589.0
2004-12-22,717682.0,21.0
2004-12-29,717813.0,131.0
2005-01-05,717821.0,8.0
2005-01-12,717823.0,2.0
2005-01-19,717825.0,2.0
2005-01-26,717827.0,2.0
2005-02-02,717898.0,71.0
2005-02-09,717879.0,-19.0
2005-02-16,717859.0,-20.0
2005-02-23,717839.0,-20.0
2005-03-02,717495.0,-344.0
2005-03-09,717505.0,10.0
2005-03-16,717515.0,10.0
2005-03-23,717526.0,11.0
2005-03-30,717536.0,10.0
2005-04-06,717351.0,-185.0
2005-04-13,717380.0,29.0
2005-04-20,717409.0,29.0
2005-04-27,718638.0,1229.0
2005-05-04,719372.0,734.0
2005-05-11,721565.0,2193.0
2005-05-18,721629.0,64.0
2005-05-25,722992.0,1363.0
2005-06-01,725426.0,2434.0
2005-06-08,725460.0,34.0
2005-06-15,725495.0,35.0
2005-06-22,725987.0,492.0
2005-06-29,726022.0,35.0
2005-07-06,724717.0,-1305.0
2005-07-13,724712.0,-5.0
2005-07-20,724707.0,-5.0
2005-07-27,724702.0,-5.0
2005-08-03,724700.0,-2.0
2005-08-10,724703.0,3.0
2005-08-17,727339.0,2636.0
2005-08-24,729579.0,2240.0
2005-08-31,730380.0,801.0
2005-09-07,730418.0,38.0
2005-09-14,733268.0,2850.0
2005-09-21,733388.0,120.0
2005-09-28,736082.0,2694.0
2005-10-05,737592.0,1510.0
2005-10-12,737672.0,80.0
2005-10-19,738015.0,343.0
2005-10-26,739542.0,1527.0
