Date,Values,Delta Calculations
2001-08-03,3.6, 
2001-08-10,3.56,-0.040000000000000036
2001-08-17,3.46,-0.10000000000000009
2001-08-24,3.43,-0.029999999999999805
2001-08-31,3.42,-0.010000000000000231
2001-09-07,3.39,-0.029999999999999805
2001-09-14,2.84,-0.5500000000000003
2001-09-21,2.15,-0.69
2001-09-28,2.38,0.22999999999999998
2001-10-05,2.2,-0.17999999999999972
2001-10-12,2.26,0.05999999999999961
2001-10-19,2.29,0.03000000000000025
2001-10-26,2.26,-0.03000000000000025
2001-11-02,2.14,-0.11999999999999966
2001-11-09,1.94,-0.20000000000000018
2001-11-16,1.96,0.020000000000000018
2001-11-23,1.99,0.030000000000000027
2001-11-30,1.92,-0.07000000000000006
2001-12-07,1.74,-0.17999999999999994
2001-12-14,1.66,-0.08000000000000007
2001-12-21,1.66,0.0
2001-12-28,1.7,0.040000000000000036
2002-01-04,1.69,-0.010000000000000009
2002-01-11,1.65,-0.040000000000000036
2002-01-18,1.59,-0.05999999999999983
2002-01-25,1.66,0.06999999999999984
2002-02-01,1.67,0.010000000000000009
2002-02-08,1.68,0.010000000000000009
2002-02-15,1.71,0.030000000000000027
2002-02-22,1.72,0.010000000000000009
2002-03-01,1.74,0.020000000000000018
2002-03-08,1.74,0.0
2002-03-15,1.77,0.030000000000000027
2002-03-22,1.76,-0.010000000000000009
2002-03-29,1.75,-0.010000000000000009
2002-04-05,1.75,0.0
2002-04-12,1.7,-0.050000000000000044
2002-04-19,1.67,-0.030000000000000027
2002-04-26,1.65,-0.020000000000000018
2002-05-03,1.72,0.07000000000000006
2002-05-10,1.72,0.0
2002-05-17,1.73,0.010000000000000009
2002-05-24,1.69,-0.040000000000000036
2002-05-31,1.7,0.010000000000000009
2002-06-07,1.71,0.010000000000000009
2002-06-14,1.7,-0.010000000000000009
2002-06-21,1.66,-0.040000000000000036
2002-06-28,1.67,0.010000000000000009
2002-07-05,1.68,0.010000000000000009
2002-07-12,1.69,0.010000000000000009
2002-07-19,1.69,0.0
2002-07-26,1.69,0.0
2002-08-02,1.68,-0.010000000000000009
2002-08-09,1.66,-0.020000000000000018
2002-08-16,1.65,-0.010000000000000009
2002-08-23,1.65,0.0
2002-08-30,1.68,0.030000000000000027
2002-09-06,1.66,-0.020000000000000018
2002-09-13,1.67,0.010000000000000009
2002-09-20,1.64,-0.030000000000000027
2002-09-27,1.64,0.0
2002-10-04,1.58,-0.05999999999999983
2002-10-11,1.58,0.0
2002-10-18,1.63,0.04999999999999982
2002-10-25,1.65,0.020000000000000018
2002-11-01,1.51,-0.1399999999999999
2002-11-08,1.28,-0.22999999999999998
2002-11-15,1.2,-0.08000000000000007
2002-11-22,1.21,0.010000000000000009
2002-11-29,1.24,0.030000000000000027
2002-12-06,1.22,-0.020000000000000018
2002-12-13,1.2,-0.020000000000000018
2002-12-20,1.18,-0.020000000000000018
2002-12-27,1.11,-0.06999999999999984
2003-01-03,1.16,0.04999999999999982
2003-01-10,1.15,-0.010000000000000009
2003-01-17,1.15,0.0
2003-01-24,1.14,-0.010000000000000009
2003-01-31,1.15,0.010000000000000009
2003-02-07,1.15,0.0
2003-02-14,1.16,0.010000000000000009
2003-02-21,1.17,0.010000000000000009
2003-02-28,1.21,0.040000000000000036
2003-03-07,1.18,-0.030000000000000027
2003-03-14,1.13,-0.050000000000000044
2003-03-21,1.16,0.030000000000000027
2003-03-28,1.16,0.0
2003-04-04,1.15,-0.010000000000000009
2003-04-11,1.16,0.010000000000000009
2003-04-18,1.14,-0.020000000000000018
2003-04-25,1.12,-0.019999999999999796
2003-05-02,1.09,-0.030000000000000027
2003-05-09,1.06,-0.030000000000000027
2003-05-16,0.98,-0.08000000000000007
2003-05-23,1.07,0.09000000000000008
2003-05-30,1.17,0.09999999999999987
2003-06-06,1.13,-0.040000000000000036
2003-06-13,1.04,-0.08999999999999986
2003-06-20,0.87,-0.17000000000000004
2003-06-27,0.83,-0.040000000000000036
2003-07-04,0.84,0.010000000000000009
2003-07-11,0.88,0.040000000000000036
2003-07-18,0.84,-0.040000000000000036
2003-07-25,0.88,0.040000000000000036
2003-08-01,0.92,0.040000000000000036
2003-08-08,0.9,-0.020000000000000018
2003-08-15,0.92,0.020000000000000018
2003-08-22,0.94,0.019999999999999907
2003-08-29,0.97,0.030000000000000027
2003-09-05,0.95,-0.020000000000000018
2003-09-12,0.92,-0.029999999999999916
2003-09-19,0.88,-0.040000000000000036
2003-09-26,0.86,-0.020000000000000018
2003-10-03,0.85,-0.010000000000000009
2003-10-10,0.86,0.010000000000000009
2003-10-17,0.88,0.020000000000000018
2003-10-24,0.9,0.020000000000000018
2003-10-31,0.95,0.04999999999999993
2003-11-07,0.94,-0.010000000000000009
2003-11-14,0.9,-0.039999999999999925
2003-11-21,0.92,0.020000000000000018
2003-11-28,0.94,0.019999999999999907
2003-12-05,0.93,-0.009999999999999898
2003-12-12,0.89,-0.040000000000000036
2003-12-19,0.85,-0.040000000000000036
2003-12-26,0.83,-0.020000000000000018
2004-01-02,0.84,0.010000000000000009
2004-01-09,0.86,0.020000000000000018
2004-01-16,0.83,-0.030000000000000027
2004-01-23,0.77,-0.05999999999999994
2004-01-30,0.84,0.06999999999999995
2004-02-06,0.88,0.040000000000000036
2004-02-13,0.88,0.0
2004-02-20,0.9,0.020000000000000018
2004-02-27,0.94,0.039999999999999925
2004-03-05,0.96,0.020000000000000018
2004-03-12,0.95,-0.010000000000000009
2004-03-19,0.93,-0.019999999999999907
2004-03-26,0.94,0.009999999999999898
2004-04-02,0.94,0.0
2004-04-09,0.93,-0.009999999999999898
2004-04-16,0.91,-0.020000000000000018
2004-04-23,0.88,-0.030000000000000027
2004-04-30,0.85,-0.030000000000000027
2004-05-07,0.87,0.020000000000000018
2004-05-14,0.87,0.0
2004-05-21,0.89,0.020000000000000018
2004-05-28,0.92,0.030000000000000027
2004-06-04,0.94,0.019999999999999907
2004-06-11,0.99,0.050000000000000044
2004-06-18,1.02,0.030000000000000027
2004-06-25,1.05,0.030000000000000027
2004-07-02,1.09,0.040000000000000036
2004-07-09,1.11,0.020000000000000018
2004-07-16,1.14,0.029999999999999805
2004-07-23,1.18,0.040000000000000036
2004-07-30,1.28,0.10000000000000009
2004-08-06,1.31,0.030000000000000027
2004-08-13,1.35,0.040000000000000036
2004-08-20,1.33,-0.020000000000000018
2004-08-27,1.36,0.030000000000000027
2004-09-03,1.43,0.06999999999999984
2004-09-10,1.54,0.1100000000000001
2004-09-17,1.54,0.0
2004-09-24,1.53,-0.010000000000000009
2004-10-01,1.51,-0.020000000000000018
2004-10-08,1.53,0.020000000000000018
2004-10-15,1.56,0.030000000000000027
2004-10-22,1.59,0.030000000000000027
2004-10-29,1.72,0.1299999999999999
2004-11-05,1.8,0.08000000000000007
2004-11-12,1.85,0.050000000000000044
2004-11-19,1.87,0.020000000000000018
2004-11-26,1.95,0.07999999999999985
