Date,Values,Delta Calculations
2002-12-18,744915.0, 
2002-12-25,754835.0,9920.0
2003-01-01,755244.0,409.0
2003-01-08,748652.0,-6592.0
2003-01-15,745616.0,-3036.0
2003-01-22,758015.0,12399.0
2003-01-29,739063.0,-18952.0
2003-02-05,743124.0,4061.0
2003-02-12,739279.0,-3845.0
2003-02-19,753891.0,14612.0
2003-02-26,747877.0,-6014.0
2003-03-05,747309.0,-568.0
2003-03-12,742143.0,-5166.0
2003-03-19,756153.0,14010.0
2003-03-26,750693.0,-5460.0
2003-04-02,756976.0,6283.0
2003-04-09,752086.0,-4890.0
2003-04-16,770873.0,18787.0
2003-04-23,757272.0,-13601.0
2003-04-30,771803.0,14531.0
2003-05-07,757807.0,-13996.0
2003-05-14,766602.0,8795.0
2003-05-21,760735.0,-5867.0
2003-05-28,769380.0,8645.0
2003-06-04,756538.0,-12842.0
2003-06-11,769450.0,12912.0
2003-06-18,761855.0,-7595.0
2003-06-25,770919.0,9064.0
2003-07-02,764534.0,-6385.0
2003-07-09,769977.0,5443.0
2003-07-16,764147.0,-5830.0
2003-07-23,772172.0,8025.0
2003-07-30,766176.0,-5996.0
2003-08-06,759635.0,-6541.0
2003-08-13,761948.0,2313.0
2003-08-20,777698.0,15750.0
2003-08-27,767645.0,-10053.0
2003-09-03,773482.0,5837.0
2003-09-10,763646.0,-9836.0
2003-09-17,770320.0,6674.0
2003-09-24,768284.0,-2036.0
2003-10-01,779161.0,10877.0
2003-10-08,763720.0,-15441.0
2003-10-15,777216.0,13496.0
2003-10-22,770515.0,-6701.0
2003-10-29,775103.0,4588.0
2003-11-05,770374.0,-4729.0
2003-11-12,773626.0,3252.0
2003-11-19,771707.0,-1919.0
2003-11-26,783975.0,12268.0
2003-12-03,777027.0,-6948.0
2003-12-10,783274.0,6247.0
2003-12-17,780518.0,-2756.0
2003-12-24,792855.0,12337.0
2003-12-31,798823.0,5968.0
2004-01-07,781868.0,-16955.0
2004-01-14,779853.0,-2015.0
2004-01-21,799167.0,19314.0
2004-01-28,781993.0,-17174.0
2004-02-04,780324.0,-1669.0
2004-02-11,778571.0,-1753.0
2004-02-18,782659.0,4088.0
2004-02-25,778113.0,-4546.0
2004-03-03,781004.0,2891.0
2004-03-10,778408.0,-2596.0
2004-03-17,788923.0,10515.0
2004-03-24,780210.0,-8713.0
2004-03-31,789431.0,9221.0
2004-04-07,782256.0,-7175.0
2004-04-14,792279.0,10023.0
2004-04-21,786423.0,-5856.0
2004-04-28,801859.0,15436.0
2004-05-05,786710.0,-15149.0
2004-05-12,793348.0,6638.0
2004-05-19,785705.0,-7643.0
2004-05-26,800255.0,14550.0
2004-06-02,791412.0,-8843.0
2004-06-09,800962.0,9550.0
2004-06-16,790530.0,-10432.0
2004-06-23,804506.0,13976.0
2004-06-30,809525.0,5019.0
2004-07-07,806000.0,-3525.0
2004-07-14,805150.0,-850.0
2004-07-21,806738.0,1588.0
2004-07-28,803432.0,-3306.0
2004-08-04,801302.0,-2130.0
2004-08-11,799363.0,-1939.0
2004-08-18,797774.0,-1589.0
2004-08-25,805057.0,7283.0
2004-09-01,814019.0,8962.0
2004-09-08,816659.0,2640.0
2004-09-15,818313.0,1654.0
2004-09-22,811358.0,-6955.0
2004-09-29,815817.0,4459.0
2004-10-06,810189.0,-5628.0
2004-10-13,822084.0,11895.0
2004-10-20,813750.0,-8334.0
2004-10-27,820567.0,6817.0
2004-11-03,818978.0,-1589.0
2004-11-10,829431.0,10453.0
2004-11-17,822417.0,-7014.0
2004-11-24,838679.0,16262.0
2004-12-01,835233.0,-3446.0
2004-12-08,837284.0,2051.0
2004-12-15,835327.0,-1957.0
2004-12-22,840060.0,4733.0
2004-12-29,836556.0,-3504.0
2005-01-05,843770.0,7214.0
2005-01-12,822913.0,-20857.0
2005-01-19,833350.0,10437.0
2005-01-26,832297.0,-1053.0
2005-02-02,832414.0,117.0
2005-02-09,825702.0,-6712.0
2005-02-16,824116.0,-1586.0
2005-02-23,831553.0,7437.0
2005-03-02,828835.0,-2718.0
2005-03-09,827579.0,-1256.0
2005-03-16,835945.0,8366.0
2005-03-23,826155.0,-9790.0
2005-03-30,836814.0,10659.0
2005-04-06,826064.0,-10750.0
2005-04-13,834014.0,7950.0
2005-04-20,830373.0,-3641.0
2005-04-27,837943.0,7570.0
2005-05-04,830475.0,-7468.0
2005-05-11,837621.0,7146.0
2005-05-18,830375.0,-7246.0
2005-05-25,839593.0,9218.0
2005-06-01,844470.0,4877.0
2005-06-08,843242.0,-1228.0
2005-06-15,840501.0,-2741.0
2005-06-22,839721.0,-780.0
2005-06-29,839634.0,-87.0
2005-07-06,848922.0,9288.0
2005-07-13,839148.0,-9774.0
2005-07-20,847152.0,8004.0
2005-07-27,844505.0,-2647.0
2005-08-03,848415.0,3910.0
2005-08-10,838504.0,-9911.0
2005-08-17,843983.0,5479.0
2005-08-24,841545.0,-2438.0
2005-08-31,853203.0,11658.0
2005-09-07,850003.0,-3200.0
2005-09-14,852980.0,2977.0
2005-09-21,841749.0,-11231.0
2005-09-28,853444.0,11695.0
2005-10-05,845183.0,-8261.0
2005-10-12,851481.0,6298.0
2005-10-19,844037.0,-7444.0
2005-10-26,849379.0,5342.0
2005-11-02,843719.0,-5660.0
2005-11-09,854919.0,11200.0
2005-11-16,851346.0,-3573.0
2005-11-23,862905.0,11559.0
2005-11-30,865370.0,2465.0
2005-12-07,862593.0,-2777.0
2005-12-14,860633.0,-1960.0
2005-12-21,877677.0,17044.0
2005-12-28,877232.0,-445.0
2006-01-04,878600.0,1368.0
2006-01-11,858049.0,-20551.0
2006-01-18,862414.0,4365.0
2006-01-25,858167.0,-4247.0
2006-02-01,859860.0,1693.0
2006-02-08,856696.0,-3164.0
2006-02-15,865398.0,8702.0
2006-02-22,868646.0,3248.0
2006-03-01,869433.0,787.0
2006-03-08,861068.0,-8365.0
2006-03-15,873806.0,12738.0
2006-03-22,860377.0,-13429.0
2006-03-29,864869.0,4492.0
2006-04-05,863564.0,-1305.0
2006-04-12,867492.0,3928.0
2006-04-19,866678.0,-814.0
2006-04-26,875450.0,8772.0
2006-05-03,871997.0,-3453.0
2006-05-10,869845.0,-2152.0
2006-05-17,869426.0,-419.0
2006-05-24,872083.0,2657.0
2006-05-31,881077.0,8994.0
2006-06-07,880193.0,-884.0
2006-06-14,877890.0,-2303.0
2006-06-21,876661.0,-1229.0
2006-06-28,877062.0,401.0
2006-07-05,884524.0,7462.0
2006-07-12,876338.0,-8186.0
2006-07-19,882001.0,5663.0
2006-07-26,874020.0,-7981.0
2006-08-02,881859.0,7839.0
2006-08-09,872670.0,-9189.0
2006-08-16,875354.0,2684.0
2006-08-23,870821.0,-4533.0
2006-08-30,883627.0,12806.0
2006-09-06,879192.0,-4435.0
2006-09-13,873469.0,-5723.0
2006-09-20,870750.0,-2719.0
2006-09-27,882614.0,11864.0
2006-10-04,874013.0,-8601.0
2006-10-11,889945.0,15932.0
2006-10-18,876795.0,-13150.0
2006-10-25,885665.0,8870.0
2006-11-01,887789.0,2124.0
2006-11-08,891426.0,3637.0
2006-11-15,888294.0,-3132.0
2006-11-22,897832.0,9538.0
2006-11-29,889906.0,-7926.0
2006-12-06,894656.0,4750.0
2006-12-13,885755.0,-8901.0
2006-12-20,897937.0,12182.0
2006-12-27,902480.0,4543.0
2007-01-03,907203.0,4723.0
2007-01-10,887055.0,-20148.0
2007-01-17,890293.0,3238.0
2007-01-24,884757.0,-5536.0
2007-01-31,898591.0,13834.0
2007-02-07,887424.0,-11167.0
2007-02-14,900294.0,12870.0
2007-02-21,900273.0,-21.0
2007-02-28,910471.0,10198.0
