Date,Values,Delta Calculations
2002-12-18,10829.0, 
2002-12-25,10793.0,-36.0
2003-01-01,10762.0,-31.0
2003-01-08,10722.0,-40.0
2003-01-15,10687.0,-35.0
2003-01-22,10652.0,-35.0
2003-01-29,10617.0,-35.0
2003-02-05,10582.0,-35.0
2003-02-12,10580.0,-2.0
2003-02-19,10546.0,-34.0
2003-02-26,10577.0,31.0
2003-03-05,10617.0,40.0
2003-03-12,10609.0,-8.0
2003-03-19,10615.0,6.0
2003-03-26,10636.0,21.0
2003-04-02,10602.0,-34.0
2003-04-09,10609.0,7.0
2003-04-16,10588.0,-21.0
2003-04-23,10554.0,-34.0
2003-04-30,10519.0,-35.0
2003-05-07,10485.0,-34.0
2003-05-14,10451.0,-34.0
2003-05-21,10466.0,15.0
2003-05-28,10432.0,-34.0
2003-06-04,10398.0,-34.0
2003-06-11,10365.0,-33.0
2003-06-18,10331.0,-34.0
2003-06-25,10297.0,-34.0
2003-07-02,10264.0,-33.0
2003-07-09,10230.0,-34.0
2003-07-16,10197.0,-33.0
2003-07-23,10164.0,-33.0
2003-07-30,10130.0,-34.0
2003-08-06,10097.0,-33.0
2003-08-13,10063.0,-34.0
2003-08-20,10030.0,-33.0
2003-08-27,9997.0,-33.0
2003-09-03,9964.0,-33.0
2003-09-10,10070.0,106.0
2003-09-17,10037.0,-33.0
2003-09-24,10004.0,-33.0
2003-10-01,9966.0,-38.0
2003-10-08,9934.0,-32.0
2003-10-15,9901.0,-33.0
2003-10-22,9868.0,-33.0
2003-10-29,9935.0,67.0
2003-11-05,9902.0,-33.0
2003-11-12,9919.0,17.0
2003-11-19,9918.0,-1.0
2003-11-26,9940.0,22.0
2003-12-03,9927.0,-13.0
2003-12-10,9894.0,-33.0
2003-12-17,9862.0,-32.0
2003-12-24,9825.0,-37.0
2003-12-31,9798.0,-27.0
2004-01-07,9766.0,-32.0
2004-01-14,9734.0,-32.0
2004-01-21,9701.0,-33.0
2004-01-28,9666.0,-35.0
2004-02-04,9632.0,-34.0
2004-02-11,9669.0,37.0
2004-02-18,9673.0,4.0
2004-02-25,9722.0,49.0
2004-03-03,9686.0,-36.0
2004-03-10,9804.0,118.0
2004-03-17,9768.0,-36.0
2004-03-24,9799.0,31.0
2004-03-31,9762.0,-37.0
2004-04-07,9726.0,-36.0
2004-04-14,9689.0,-37.0
2004-04-21,9653.0,-36.0
2004-04-28,9616.0,-37.0
2004-05-05,9580.0,-36.0
2004-05-12,9543.0,-37.0
2004-05-19,9535.0,-8.0
2004-05-26,9557.0,22.0
2004-06-02,9540.0,-17.0
2004-06-09,9535.0,-5.0
2004-06-16,9572.0,37.0
2004-06-23,9539.0,-33.0
2004-06-30,9506.0,-33.0
2004-07-07,9474.0,-32.0
2004-07-14,9528.0,54.0
2004-07-21,9504.0,-24.0
2004-07-28,9505.0,1.0
2004-08-04,9471.0,-34.0
2004-08-11,9437.0,-34.0
2004-08-18,9457.0,20.0
2004-08-25,9427.0,-30.0
2004-09-01,9396.0,-31.0
2004-09-08,9366.0,-30.0
2004-09-15,9366.0,0.0
2004-09-22,9415.0,49.0
2004-09-29,9427.0,12.0
2004-10-06,9402.0,-25.0
2004-10-13,9371.0,-31.0
2004-10-20,9378.0,7.0
2004-10-27,9489.0,111.0
2004-11-03,9548.0,59.0
2004-11-10,9554.0,6.0
2004-11-17,9530.0,-24.0
2004-11-24,9495.0,-35.0
2004-12-01,9469.0,-26.0
2004-12-08,9473.0,4.0
2004-12-15,9475.0,2.0
2004-12-22,9444.0,-31.0
2004-12-29,9414.0,-30.0
2005-01-05,9383.0,-31.0
2005-01-12,9352.0,-31.0
2005-01-19,9322.0,-30.0
2005-01-26,9291.0,-31.0
2005-02-02,9447.0,156.0
2005-02-09,9417.0,-30.0
2005-02-16,9387.0,-30.0
2005-02-23,9359.0,-28.0
2005-03-02,9332.0,-27.0
2005-03-09,9304.0,-28.0
2005-03-16,9277.0,-27.0
2005-03-23,9249.0,-28.0
2005-03-30,9222.0,-27.0
2005-04-06,9194.0,-28.0
2005-04-13,9167.0,-27.0
2005-04-20,9139.0,-28.0
2005-04-27,9108.0,-31.0
2005-05-04,9141.0,33.0
2005-05-11,9139.0,-2.0
2005-05-18,9113.0,-26.0
2005-05-25,9105.0,-8.0
2005-06-01,9339.0,234.0
2005-06-08,9314.0,-25.0
2005-06-15,9288.0,-26.0
2005-06-22,9305.0,17.0
2005-06-29,9279.0,-26.0
2005-07-06,9253.0,-26.0
2005-07-13,9228.0,-25.0
2005-07-20,9199.0,-29.0
2005-07-27,9169.0,-30.0
2005-08-03,9140.0,-29.0
2005-08-10,9111.0,-29.0
2005-08-17,9083.0,-28.0
2005-08-24,9078.0,-5.0
2005-08-31,9060.0,-18.0
2005-09-07,9034.0,-26.0
2005-09-14,9043.0,9.0
2005-09-21,9017.0,-26.0
2005-09-28,8990.0,-27.0
2005-10-05,8963.0,-27.0
2005-10-12,8937.0,-26.0
2005-10-19,8910.0,-27.0
2005-10-26,8884.0,-26.0
2005-11-02,9004.0,120.0
2005-11-09,8977.0,-27.0
2005-11-16,8951.0,-26.0
2005-11-23,8928.0,-23.0
2005-11-30,8910.0,-18.0
2005-12-07,8888.0,-22.0
2005-12-14,8866.0,-22.0
2005-12-21,8844.0,-22.0
2005-12-28,8822.0,-22.0
2006-01-04,8800.0,-22.0
2006-01-11,8817.0,17.0
2006-01-18,8793.0,-24.0
2006-01-25,8796.0,3.0
2006-02-01,8795.0,-1.0
2006-02-08,8771.0,-24.0
2006-02-15,8748.0,-23.0
2006-02-22,8724.0,-24.0
2006-03-01,8883.0,159.0
2006-03-08,8861.0,-22.0
2006-03-15,8877.0,16.0
2006-03-22,8854.0,-23.0
2006-03-29,8830.0,-24.0
2006-04-05,8807.0,-23.0
2006-04-12,8783.0,-24.0
2006-04-19,8760.0,-23.0
2006-04-26,8736.0,-24.0
2006-05-03,8713.0,-23.0
2006-05-10,8690.0,-23.0
2006-05-17,8667.0,-23.0
2006-05-24,8670.0,3.0
2006-05-31,8650.0,-20.0
2006-06-07,8627.0,-23.0
2006-06-14,8607.0,-20.0
2006-06-21,8586.0,-21.0
2006-06-28,8566.0,-20.0
2006-07-05,8545.0,-21.0
2006-07-12,8525.0,-20.0
2006-07-19,8502.0,-23.0
2006-07-26,8479.0,-23.0
2006-08-02,8456.0,-23.0
2006-08-09,8433.0,-23.0
2006-08-16,8410.0,-23.0
2006-08-23,8387.0,-23.0
2006-08-30,8364.0,-23.0
2006-09-06,8341.0,-23.0
2006-09-13,8390.0,49.0
2006-09-20,8367.0,-23.0
2006-09-27,8344.0,-23.0
2006-10-04,8321.0,-23.0
2006-10-11,8298.0,-23.0
2006-10-18,8282.0,-16.0
2006-10-25,8259.0,-23.0
2006-11-01,8242.0,-17.0
2006-11-08,8230.0,-12.0
2006-11-15,8208.0,-22.0
2006-11-22,8192.0,-16.0
2006-11-29,8367.0,175.0
2006-12-06,8583.0,216.0
2006-12-13,8564.0,-19.0
2006-12-20,8732.0,168.0
